,2,3,4,5,6
g1f_no_pca,0.3937792718010922,0.24166322870765805,0.18994802749558823,0.20233668100663887,0.19286529269070618
g1f_pca,0.6130573549789382,0.5585288539274582,0.523906028243858,0.44626544973064164,0.428234403948042
g1d_no_pca,0.4545510786056546,0.2226271491983141,0.19340008972610337,0.17272836882804415,0.16796893833942247
g1d_pca,0.6681690975129192,0.5386096496792119,0.49454414696022453,0.420560462814012,0.40232358461944673
g2f_no_pca,0.36200642409446493,0.26716846423857515,0.19346051843772868,0.19490813784261177,0.17198874896407224
g2f_pca,0.5990951236750365,0.5649279377931623,0.5542609619647818,0.41175731995693265,0.38557069184310344
g2d_no_pca,0.39351175396754406,0.25402825980092175,0.1576272154304368,0.1619733159788752,0.15379449323029412
g2d_pca,0.6313243975398714,0.5157617445149727,0.44206790274072516,0.4497496534509234,0.40587012706843123
g3f_no_pca,0.38604447737667463,0.27912944864838135,0.17763086260596306,0.20344051658705797,0.19138337954277854
g3f_pca,0.6160087383908148,0.5777599180673527,0.5252153185028203,0.480042201471119,0.4498546754764403
g3d_no_pca,0.3644938938468317,0.23360483410670435,0.16183396168851696,0.1569280241675108,0.16072860874355763
g3d_pca,0.5970395892879147,0.4933893742002312,0.47848297444713933,0.42701968048782846,0.3696607042977639
g4f_no_pca,0.35983083183348435,0.2538756509358631,0.17498195148894063,0.1714621639373615,0.18644185281649772
g4f_pca,0.5958287332779313,0.5418396630110714,0.46132728641543147,0.41443806245474124,0.41721625485920405
g4d_no_pca,0.3514659041944655,0.2282325396289132,0.1981575208825315,0.17084146081355997,0.15166962283095906
g4d_pca,0.5758829700663263,0.5279366209020243,0.40610095319826206,0.42124608813788766,0.3883513885420083
g5f_no_pca,0.3515163355546879,0.24971300143480013,0.18056978024437145,0.18647983312773547,0.17942770744925512
g5f_pca,0.5838338848340243,0.5603719564926023,0.4573102764800068,0.4305447297973498,0.3633147807118432
g5d_no_pca,0.3740631637663991,0.21426085985474208,0.18457642027178311,0.15673925904311062,0.1629082662330776
g5d_pca,0.5975537740086609,0.4995103278789866,0.4196672322104399,0.39430018404797545,0.3571746475641153
g6f_no_pca,0.36817581032731533,0.24250277193179687,0.20477539973845657,0.1787620041886226,0.1558829304531696
g6f_pca,0.5971731566351638,0.5374664775925818,0.4864976954517627,0.4618337685233554,0.4401580630039995
g6d_no_pca,0.3805432770369305,0.25137102073134315,0.18972797375304523,0.18723279668747164,0.17530278337381378
g6d_pca,0.6036741345722626,0.5219479640069773,0.4832802794580444,0.4294576203400387,0.4041425165395974
