Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,Id
1,Greg Adams,33,DAL,LW,50,21,15,36,27,2,4.8,16,5,0,4,9,6,0,113,18.6,,,adamsgr02
2,Tommy Albelin,32,CGY,D,72,4,11,15,-8,14,4,2,2,0,0,4,7,0,103,3.9,,,albelto01
3,Daniel Alfredsson*,24,OTT,RW,76,24,47,71,5,30,7.4,12,11,1,1,25,20,2,247,9.7,,,alfreda01
4,Jamie Allison,21,CGY,D,20,0,0,0,-4,35,0.5,0,0,0,0,0,0,0,8,0,,,allisja01
5,Jason Allison,21,TOT,C,72,8,26,34,-6,34,2.1,6,2,0,1,17,9,0,99,8.1,,,allisja02
5,Jason Allison,21,WSH,C,53,5,17,22,-3,25,1.3,4,1,0,1,12,5,0,71,7,,,allisja02
5,Jason Allison,21,BOS,C,19,3,9,12,-3,9,0.8,2,1,0,0,5,4,0,28,10.7,,,allisja02
6,Tony Amonte,26,CHI,RW,81,41,36,77,35,64,10.1,30,9,2,4,29,6,1,266,15.4,,,amontto01
7,Mikael Andersson,30,TBL,RW,70,5,14,19,1,8,0.6,2,0,3,1,12,0,2,102,4.9,,,andermi01
8,Niklas Andersson,25,NYI,LW,74,12,31,43,4,57,3.6,10,1,1,1,24,5,2,122,9.8,,,anderni01
9,Dave Andreychuk*,33,NJD,LW,82,27,34,61,38,48,7.5,22,4,1,2,29,5,0,233,11.6,,,andreda01
10,Shawn Antoski,26,TOT,LW,15,0,0,0,1,51,-0.4,0,0,0,0,0,0,0,3,0,,,antossh01
10,Shawn Antoski,26,PIT,LW,13,0,0,0,0,49,-0.4,0,0,0,0,0,0,0,3,0,,,antossh01
10,Shawn Antoski,26,MDA,LW,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,,,,antossh01
11,Dave Archibald,27,NYI,C,7,0,0,0,-4,4,-0.3,0,0,0,0,0,0,0,4,0,,,archida01
12,Derek Armstrong,23,NYI,C,50,6,7,13,-8,33,0.3,6,0,0,2,6,1,0,36,16.7,,,armstde01
13,Jason Arnott,22,EDM,C,67,19,38,57,-21,92,4.8,8,10,1,2,16,22,0,248,7.7,,,arnotja01
14,Adrian Aucoin,23,VAN,D,70,5,16,21,0,63,3.6,4,1,0,0,13,3,0,116,4.3,,,aucoiad01
15,Donald Audette,27,BUF,RW,73,28,22,50,-6,48,5,20,8,0,5,16,6,0,182,15.4,,,audetdo01
16,Dave Babych,35,VAN,D,78,5,22,27,-2,38,4.2,3,2,0,1,18,2,2,105,4.8,,,babycda01
17,Jamie Baker,30,TOR,C,58,8,8,16,2,28,0.9,7,1,0,3,6,1,1,69,11.6,,,bakerja01
18,Frank Banham,21,MDA,RW,3,0,0,0,-2,0,-0.2,0,0,0,0,0,0,0,1,0,,,banhafr01
19,Drew Bannister,22,TOT,D,65,4,14,18,-23,44,2.7,3,1,0,0,8,6,0,59,6.8,,,bannidr01
19,Drew Bannister,22,TBL,D,64,4,13,17,-21,44,2.7,3,1,0,0,7,6,0,57,7,,,bannidr01
19,Drew Bannister,22,EDM,D,1,0,1,1,-2,0,0,0,0,0,0,1,0,0,2,0,,,bannidr01
20,Matthew Barnaby,23,BUF,RW,68,19,24,43,16,249,4.4,17,2,0,1,22,2,0,121,15.7,,,barnama01
21,Stu Barnes,26,TOT,C,81,19,30,49,-23,26,3.2,14,5,0,3,22,7,1,176,10.8,,,barnest01
21,Stu Barnes,26,PIT,C,62,17,22,39,-20,16,2.6,13,4,0,3,18,3,1,132,12.9,,,barnest01
21,Stu Barnes,26,FLA,C,19,2,8,10,-3,10,0.5,1,1,0,0,4,4,0,44,4.5,,,barnest01
22,Murray Baron,29,TOT,D,79,1,7,8,-20,122,1,1,0,0,0,5,1,1,64,1.6,,,baronmu01
22,Murray Baron,29,MTL,D,60,1,5,6,-16,107,0.5,1,0,0,0,3,1,1,52,1.9,,,baronmu01
22,Murray Baron,29,STL,D,11,0,2,2,-4,11,0.3,0,0,0,0,2,0,0,7,0,,,baronmu01
22,Murray Baron,29,PHX,D,8,0,0,0,0,4,0.3,0,0,0,0,0,0,0,5,0,,,baronmu01
23,Bob Bassen,31,DAL,C,46,5,7,12,5,41,0.5,5,0,0,2,7,0,0,50,10,,,bassebo01
24,Ken Baumgartner,30,MDA,LW,67,0,11,11,0,182,-0.8,0,0,0,0,11,0,0,20,0,,,baumgke01
25,Clayton Beddoes,26,BOS,C,21,1,2,3,-1,13,-0.2,1,0,0,0,2,0,0,11,9.1,,,beddocl01
26,Bob Beers,29,BOS,D,27,3,4,7,0,8,1.6,2,1,0,0,4,0,0,49,6.1,,,beersbo01
27,Wade Belak,20,COL,D,5,0,0,0,-1,11,0.1,0,0,0,0,0,0,0,1,0,,,belakwa01
28,Jesse Belanger,27,EDM,C,6,0,0,0,-3,0,-0.3,0,0,0,0,0,0,0,8,0,,,belanje01
29,Ken Belanger,22,NYI,LW,18,0,2,2,-1,102,-0.3,0,0,0,0,2,0,0,5,0,,,belanke01
30,Brian Bellows,32,TOT,LW,69,16,15,31,-15,22,2,8,8,0,1,12,3,0,168,9.5,,,bellobr01
30,Brian Bellows,32,MDA,LW,62,15,13,28,-11,22,1.9,7,8,0,1,10,3,0,151,9.9,,,bellobr01
30,Brian Bellows,32,TBL,LW,7,1,2,3,-4,0,0.1,1,0,0,0,2,0,0,17,5.9,,,bellobr01
31,Josef Beranek,27,PIT,LW,8,3,1,4,-1,4,0.4,2,1,0,0,1,0,0,15,20,,,beranjo01
32,Bryan Berard,19,NYI,D,82,8,40,48,1,86,7.6,5,3,0,1,23,17,0,172,4.7,,,berarbr01
33,Sergei Berezin,25,TOR,LW,73,25,16,41,-3,2,4.3,18,7,0,2,11,5,0,177,14.1,,,berezse01
34,Aki Berg,19,LAK,D,41,2,6,8,-9,24,1.6,0,2,0,0,6,0,0,65,3.1,,,bergak01
35,Bill Berg,29,NYR,LW,67,8,6,14,2,37,0.2,6,0,2,3,6,0,0,84,9.5,,,bergbi01
36,Marc Bergevin,31,STL,D,82,0,4,4,-9,53,2.3,0,0,0,0,3,1,0,30,0,,,bergema01
37,Stefan Bergkvist,21,PIT,D,5,0,0,0,-1,7,0,0,0,0,0,0,0,0,0,,,,bergkst01
38,Todd Bertuzzi,21,NYI,RW,64,10,13,23,-3,68,1.4,7,3,0,1,11,2,0,79,12.7,,,bertuto01
39,Craig Berube,31,WSH,LW,80,4,3,7,-11,218,-1.1,4,0,0,1,3,0,0,55,7.3,,,berubcr01
40,Jeff Beukeboom,31,NYR,D,80,3,9,12,22,167,4.7,3,0,0,0,8,0,1,55,5.5,,,beukeje01
41,Radim Bicanek,22,OTT,D,21,0,1,1,-4,8,0.6,0,0,0,0,1,0,0,27,0,,,bicanra01
42,James Black,27,CHI,LW,64,12,11,23,6,20,1.8,12,0,0,3,10,1,0,122,9.8,,,blackja01
43,Rob Blake*,27,LAK,D,62,8,23,31,-28,82,3.7,4,4,0,1,14,9,0,169,4.7,,,blakero01
44,Sylvain Blouin,22,NYR,D,6,0,0,0,-1,18,0.1,0,0,0,0,0,0,0,1,0,,,blouisy01
45,Doug Bodger,30,SJS,D,81,1,15,16,-14,64,3.2,1,0,0,1,8,7,0,96,1,,,bodgedo01
46,Lonny Bohonos,23,VAN,RW,36,11,11,22,-3,10,1.9,9,2,0,1,7,4,0,67,16.4,,,bohonlo01
47,Patrick Boileau,21,WSH,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,boilepa01
48,Peter Bondra,28,WSH,RW,77,46,31,77,7,72,10.2,32,10,4,3,21,10,0,314,14.6,,,bondrpe01
49,Radek Bonk,21,OTT,C,53,5,13,18,-4,14,0.8,4,0,1,0,12,1,0,82,6.1,,,bonkra01
50,Sebastien Bordeleau,21,MTL,C,28,2,9,11,-3,2,0.3,2,0,0,0,7,0,2,27,7.4,,,bordese01
51,Joel Bouchard,23,CGY,D,76,4,5,9,-23,49,2.5,3,0,1,0,4,1,0,61,6.6,,,bouchjo01
52,Philippe Boucher,23,LAK,D,60,7,18,25,0,25,5,5,2,0,1,11,7,0,159,4.4,,,bouchph01
53,Bob Boughner,25,BUF,D,77,1,7,8,12,225,3.6,1,0,0,0,6,0,1,34,2.9,,,boughbo01
