,,,,,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,,,Special Teams,Special Teams,,Assists,Assists,Assists,Shot Data,Shot Data,Ice Time,Ice Time,
64,Dave Brown,32,PHI,RW,28,1,2,3,-1,53,-0.4,1,0,0,0,2,0,0,8,12.5,,,brownda01
65,Doug Brown,30,DET,RW,45,9,12,21,14,16,1.9,7,1,1,2,11,0,1,69,13,,,browndo01
66,Greg Brown,26,WIN,D,9,0,3,3,1,17,0.5,0,0,0,0,2,1,0,12,0,,,browngr01
67,Jeff Brown,28,VAN,D,33,8,23,31,-2,16,4.3,5,3,0,0,5,18,0,111,7.2,,,brownje02
68,Keith Brown,34,FLA,D,13,0,0,0,1,2,0.6,0,0,0,0,0,0,0,10,0,,,brownke02
69,Kevin Brown,20,LAK,RW,23,2,3,5,-7,18,-0.2,2,0,0,0,3,0,0,25,8,,,brownke03
70,Rob Brown,26,LAK,RW,2,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,1,0,,,brownro01
71,Benoit Brunet,26,MTL,LW,45,7,18,25,7,16,2.1,5,1,1,2,17,1,0,80,8.8,,,brunebe01
72,Sergei Brylin,21,NJD,C,26,6,8,14,12,8,1.6,6,0,0,0,4,4,0,41,14.6,,,brylise01
73,Kelly Buchberger,28,EDM,RW,48,7,17,24,0,82,1.6,4,2,1,5,15,0,2,73,9.6,,,buchbke01
74,Pavel Bure*,23,VAN,LW,44,20,23,43,-8,47,4.3,12,6,2,2,12,7,4,198,10.1,,,burepa01
75,Valeri Bure,20,MTL,RW,24,3,1,4,-1,6,0,3,0,0,1,1,0,0,39,7.7,,,bureva01
76,Marc Bureau,28,TBL,C,48,2,12,14,-8,30,0.2,1,0,1,0,10,1,1,72,2.8,,,bureama01
77,Shawn Burr,28,DET,LW,42,6,8,14,13,60,1.1,6,0,0,3,8,0,0,65,9.2,,,burrsh01
78,Randy Burridge,29,TOT,LW,40,4,15,19,-4,10,0.9,2,2,0,0,12,3,0,52,7.7,,,burrira01
78,Randy Burridge,29,LAK,LW,38,4,15,19,-4,8,0.9,2,2,0,0,12,3,0,50,8,,,burrira01
78,Randy Burridge,29,WSH,LW,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,,,burrira01
79,Adam Burt,26,HAR,D,46,7,11,18,0,65,3.8,4,3,0,1,7,4,0,73,9.6,,,burtad01
80,Garth Butcher,32,TOR,D,45,1,7,8,-5,59,2.1,1,0,0,0,6,0,1,24,4.2,,,butchga01
81,Viacheslav Butsayev,24,SJS,C,6,2,0,2,-2,0,0.1,2,0,0,0,0,0,0,6,33.3,,,butsavi01
82,Ilja Byakin,31,SJS,D,13,0,5,5,-9,14,0.1,0,0,0,0,3,2,0,19,0,,,byakiil01
83,Guy Carbonneau*,34,STL,C,42,5,11,16,11,16,0.9,4,1,0,1,10,0,1,33,15.2,,,carbogu01
84,Terry Carkner,28,DET,D,20,1,2,3,7,21,1.4,1,0,0,0,2,0,0,9,11.1,,,carknte01
85,Patrik Carnback,26,MDA,LW,41,6,15,21,-8,32,1.1,6,0,0,0,12,2,1,58,10.3,,,carnbpa01
86,Keith Carney,24,CHI,D,18,1,0,1,-1,11,0.8,1,0,0,1,0,0,0,14,7.1,,,carneke01
87,Bob Carpenter,31,NJD,C,41,5,11,16,-1,19,0.8,5,0,0,0,11,0,0,69,7.2,,,carpebo01
88,Jimmy Carson,26,HAR,C,38,9,10,19,5,29,1.8,5,4,0,3,8,2,0,58,15.5,,,carsoji01
89,Andrew Cassels,25,HAR,C,46,7,30,37,-3,18,2.8,6,1,0,1,22,8,0,74,9.5,,,cassean01
90,Paul Cavallini,29,DAL,D,44,1,11,12,8,28,3.3,1,0,0,0,7,3,1,69,1.4,,,cavalpa01
91,Shawn Chambers,28,TOT,D,45,4,17,21,2,12,4.1,2,2,0,0,12,5,0,67,6,,,chambsh01
91,Shawn Chambers,28,TBL,D,24,2,12,14,0,6,2.4,1,1,0,0,8,4,0,44,4.5,,,chambsh01
91,Shawn Chambers,28,NJD,D,21,2,5,7,2,6,1.7,1,1,0,0,4,1,0,23,8.7,,,chambsh01
92,Jose Charbonneau,28,VAN,RW,3,1,0,1,0,0,0.1,1,0,0,0,0,0,0,2,50,,,charbjo01
93,Eric Charron,25,TBL,D,45,1,4,5,1,26,2.2,1,0,0,0,2,1,1,33,3,,,charrer01
94,Kelly Chase,27,HAR,RW,28,0,4,4,1,141,-0.3,0,0,0,0,4,0,0,15,0,,,chaseke01
95,Denis Chasse,24,STL,RW,47,7,9,16,12,133,1,6,1,0,0,9,0,0,48,14.6,,,chassde01
96,Chris Chelios*,33,CHI,D,48,5,33,38,17,72,6.9,1,3,1,0,12,20,1,166,3,,,chelich01
97,Steve Chiasson,27,CGY,D,45,2,23,25,10,39,4.1,1,1,0,0,12,11,0,110,1.8,,,chiasst01
98,Igor Chibirev,26,HAR,C,8,3,1,4,1,0,0.5,3,0,0,0,1,0,0,9,33.3,,,chibiig01
99,Tom Chorske,28,NJD,LW,42,10,8,18,-4,16,1.4,10,0,0,2,7,0,1,59,16.9,,,chorsto01
100,Jeff Christian,24,PIT,LW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,,chrisje01
101,Shane Churla,29,DAL,RW,27,1,3,4,0,186,-0.2,1,0,0,1,3,0,0,22,4.5,,,churlsh01
102,Dean Chynoweth,26,NYI,D,32,0,2,2,9,77,1.6,0,0,0,0,2,0,0,22,0,,,chynode01
103,Dave Chyzowski,23,NYI,LW,13,0,0,0,-2,11,-0.4,0,0,0,0,0,0,0,11,0,,,chyzoda01
104,Dino Ciccarelli*,34,DET,RW,42,16,27,43,12,39,4.5,10,6,0,3,16,11,0,106,15.1,,,ciccadi01
105,Enrico Ciccone,24,TBL,D,41,2,4,6,3,225,2.4,2,0,0,0,4,0,0,43,4.7,,,ciccoen01
106,Zdeno Ciger,25,EDM,LW,5,2,2,4,-1,0,0.4,1,1,0,1,1,1,0,10,20,,,cigerzd01
107,Joe Cirella,31,FLA,D,20,0,1,1,-7,21,0.5,0,0,0,0,1,0,0,13,0,,,cireljo01
108,Wendel Clark,28,QUE,LW,37,12,18,30,-1,45,2.6,7,5,0,0,15,3,0,95,12.6,,,clarkwe01
109,Paul Coffey*,33,DET,D,45,14,44,58,18,72,9,9,4,1,2,17,27,0,181,7.7,,,coffepa01
110,Danton Cole,28,TOT,LW,38,4,5,9,-1,14,0.3,3,1,0,0,5,0,0,76,5.3,,,coleda01
110,Danton Cole,28,TBL,LW,26,3,3,6,-1,6,0.2,2,1,0,0,3,0,0,56,5.4,,,coleda01
110,Danton Cole,28,NJD,LW,12,1,2,3,0,8,0.1,1,0,0,0,2,0,0,20,5,,,coleda01
111,Pat Conacher,35,LAK,LW,48,7,9,16,-9,12,0.5,6,0,1,0,8,0,1,64,10.9,,,conacpa01
112,Craig Conroy,23,MTL,C,6,1,0,1,-1,0,0,1,0,0,0,0,0,0,4,25,,,conrocr01
113,Rene Corbet,21,QUE,LW,8,0,3,3,3,2,0.1,0,0,0,0,3,0,0,4,0,,,corbere01
114,Bob Corkum,27,MDA,RW,44,10,9,19,-7,25,1.2,10,0,0,1,8,1,0,100,10,,,corkubo01
115,Shayne Corson,28,EDM,LW,48,12,24,36,-17,86,2.6,10,2,0,1,14,9,1,131,9.2,,,corsosh01
116,Sylvain Cote,29,WSH,D,47,5,14,19,2,53,4.3,4,1,0,2,5,6,3,124,4,,,cotesy01
117,Geoff Courtnall,32,VAN,LW,45,16,18,34,2,81,3.5,9,7,0,1,9,9,0,144,11.1,,,courtge01
118,Russ Courtnall,29,TOT,RW,45,11,24,35,2,17,3.2,7,2,2,2,13,10,1,132,8.3,,,courtru01
118,Russ Courtnall,29,DAL,RW,32,7,10,17,-8,13,1.2,5,2,0,1,5,5,0,90,7.8,,,courtru01
118,Russ Courtnall,29,VAN,RW,13,4,14,18,10,4,2,2,0,2,1,8,5,1,42,9.5,,,courtru01
119,Rob Cowie,27,LAK,D,32,2,7,9,-6,20,1.3,2,0,0,0,5,2,0,39,5.1,,,cowiero01
120,Mike Craig,23,TOR,RW,37,5,5,10,-21,12,-0.2,4,1,0,1,5,0,0,61,8.2,,,craigmi01
121,Murray Craven,30,CHI,LW,16,4,3,7,2,2,0.7,3,1,0,2,3,0,0,29,13.8,,,cravemu01
122,Adam Creighton,29,STL,C,48,14,20,34,17,74,3.4,11,3,0,1,16,4,0,81,17.3,,,creigad01
123,Shawn Cronin,31,SJS,D,29,0,2,2,0,61,0.9,0,0,0,0,2,0,0,12,0,,,cronish01
124,Cory Cross,24,TBL,D,43,1,5,6,-6,41,1.8,1,0,0,1,2,3,0,35,2.9,,,crossco01
125,Troy Crowder,26,LAK,RW,29,1,2,3,0,99,-0.4,1,0,0,0,2,0,0,4,25,,,crowdtr01
126,John Cullen,30,PIT,C,46,13,24,37,-4,66,2.8,11,2,0,1,17,7,0,88,14.8,,,cullejo01
127,Jassen Cullimore,22,VAN,D,34,1,2,3,-2,39,1.1,1,0,0,0,1,0,1,30,3.3,,,cullija01
128,Jim Cummins,24,TOT,RW,37,4,1,5,-6,158,-0.3,4,0,0,1,1,0,0,23,17.4,,,cummiji01
128,Jim Cummins,24,CHI,RW,27,3,1,4,-3,117,-0.1,3,0,0,0,1,0,0,20,15,,,cummiji01
128,Jim Cummins,24,TBL,RW,10,1,0,1,-3,41,-0.1,1,0,0,1,0,0,0,3,33.3,,,cummiji01
129,Randy Cunneyworth,33,OTT,LW,48,5,5,10,-19,68,-0.3,3,2,0,0,5,0,0,71,7,,,cunnera01
130,Mariusz Czerkawski,22,BOS,RW,47,12,14,26,4,31,2.6,11,1,0,2,7,7,0,126,9.5,,,czerkma01
131,Kevin Dahl,26,CGY,D,34,4,8,12,8,38,2.8,4,0,0,0,8,0,0,30,13.3,,,dahlke01
132,Ulf Dahlén,28,SJS,RW,46,11,23,34,-2,11,2.8,6,4,1,4,14,9,0,85,12.9,,,dahleul01
133,Chris Dahlquist,32,OTT,D,46,1,7,8,-30,36,0.2,0,1,0,0,7,0,0,45,2.2,,,dahlqch01
134,Alexandre Daigle,19,OTT,C,47,16,21,37,-22,14,3.2,11,4,1,2,11,10,0,105,15.2,,,daiglal02
135,J.J. Daigneault,29,MTL,D,45,3,5,8,2,40,2.5,3,0,0,0,4,0,1,36,8.3,,,daignjj01
136,Brad Dalgarno,27,NYI,RW,22,3,2,5,-8,14,-0.1,1,1,1,0,2,0,0,18,16.7,,,dalgabr01
137,Vincent Damphousse,27,MTL,LW,48,10,30,40,15,42,3.9,6,4,0,4,20,10,0,123,8.1,,,damphvi01
138,Ken Daneyko,30,NJD,D,25,1,2,3,4,54,1.5,1,0,0,0,2,0,0,27,3.7,,,daneyke01
139,Jeff Daniels,26,FLA,LW,3,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,0,,,,danieje01
140,Scott Daniels,25,HAR,LW,12,0,2,2,1,55,-0.1,0,0,0,0,2,0,0,7,0,,,daniesc01
141,Craig Darby,22,TOT,C,13,0,2,2,-6,0,-0.3,0,0,0,0,2,0,0,5,0,,,darbycr01
141,Craig Darby,22,MTL,C,10,0,2,2,-5,0,-0.2,0,0,0,0,2,0,0,4,0,,,darbycr01
141,Craig Darby,22,NYI,C,3,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,1,0,,,darbycr01
142,Evgeny Davydov,27,OTT,RW,3,1,2,3,2,0,0.4,1,0,0,0,2,0,0,2,50,,,davydev01
143,Jason Dawe,21,BUF,LW,42,7,4,11,-6,19,0.5,6,0,1,2,2,2,0,51,13.7,,,daweja01
144,Eric Daze,19,CHI,LW,4,1,1,2,2,2,0.2,1,0,0,0,1,0,0,1,100,,,dazeer01
145,Adam Deadmarsh,19,QUE,RW,48,9,8,17,16,56,1.4,9,0,0,0,8,0,0,48,18.8,,,deadmad01
146,Kevin Dean,25,NJD,D,17,0,1,1,6,4,1.1,0,0,0,0,1,0,0,11,0,,,deanke01
147,Louie DeBrusk,23,EDM,LW,34,2,0,2,-4,93,-0.6,2,0,0,0,0,0,0,14,14.3,,,debrulo01
148,Pavol Demitra,20,OTT,RW,16,4,3,7,-4,0,0.6,3,1,0,0,2,1,0,21,19,,,demitpa01
149,Eric Desjardins,25,TOT,D,43,5,24,29,12,14,5.2,4,1,0,1,13,11,0,93,5.4,,,desjaer01
149,Eric Desjardins,25,PHI,D,34,5,18,23,10,12,4.3,4,1,0,1,10,8,0,79,6.3,,,desjaer01
149,Eric Desjardins,25,MTL,D,9,0,6,6,2,2,1,0,0,0,0,3,3,0,14,0,,,desjaer01
150,Gerald Diduck,29,TOT,D,35,2,3,5,-5,63,1.4,0,2,0,0,2,1,0,67,3,,,diducge01
150,Gerald Diduck,29,VAN,D,22,1,3,4,-8,15,0.5,0,1,0,0,2,1,0,25,4,,,diducge01
150,Gerald Diduck,29,CHI,D,13,1,0,1,3,48,0.9,0,1,0,0,0,0,0,42,2.4,,,diducge01
151,Rob DiMaio,26,PHI,LW,36,3,1,4,8,53,0,3,0,0,0,1,0,0,34,8.8,,,dimairo01
152,Gord Dineen,32,NYI,D,9,0,0,0,-5,2,-0.1,0,0,0,0,0,0,0,4,0,,,dineego01
153,Kevin Dineen,31,PHI,RW,40,8,5,13,-1,39,0.8,4,4,0,2,4,0,1,55,14.5,,,dineeke01
154,Gilbert Dionne,24,TOT,LW,26,0,9,9,-4,4,0,0,0,0,0,7,2,0,33,0,,,dionngi01
154,Gilbert Dionne,24,PHI,LW,20,0,6,6,-1,2,0,0,0,0,0,5,1,0,29,0,,,dionngi01
154,Gilbert Dionne,24,MTL,LW,6,0,3,3,-3,2,0,0,0,0,0,2,1,0,4,0,,,dionngi01
155,Paul DiPietro,24,TOT,C,34,5,6,11,-9,10,0.4,5,0,0,1,4,2,0,60,8.3,,,dipiepa01
155,Paul DiPietro,24,MTL,C,22,4,5,9,-3,4,0.5,4,0,0,1,3,2,0,41,9.8,,,dipiepa01
155,Paul DiPietro,24,TOR,C,12,1,1,2,-6,6,-0.2,1,0,0,0,1,0,0,19,5.3,,,dipiepa01
156,Robert Dirk,28,MDA,D,38,1,3,4,-3,56,1,1,0,0,0,3,0,0,15,6.7,,,dirkro01
157,Bobby Dollas,30,MDA,D,45,7,13,20,-3,12,3.2,3,3,1,1,10,3,0,70,10,,,dollabo01
158,Tie Domi,25,TOT,RW,40,4,5,9,-5,159,0,4,0,0,0,5,0,0,46,8.7,,,domiti01
158,Tie Domi,25,WIN,RW,31,4,4,8,-6,128,0.1,4,0,0,0,4,0,0,34,11.8,,,domiti01
158,Tie Domi,25,TOR,RW,9,0,1,1,1,31,-0.1,0,0,0,0,1,0,0,12,0,,,domiti01
159,Ted Donato,25,BOS,C,47,10,10,20,3,10,1.8,9,1,0,1,7,2,1,71,14.1,,,donatte01
160,Gord Donnelly,32,DAL,RW,16,1,0,1,1,52,-0.2,1,0,0,0,0,0,0,9,11.1,,,donnego01
161,Mike Donnelly,31,TOT,LW,44,12,15,27,-4,33,2.4,9,3,0,3,11,4,0,116,10.3,,,donnemi01
161,Mike Donnelly,31,DAL,LW,35,11,14,25,3,29,2.6,8,3,0,3,11,3,0,94,11.7,,,donnemi01
161,Mike Donnelly,31,LAK,LW,9,1,1,2,-7,4,-0.2,1,0,0,0,0,1,0,22,4.5,,,donnemi01
162,Shean Donovan,20,SJS,RW,14,0,0,0,-6,6,-0.6,0,0,0,0,0,0,0,13,0,,,donovsh01
163,Peter Douris,28,MDA,LW,46,10,11,21,4,12,1.7,10,0,0,4,11,0,0,69,14.5,,,douripe01
164,Jim Dowd,26,NJD,C,10,1,4,5,-5,0,0.1,0,1,0,0,2,2,0,14,7.1,,,dowdji01
165,Dallas Drake,25,WIN,RW,43,8,18,26,-6,30,1.7,8,0,0,1,15,3,0,66,12.1,,,drakeda01
166,Kris Draper,23,DET,C,36,2,6,8,1,22,-0.1,2,0,0,0,5,0,1,44,4.5,,,drapekr01
167,Bruce Driver,32,NJD,D,41,4,12,16,-1,18,3.2,3,1,0,1,4,8,0,62,6.5,,,drivebr01
168,John Druce,28,LAK,RW,43,15,5,20,-3,20,1.9,12,3,0,1,4,1,0,75,20,,,drucejo01
169,Ted Drury,23,HAR,LW,34,3,6,9,-3,21,0.2,3,0,0,0,6,0,0,31,9.7,,,druryte01
170,Steve Dubinsky,24,CHI,C,16,0,0,0,-5,8,-0.6,0,0,0,0,0,0,0,16,0,,,dubinst01
171,Gaetan Duchesne,32,TOT,LW,46,3,9,12,-3,16,0.2,3,0,0,0,9,0,0,62,4.8,,,duchega01
171,Gaetan Duchesne,32,SJS,LW,33,2,7,9,-6,16,0,2,0,0,0,7,0,0,48,4.2,,,duchega01
171,Gaetan Duchesne,32,FLA,LW,13,1,2,3,3,0,0.2,1,0,0,0,2,0,0,14,7.1,,,duchega01
172,Steve Duchesne,29,STL,D,47,12,26,38,29,36,7,11,1,0,1,13,12,1,116,10.3,,,duchest01
173,Donald Dufresne,27,STL,D,22,0,3,3,2,10,0.6,0,0,0,0,3,0,0,11,0,,,dufredo01
174,Yanick Dupre,22,PHI,LW,22,0,0,0,-7,8,-0.8,0,0,0,0,0,0,0,21,0,,,dupreya01
175,Karl Dykhuis,22,PHI,D,33,2,6,8,7,37,2.4,1,1,0,1,5,1,0,46,4.3,,,dykhuka01
176,Mike Eagles,31,TOT,C,40,3,4,7,-11,48,-0.5,3,0,0,0,2,1,1,28,10.7,,,eaglemi01
176,Mike Eagles,31,WIN,C,27,2,1,3,-13,40,-0.7,2,0,0,0,1,0,0,13,15.4,,,eaglemi01
176,Mike Eagles,31,WSH,C,13,1,3,4,2,8,0.2,1,0,0,0,1,1,1,15,6.7,,,eaglemi01
