,,,,,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,,,Special Teams,Special Teams,,Assists,Assists,Assists,Shot Data,Shot Data,Ice Time,Ice Time,
Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,Id
1,Greg Adams,31,TOT,LW,43,8,13,21,-3,16,1.5,3,3,2,0,9,4,0,72,11.1,,,adamsgr02
1,Greg Adams,31,VAN,LW,31,5,10,15,1,12,1.1,1,2,2,0,9,1,0,56,8.9,,,adamsgr02
1,Greg Adams,31,DAL,LW,12,3,3,6,-4,4,0.4,2,1,0,0,0,3,0,16,18.8,,,adamsgr02
2,Micah Aivazoff,25,EDM,LW,21,0,1,1,-2,2,-0.5,0,0,0,0,1,0,0,6,0,,,aivazmi01
3,Tommy Albelin,30,NJD,D,48,5,10,15,9,20,4.2,3,2,0,0,10,0,0,60,8.3,,,albelto01
4,Jamie Allison,19,CGY,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,allisja01
5,Jason Allison,19,WSH,C,12,2,1,3,-3,6,0.1,0,2,0,0,0,1,0,9,22.2,,,allisja02
6,Peter Ambroziak,23,BUF,LW,12,0,1,1,-1,0,-0.2,0,0,0,0,1,0,0,3,0,,,ambrope01
7,Tony Amonte,24,CHI,RW,48,15,20,35,7,41,3.6,8,6,1,3,13,7,0,105,14.3,,,amontto01
8,Glenn Anderson*,34,STL,RW,36,12,14,26,9,37,2.6,12,0,0,3,11,3,0,54,22.2,,,andergl01
9,Shawn Anderson,26,PHI,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,andersh01
10,Mikael Andersson,28,TBL,RW,36,4,7,11,-3,4,0.5,4,0,0,0,6,1,0,36,11.1,,,andermi01
11,Dave Andreychuk*,31,TOR,LW,48,22,16,38,-7,34,4.2,14,8,0,2,10,6,0,168,13.1,,,andreda01
12,Greg Andrusak,25,PIT,D,7,0,4,4,-1,6,0.3,0,0,0,0,1,3,0,7,0,,,andrugr01
13,Shawn Antoski,24,TOT,LW,32,0,0,0,-4,107,-1,0,0,0,0,0,0,0,16,0,,,antossh01
13,Shawn Antoski,24,PHI,LW,25,0,0,0,0,61,-0.7,0,0,0,0,0,0,0,12,0,,,antossh01
13,Shawn Antoski,24,VAN,LW,7,0,0,0,-4,46,-0.3,0,0,0,0,0,0,0,4,0,,,antossh01
14,Dave Archibald,25,OTT,C,14,2,2,4,-7,19,0,2,0,0,1,2,0,0,27,7.4,,,archida01
15,Jason Arnott,20,EDM,C,42,15,22,37,-14,128,3.2,8,7,0,1,10,11,1,156,9.6,,,arnotja01
16,Mark Astley,25,BUF,D,14,2,1,3,-2,12,0.9,2,0,0,0,0,1,0,21,9.5,,,astlema01
17,Adrian Aucoin,21,VAN,D,1,1,0,1,1,0,0.3,1,0,0,0,0,0,0,2,50,,,aucoiad01
18,Donald Audette,25,BUF,RW,46,24,13,37,-3,27,4.5,11,13,0,7,3,10,0,124,19.4,,,audetdo01
19,Dave Babych,33,VAN,D,40,3,11,14,-13,18,1.7,2,1,0,0,6,5,0,58,5.2,,,babycda01
20,Jamie Baker,28,SJS,C,43,7,4,11,-7,22,0.3,6,0,1,0,3,0,1,60,11.7,,,bakerja01
21,Matthew Barnaby,21,BUF,LW,23,1,1,2,-2,116,-0.3,1,0,0,0,1,0,0,27,3.7,,,barnama01
22,Stu Barnes,24,FLA,C,41,10,19,29,7,8,3,9,1,0,2,13,5,1,93,10.8,,,barnest01
23,Murray Baron,27,STL,D,39,0,5,5,9,93,1.4,0,0,0,0,4,0,1,28,0,,,baronmu01
24,Len Barrie,25,PIT,C,48,3,11,14,-4,66,-0.2,3,0,0,1,9,2,0,37,8.1,,,barrile01
25,Bob Bassen,29,QUE,C,47,12,15,27,14,33,2.5,11,0,1,1,15,0,0,66,18.2,,,bassebo01
26,Jeff Batters,24,STL,D,10,0,0,0,-5,21,-0.3,0,0,0,0,0,0,0,3,0,,,batteje01
27,Ken Baumgartner,28,TOR,LW,2,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,,,baumgke01
28,Bob Beers,27,NYI,D,22,2,7,9,-8,6,1.1,1,1,0,0,6,1,0,38,5.3,,,beersbo01
29,Jesse Belanger,25,FLA,C,47,15,14,29,-5,18,2.9,9,6,0,3,6,8,0,89,16.9,,,belanje01
30,Ken Belanger,20,TOR,LW,3,0,0,0,0,9,-0.1,0,0,0,0,0,0,0,1,0,,,belanke01
31,Brian Bellows,30,MTL,LW,41,8,8,16,-7,8,1,7,1,0,1,4,4,0,110,7.3,,,bellobr01
32,Brian Benning,28,FLA,D,24,1,7,8,-6,18,1.5,0,1,0,0,4,3,0,26,3.8,,,bennibr01
33,Josef Beranek,25,TOT,C,51,13,18,31,-7,30,2.5,10,3,0,0,12,6,0,134,9.7,,,beranjo01
33,Josef Beranek,25,VAN,C,37,8,13,21,-10,28,1.3,6,2,0,0,8,5,0,95,8.4,,,beranjo01
33,Josef Beranek,25,PHI,C,14,5,5,10,3,2,1.1,4,1,0,0,4,1,0,39,12.8,,,beranjo01
34,Drake Berehowsky,23,TOT,D,29,0,2,2,-9,28,0.5,0,0,0,0,2,0,0,14,0,,,berehdr01
34,Drake Berehowsky,23,TOR,D,25,0,2,2,-10,15,0.4,0,0,0,0,2,0,0,12,0,,,berehdr01
34,Drake Berehowsky,23,PIT,D,4,0,0,0,1,13,0.1,0,0,0,0,0,0,0,2,0,,,berehdr01
35,Bill Berg,27,TOR,LW,32,5,1,6,-11,26,-0.1,5,0,0,2,1,0,0,57,8.8,,,bergbi01
36,Marc Bergevin,29,TBL,D,44,2,4,6,-6,51,1.9,1,0,1,0,4,0,0,32,6.3,,,bergema01
37,Craig Berube,29,WSH,LW,43,2,4,6,-5,173,-0.4,2,0,0,0,4,0,0,22,9.1,,,berubcr01
38,Jeff Beukeboom,29,NYR,D,44,1,3,4,3,70,2.3,1,0,0,0,2,0,1,29,3.4,,,beukeje01
39,Radim Bicanek,20,OTT,D,6,0,0,0,3,0,0.4,0,0,0,0,0,0,0,6,0,,,bicanra01
40,Rob Blake*,25,LAK,D,24,4,7,11,-16,38,0.8,0,4,0,1,5,2,0,76,5.3,,,blakero01
41,Arto Blomsten,29,TOT,D,5,0,1,1,2,2,0.3,0,0,0,0,1,0,0,1,0,,,blomsar01
41,Arto Blomsten,29,LAK,D,4,0,1,1,2,0,0.3,0,0,0,0,1,0,0,1,0,,,blomsar01
41,Arto Blomsten,29,WIN,D,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,,,blomsar01
42,Doug Bodger,28,BUF,D,44,3,17,20,-3,47,3.8,1,2,0,0,4,10,3,87,3.4,,,bodgedo01
43,Claude Boivin,24,OTT,LW,3,0,1,1,-1,6,0,0,0,0,0,1,0,0,0,,,,boivicl01
44,Peter Bondra,26,WSH,RW,47,34,9,43,9,24,6.2,16,12,6,3,3,6,0,177,19.2,,,bondrpe01
45,Radek Bonk,19,OTT,C,42,3,8,11,-5,28,0.2,2,1,0,0,5,3,0,40,7.5,,,bonkra01
46,Jason Bonsignore,18,EDM,C,1,1,0,1,-1,0,0.1,1,0,0,0,0,0,0,3,33.3,,,bonsija01
47,Dennis Bonvie,21,EDM,D,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,bonvide01
48,Luciano Borsato,29,WIN,C,4,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,2,0,,,borsalu01
49,Nikolai Borschevsky,30,TOT,RW,27,0,10,10,10,0,0.6,0,0,0,0,9,1,0,40,0,,,borscni01
49,Nikolai Borschevsky,30,TOR,RW,19,0,5,5,3,0,0.1,0,0,0,0,5,0,0,28,0,,,borscni01
49,Nikolai Borschevsky,30,CGY,RW,8,0,5,5,7,0,0.5,0,0,0,0,4,1,0,12,0,,,borscni01
50,Joel Bouchard,21,CGY,D,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,bouchjo01
51,Philippe Boucher,21,TOT,D,15,2,4,6,3,4,1.5,2,0,0,0,2,2,0,30,6.7,,,bouchph01
51,Philippe Boucher,21,BUF,D,9,1,4,5,6,0,1.4,1,0,0,0,2,2,0,15,6.7,,,bouchph01
51,Philippe Boucher,21,LAK,D,6,1,0,1,-3,4,0.1,1,0,0,0,0,0,0,15,6.7,,,bouchph01
52,Phil Bourque,32,OTT,LW,38,4,3,7,-17,20,-0.4,4,0,0,0,3,0,0,34,11.8,,,bourqph01
53,Ray Bourque*,34,BOS,D,46,12,31,43,3,20,7.2,3,9,0,2,11,20,0,210,5.7,,,bourqra01
54,Jason Bowen,21,PHI,D,4,0,0,0,-2,0,0,0,0,0,0,0,0,0,2,0,,,bowenja01
55,Zac Boyer,23,DAL,RW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,boyerza01
56,Philippe Bozon,28,STL,LW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,bozonph01
57,Brian Bradley,30,TBL,C,46,13,27,40,-6,42,3.8,10,3,0,2,20,7,0,111,11.7,,,bradlbr01
58,Donald Brashear,23,MTL,LW,20,1,1,2,-5,63,-0.4,1,0,0,1,1,0,0,10,10,,,brashdo01
59,Rod Brind'Amour,24,PHI,C,48,12,27,39,-4,33,3.3,7,4,1,2,14,12,1,86,14,,,brindro01
60,Patrice Brisebois,24,MTL,D,35,4,8,12,-2,26,2.4,4,0,0,2,5,3,0,67,6,,,brisepa01
61,Neal Broten,35,TOT,C,47,8,24,32,1,24,2.5,6,2,0,3,18,5,1,72,11.1,,,brotene01
61,Neal Broten,35,NJD,C,30,8,20,28,9,20,2.8,6,2,0,3,15,4,1,43,18.6,,,brotene01
61,Neal Broten,35,DAL,C,17,0,4,4,-8,4,-0.3,0,0,0,0,3,1,0,29,0,,,brotene01
62,Paul Broten,29,DAL,RW,47,7,9,16,-7,36,0.8,7,0,0,0,8,1,0,67,10.4,,,brotepa01
63,Curtis Brown,18,BUF,C,1,1,1,2,2,2,0.3,1,0,0,0,1,0,0,4,25,,,browncu01
