Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,Id
37,Nolan Baumgartner,26,VAN,D,8,1,2,3,4,4,0.8,0,1,0,0,1,1,0,7,14.3,93,11:36,baumgno01
38,Ryan Bayda,22,CAR,LW,25,4,10,14,-5,16,1.1,4,0,0,1,6,4,0,49,8.2,431,17:15,baydary01
39,Francois Beauchemin,22,MTL,D,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,1,0,17,17:11,beaucfr01
40,Eric Beaudoin,22,FLA,LW,15,0,1,1,-7,25,-0.4,0,0,0,0,1,0,0,11,0,148,9:52,beauder01
41,Jaroslav Bednar,26,TOT,RW,67,5,22,27,1,18,2.1,3,2,0,1,21,1,0,95,5.3,946,14:07,bednaja01
41,Jaroslav Bednar,26,FLA,RW,52,5,13,18,-2,14,1.3,3,2,0,1,13,0,0,66,7.6,736,14:09,bednaja01
41,Jaroslav Bednar,26,LAK,RW,15,0,9,9,3,4,0.8,0,0,0,0,8,1,0,29,0,210,14:00,bednaja01
42,Kris Beech,21,PIT,C,12,0,1,1,-3,6,-0.2,0,0,0,0,1,0,0,6,0,127,10:34,beechkr01
43,Steve Begin,24,CGY,C,50,3,1,4,-7,51,-0.2,3,0,0,1,1,0,0,59,5.1,461,9:13,beginst01
44,Derek Bekar,27,LAK,LW,6,0,0,0,-1,4,-0.1,0,0,0,0,0,0,0,4,0,45,7:29,bekarde01
45,Wade Belak,26,TOR,D,55,3,6,9,-2,196,1.7,3,0,0,0,6,0,0,33,9.1,596,10:50,belakwa01
46,Eric Belanger,25,LAK,C,62,16,19,35,-5,26,3.5,13,0,3,1,15,4,0,114,14,1097,17:42,belaner01
47,Ken Belanger,28,LAK,LW,4,0,0,0,0,17,0,0,0,0,0,0,0,0,0,,16,4:03,belanke01
48,Mark Bell,22,CHI,RW,82,14,15,29,0,113,2.6,12,0,2,0,14,1,0,127,11,1154,14:04,bellma01
49,Blake Bellefeuille,25,CBJ,C,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,7:01,bellebl01
50,Ladislav Benysek,27,MIN,D,14,0,0,0,-3,8,0,0,0,0,0,0,0,0,7,0,160,11:26,benysla01
51,Bryan Berard,25,BOS,D,80,10,28,38,-4,64,5.6,6,4,0,1,16,12,0,205,4.9,1709,21:21,berarbr01
52,Drake Berehowsky,31,PHX,D,7,1,2,3,0,27,0.5,1,0,0,0,1,1,0,8,12.5,76,10:52,berehdr01
53,Bubba Berenzweig,25,NSH,D,4,0,0,0,0,0,0.1,0,0,0,0,0,0,0,5,0,71,17:47,berenbu01
54,Sergei Berezin,31,TOT,LW,75,23,17,40,7,12,4.9,18,5,0,2,17,0,0,199,11.6,1217,16:14,berezse01
54,Sergei Berezin,31,CHI,LW,66,18,13,31,-3,8,3.3,13,5,0,0,13,0,0,171,10.5,1076,16:18,berezse01
54,Sergei Berezin,31,WSH,LW,9,5,4,9,10,4,1.6,5,0,0,2,4,0,0,28,17.9,141,15:41,berezse01
55,Aki Berg,25,TOR,D,78,4,7,11,3,28,2.9,4,0,0,2,6,0,1,49,8.2,1173,15:02,bergak01
56,Marc-Andre Bergeron,22,EDM,D,5,1,1,2,2,9,0.6,1,0,0,0,0,1,0,5,20,83,16:30,bergema02
57,Marc Bergevin,37,TOT,D,70,2,5,7,-11,36,2.2,2,0,0,0,4,0,1,27,7.4,1313,18:46,bergema01
57,Marc Bergevin,37,PIT,D,69,2,5,7,-9,36,2.3,2,0,0,0,4,0,1,27,7.4,1295,18:46,bergema01
57,Marc Bergevin,37,TBL,D,1,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,0,,18,18:26,bergema01
58,Christian Berglund,22,NJD,LW,38,4,5,9,3,20,0.9,4,0,0,0,5,0,0,50,8,387,10:11,berglch01
59,Rick Berry,24,WSH,D,43,2,1,3,-3,87,0.6,2,0,0,1,1,0,0,40,5,557,12:58,berryri01
60,Todd Bertuzzi,27,VAN,RW,82,46,51,97,2,144,12.3,21,25,0,7,34,17,0,243,18.9,1687,20:34,bertuto01
61,Craig Berube,37,CGY,LW,55,2,4,6,-6,100,0.2,2,0,0,1,4,0,0,21,9.5,289,5:16,berubcr01
62,Blair Betts,22,CGY,C,9,1,3,4,3,0,0.5,1,0,0,0,3,0,0,16,6.3,104,11:33,bettsbl01
63,Jiri Bicek,24,NJD,RW,44,5,6,11,7,25,1.2,4,1,0,1,6,0,0,63,7.9,519,11:48,bicekji01
64,Mathieu Biron,22,FLA,D,34,1,8,9,-18,14,0.6,0,0,1,0,5,3,0,52,1.9,719,21:08,bironma02
65,Jason Blake,29,NYI,LW,81,25,30,55,16,58,6.7,21,3,1,4,24,4,2,253,9.9,1429,17:38,blakeja01
66,Rob Blake*,33,COL,D,79,17,28,45,20,57,9.5,7,8,2,3,14,13,1,269,6.3,2082,26:21:00,blakero01
67,Zdenek Blatny,22,ATL,LW,4,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,2,0,42,10:31,blatnzd01
68,Sylvain Blouin,28,TOT,LW,19,0,0,0,-3,47,-0.3,0,0,0,0,0,0,0,4,0,77,4:02,blouisy01
68,Sylvain Blouin,28,MTL,LW,17,0,0,0,-3,43,-0.2,0,0,0,0,0,0,0,3,0,61,3:36,blouisy01
68,Sylvain Blouin,28,MIN,LW,2,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,15,7:38,blouisy01
69,Eric Boguniecki,27,STL,RW,80,22,27,49,22,38,6.4,18,3,1,5,22,5,0,117,18.8,1121,14:00,boguner01
70,Patrick Boileau,27,DET,D,25,2,6,8,8,14,1.9,2,0,0,1,6,0,0,18,11.1,349,13:58,boilepa01
71,Brad Bombardir,30,MIN,D,58,1,14,15,15,16,5,0,1,0,0,14,0,0,55,1.8,1277,22:01,bombabr01
72,Peter Bondra,34,WSH,LW,76,30,26,56,-3,52,6.2,19,9,2,4,16,10,0,256,11.7,1436,18:53,bondrpe01
73,Radek Bonk,27,OTT,C,70,22,32,54,6,36,6.2,11,11,0,4,17,15,0,146,15.1,1228,17:32,bonkra01
74,Dennis Bonvie,29,OTT,RW,12,0,0,0,-1,29,-0.1,0,0,0,0,0,0,0,3,0,37,3:05,bonvide01
75,Jason Botterill,26,BUF,LW,17,1,4,5,1,14,0.4,0,1,0,0,4,0,0,20,5,184,10:48,botteja01
76,Joel Bouchard,29,TOT,D,34,5,8,13,0,14,2.7,4,1,0,2,4,4,0,47,10.6,696,20:28,bouchjo01
76,Joel Bouchard,29,NYR,D,27,5,7,12,6,14,2.8,4,1,0,2,4,3,0,41,12.2,543,20:07,bouchjo01
76,Joel Bouchard,29,PIT,D,7,0,1,1,-6,0,-0.1,0,0,0,0,0,1,0,6,0,153,21:49,bouchjo01
77,Pierre-Marc Bouchard,18,MIN,C,50,7,13,20,1,18,2,2,5,0,1,9,4,0,53,13.2,664,13:16,bouchpi02
78,Philippe Boucher,29,DAL,D,80,7,20,27,28,94,7.6,5,1,1,3,16,3,1,137,5.1,1639,20:29,bouchph01
79,Bob Boughner,31,CGY,D,69,3,14,17,5,126,4.3,3,0,0,1,13,1,0,62,4.8,1370,19:51,boughbo01
80,Francis Bouillon,27,TOT,D,24,3,1,4,-2,4,1.1,2,0,1,0,1,0,0,30,10,459,19:09,bouilfr01
80,Francis Bouillon,27,MTL,D,20,3,1,4,-1,2,1.1,2,0,1,0,1,0,0,30,10,408,20:24,bouilfr01
80,Francis Bouillon,27,NSH,D,4,0,0,0,-1,2,0,0,0,0,0,0,0,0,0,,51,12:52,bouilfr01
81,Jesse Boulerice,24,CAR,RW,48,2,1,3,-2,108,0.2,2,0,0,0,1,0,0,12,16.7,187,3:54,bouleje01
82,Eric Boulton,26,BUF,LW,58,1,5,6,1,178,0.2,1,0,0,0,5,0,0,33,3,382,6:35,boulter01
83,Josef Boumedienne,25,WSH,D,6,1,0,1,-1,0,0.2,1,0,0,1,0,0,0,7,14.3,117,19:33,boumejo01
84,Jay Bouwmeester,19,FLA,D,82,4,12,16,-29,14,2.1,2,2,0,0,4,8,0,110,3.6,1652,20:09,bouwmja01
85,Dan Boyle,26,TBL,D,77,13,40,53,9,44,10.2,5,8,0,1,21,19,0,136,9.6,1887,24:31:00,boyleda01
86,Nick Boynton,24,BOS,D,78,7,17,24,8,99,4.8,6,0,1,2,16,1,0,160,4.4,1769,22:41,boyntni01
87,Matt Bradley,24,SJS,RW,46,2,3,5,-1,37,0.1,2,0,0,0,3,0,0,21,9.5,363,7:54,bradlma01
88,Donald Brashear,31,PHI,LW,80,8,17,25,5,161,2.2,8,0,0,1,17,0,0,99,8.1,1070,13:23,brashdo01
89,Pavel Brendl,21,TOT,RW,50,5,8,13,5,6,1.3,4,1,0,1,8,0,0,94,5.3,554,11:05,brendpa01
89,Pavel Brendl,21,PHI,RW,42,5,7,12,8,4,1.5,4,1,0,1,7,0,0,80,6.3,434,10:19,brendpa01
89,Pavel Brendl,21,CAR,RW,8,0,1,1,-3,2,-0.2,0,0,0,0,1,0,0,14,0,121,15:05,brendpa01
90,Kip Brennan,22,LAK,LW,19,0,0,0,0,57,-0.2,0,0,0,0,0,0,0,6,0,93,4:52,brennki01
91,Rich Brennan,30,BOS,D,7,0,1,1,3,6,0.4,0,0,0,0,1,0,0,12,0,95,13:37,brennri01
92,Eric Brewer,23,EDM,D,80,8,21,29,-11,45,4.6,7,1,0,1,9,12,0,147,5.4,1994,24:56:00,breweer01
93,Daniel Briere,25,TOT,C,82,24,34,58,-20,62,5.5,15,9,0,4,18,16,0,181,13.3,1407,17:10,brierda01
93,Daniel Briere,25,PHX,C,68,17,29,46,-21,50,3.8,13,4,0,3,14,15,0,142,12,1158,17:02,brierda01
93,Daniel Briere,25,BUF,C,14,7,5,12,1,12,1.7,2,5,0,1,4,1,0,39,17.9,249,17:49,brierda01
94,Rod Brind'Amour,32,CAR,C,48,14,23,37,-9,37,3.5,6,7,1,0,9,13,1,110,12.7,1141,23:46,brindro01
95,Patrice Brisebois,32,MTL,D,73,4,25,29,-14,32,4,3,1,0,1,7,18,0,105,3.8,1707,23:23,brisepa01
96,Brad Brown,27,MIN,D,57,0,1,1,-1,90,0.9,0,0,0,0,1,0,0,10,0,526,9:14,brownbr01
97,Curtis Brown,26,BUF,C,74,15,16,31,4,40,3.3,8,3,4,4,10,6,0,144,10.4,1249,16:53,browncu01
98,Mike Brown,23,MDA,LW,16,1,1,2,0,44,0.2,1,0,0,1,1,0,0,8,12.5,80,4:58,brownmi01
99,Sean Brown,26,BOS,LW,69,1,5,6,-6,117,-0.3,1,0,0,0,5,0,0,39,2.6,444,6:26,brownse01
100,Steve Brule,28,COL,C,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,18,9:07,brulest01
101,Andrew Brunette,29,MIN,LW,82,18,28,46,-10,30,4.9,9,9,0,2,13,15,0,97,18.6,1187,14:29,brunean01
102,Sergei Brylin,29,NJD,LW,52,11,8,19,-2,16,1.8,7,3,1,1,6,1,1,86,12.8,841,16:11,brylise01
103,Kelly Buchberger,36,PHX,LW,79,3,9,12,0,109,0.2,2,0,1,0,9,0,0,32,9.4,788,9:59,buchbke01
104,Jan Bulis,24,MTL,LW,82,16,24,40,9,30,4.1,16,0,0,2,23,0,1,160,10,1288,15:42,bulisja01
105,Pavel Bure*,31,NYR,RW,39,19,11,30,4,16,4.2,13,5,1,3,4,7,0,136,14,739,18:56,burepa01
106,Valeri Bure,28,TOT,RW,51,5,23,28,-13,10,1.6,2,3,0,2,9,14,0,161,3.1,933,18:17,bureva01
106,Valeri Bure,28,FLA,RW,46,5,21,26,-11,10,1.6,2,3,0,2,9,12,0,150,3.3,857,18:38,bureva01
106,Valeri Bure,28,STL,RW,5,0,2,2,-2,0,0,0,0,0,0,0,2,0,11,0,76,15:11,bureva01
107,Sven Butenschön,26,NYI,D,37,0,4,4,-6,26,0.3,0,0,0,0,4,0,0,19,0,460,12:26,butensv01
108,Yuri Butsayev,24,ATL,LW,16,2,0,2,-5,8,-0.1,2,0,0,0,0,0,0,21,9.5,193,12:05,butsayu01
109,Petr Buzek,25,CGY,D,44,3,5,8,-6,14,1.5,0,3,0,0,5,0,0,48,6.3,632,14:22,buzekpe01
110,Dmitri Bykov,25,DET,D,71,2,10,12,1,43,2.3,1,1,0,0,7,3,0,58,3.4,1304,18:22,bykovdm01
111,Dan Bylsma,32,MDA,RW,39,1,4,5,-1,12,0.1,1,0,0,0,4,0,0,23,4.3,370,9:29,bylsmda01
112,Eric Cairns,28,NYI,D,60,1,4,5,-7,124,0.7,1,0,0,0,3,0,1,31,3.2,710,11:50,cairner01
113,Petr Cajanek,27,STL,C,51,9,29,38,16,20,4.2,5,2,2,1,21,7,1,90,10,812,15:56,cajanpe01
114,Kyle Calder,24,CHI,LW,82,15,27,42,-6,40,3.5,8,7,0,2,24,3,0,164,9.1,1371,16:43,caldeky01
115,Mike Cammalleri,20,LAK,C,28,5,3,8,-4,22,0.6,3,2,0,2,0,3,0,40,12.5,394,14:05,cammami01
116,Brian Campbell,23,BUF,D,65,2,17,19,-8,20,3.4,2,0,0,1,14,3,0,90,2.2,1213,18:40,campbbr02
117,Jim Campbell,29,FLA,RW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,8:56,campbji01
118,Keith Carney,32,MDA,D,81,4,18,22,8,65,6.3,4,0,0,1,17,0,1,87,4.6,1828,22:34,carneke01
119,Anson Carter,28,TOT,RW,79,26,34,60,-11,26,6,16,10,0,1,20,13,1,193,13.5,1532,19:23,cartean01
119,Anson Carter,28,EDM,RW,68,25,30,55,-11,20,5.7,15,10,0,1,16,13,1,176,14.2,1336,19:39,cartean01
119,Anson Carter,28,NYR,RW,11,1,4,5,0,6,0.3,1,0,0,0,4,0,0,17,5.9,196,17:49,cartean01
120,Andrew Cassels,33,CBJ,C,79,20,48,68,-4,30,6.9,10,9,1,5,21,25,2,113,17.7,1569,19:52,cassean01
121,Zdeno Chara,25,OTT,D,74,9,30,39,29,116,9.3,6,3,0,2,14,14,2,168,5.4,1847,24:57:00,charazd01
122,Brad Chartrand,28,LAK,C,62,8,6,14,-10,33,0.7,7,0,1,2,6,0,0,64,12.5,759,12:14,chartbr01
123,Jonathan Cheechoo,22,SJS,RW,66,9,7,16,-5,39,1.3,9,0,0,3,7,0,0,94,9.6,707,10:43,cheecjo01
124,Chris Chelios*,41,DET,D,66,2,17,19,4,78,3.5,1,0,1,1,13,3,1,92,2.2,1600,24:15:00,chelich01
125,Jason Chimera,23,EDM,C,66,14,9,23,-2,36,2.6,13,0,1,4,8,1,0,90,15.6,710,10:46,chimeja01
126,Stanislav Chistov,19,MDA,LW,79,12,18,30,4,54,3.1,9,3,0,2,11,7,0,114,10.5,1073,13:35,chistst01
127,Eric Chouinard,22,PHI,C,28,4,4,8,2,8,1,3,1,0,0,4,0,0,45,8.9,270,9:38,chouier01
128,Marc Chouinard,25,MDA,C,70,3,4,7,-9,40,-0.2,2,0,1,0,3,0,1,52,5.8,659,9:25,chouima01
129,Artem Chubarov,23,VAN,C,62,7,13,20,4,6,1.4,6,1,0,1,10,0,3,78,9,889,14:21,chubaar01
130,Ivan Ciernik,25,WSH,LW,47,8,10,18,6,24,1.9,8,0,0,2,10,0,0,61,13.1,555,11:48,cierniv01
131,Chris Clark,26,CGY,RW,81,10,12,22,-11,126,1.2,8,2,0,2,10,2,0,156,6.4,1166,14:24,clarkch01
