,,,,,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,,,Special Teams,Special Teams,,Assists,Assists,Assists,Shot Data,Shot Data,Ice Time,Ice Time,
41,Scott Bjugstad,30,LAK,RW,22,2,4,6,-1,10,0,2,0,0,0,4,0,0,25,8,,,bjugssc01
42,James Black,22,HAR,C,30,4,6,10,-4,10,0.3,3,1,0,1,5,1,0,54,7.4,,,blackja01
43,Rob Blake*,22,LAK,D,57,7,13,20,-5,102,3.2,2,5,0,0,7,6,0,131,5.3,,,blakero01
44,Jeff Bloemberg,24,NYR,D,3,0,1,1,1,0,0.2,0,0,0,0,1,0,0,5,0,,,bloemje01
45,Doug Bodger,25,BUF,D,73,11,35,46,1,108,6.4,7,4,0,1,7,28,0,180,6.1,,,bodgedo01
46,Claude Boivin,21,PHI,LW,58,5,13,18,-2,187,0.4,5,0,0,0,13,0,0,46,10.9,,,boivicl01
47,Peter Bondra,23,WSH,RW,71,28,28,56,16,42,5,24,4,0,3,25,3,0,158,17.7,,,bondrpe01
48,Luciano Borsato,26,WIN,RW,56,15,21,36,-6,45,2.6,10,5,0,1,13,8,0,81,18.5,,,borsalu01
49,Laurie Boschman,31,NJD,C,75,8,20,28,9,121,1,8,0,0,2,18,1,1,89,9,,,boschla01
50,Phil Bourque,29,PIT,LW,58,10,16,26,-6,58,0.9,9,0,1,3,14,0,2,51,19.6,,,bourqph01
51,Ray Bourque*,31,BOS,D,80,21,60,81,11,56,11.2,13,7,1,2,32,28,0,334,6.3,,,bourqra01
52,Steve Bozek,31,SJS,LW,58,8,8,16,-30,27,-0.2,6,2,0,0,6,2,0,105,7.6,,,bozekst01
53,Philippe Bozon,25,STL,LW,9,1,3,4,5,4,0.3,1,0,0,0,2,1,0,19,5.3,,,bozonph01
54,Brian Bradley,27,TOR,RW,59,10,21,31,-3,48,1.8,6,4,0,3,11,10,0,78,12.8,,,bradlbr01
55,Neil Brady,23,NJD,C,7,1,0,1,1,4,0,1,0,0,0,0,0,0,3,33.3,,,bradyne01
56,Francis Breault,24,LAK,RW,6,1,0,1,0,30,0,1,0,0,0,0,0,0,6,16.7,,,breaufr01
57,Andy Brickley,30,BOS,C,23,10,17,27,6,2,2.5,5,5,0,1,13,4,0,28,35.7,,,brickan01
58,Rod Brind'Amour,21,PHI,C,80,33,44,77,-3,100,6.5,21,8,4,5,25,15,4,202,16.3,,,brindro01
59,Patrice Brisebois,21,MTL,D,26,2,8,10,9,20,2.6,2,0,0,1,3,5,0,37,5.4,,,brisepa01
60,Aaron Broten,31,WIN,LW,25,4,5,9,2,14,0.5,4,0,0,3,5,0,0,29,13.8,,,broteaa01
61,Neal Broten,32,MNS,C,76,8,26,34,-15,16,1.2,3,4,1,1,14,11,1,119,6.7,,,brotene01
62,Paul Broten,26,NYR,RW,74,13,15,28,14,102,1.6,10,0,3,1,15,0,0,96,13.5,,,brotepa01
63,Dave Brown,29,PHI,RW,70,4,2,6,-11,81,-1.2,4,0,0,0,2,0,0,50,8,,,brownda01
64,Doug Brown,27,NJD,RW,71,11,17,28,17,27,1.6,8,1,2,1,14,0,3,140,7.9,,,browndo01
65,Jeff Brown,25,STL,D,80,20,39,59,8,38,8.8,10,10,0,2,26,13,0,214,9.3,,,brownje02
66,Keith Brown,31,CHI,D,57,6,10,16,7,69,4.5,3,2,1,1,3,7,0,105,5.7,,,brownke02
67,Rob Brown,23,TOT,C,67,21,26,47,-15,73,3.3,5,16,0,3,12,14,0,106,19.8,,,brownro01
67,Rob Brown,23,HAR,C,42,16,15,31,-14,39,2.2,3,13,0,2,6,9,0,65,24.6,,,brownro01
67,Rob Brown,23,CHI,C,25,5,11,16,-1,34,1.1,2,3,0,1,6,5,0,41,12.2,,,brownro01
68,David Bruce,27,SJS,RW,60,22,16,38,-20,46,2.9,11,10,1,1,13,3,0,137,16.1,,,bruceda01
69,Benoit Brunet,23,MTL,LW,18,4,6,10,4,14,0.8,4,0,0,0,3,3,0,37,10.8,,,brunebe01
70,Kelly Buchberger,25,EDM,LW,79,20,24,44,9,157,3,16,0,4,3,22,1,1,90,22.2,,,buchbke01
71,Mike Bullard,30,TOR,C,65,14,14,28,-19,40,1.3,7,7,0,0,4,10,0,140,10,,,bullami01
72,Pavel Bure*,20,VAN,RW,65,34,26,60,0,30,5.7,24,7,3,6,16,9,1,268,12.7,,,burepa01
73,Marc Bureau,25,MNS,C,46,6,4,10,-5,50,0.1,6,0,0,0,3,1,0,53,11.3,,,bureama01
74,Shawn Burr,25,DET,LW,79,19,32,51,26,118,3.9,17,2,0,3,29,0,3,140,13.6,,,burrsh01
75,Randy Burridge,26,WSH,LW,66,23,44,67,-4,50,5.1,14,9,0,3,19,23,2,131,17.6,,,burrira01
76,Adam Burt,23,HAR,D,66,9,15,24,-16,93,3.9,5,4,0,1,9,6,0,89,10.1,,,burtad01
77,Rod Buskas,31,TOT,D,47,0,4,4,-13,91,1.4,0,0,0,0,4,0,0,23,0,,,buskaro01
77,Rod Buskas,31,CHI,D,42,0,4,4,-12,80,1.4,0,0,0,0,4,0,0,22,0,,,buskaro01
77,Rod Buskas,31,LAK,D,5,0,0,0,-1,11,0.1,0,0,0,0,0,0,0,1,0,,,buskaro01
78,Garth Butcher,29,STL,D,68,5,15,20,5,189,4.1,5,0,0,0,14,1,0,50,10,,,butchga01
79,John Byce,24,BOS,RW,3,1,0,1,-1,0,0.1,0,1,0,0,0,0,0,2,50,,,bycejo01
80,Lyndon Byers,27,BOS,RW,31,1,1,2,-5,129,-0.7,1,0,0,0,1,0,0,12,8.3,,,byersly01
81,Shawn Byram,23,CHI,LW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,byramsh01
82,Jack Capuano,25,BOS,D,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,,,capuaja01
83,Guy Carbonneau*,31,MTL,C,72,18,21,39,2,39,2.8,16,1,1,4,21,0,0,120,15,,,carbogu01
84,Terry Carkner,25,PHI,D,73,4,12,16,-14,195,3.3,3,0,1,0,10,2,0,70,5.7,,,carknte01
85,Randy Carlyle,35,WIN,D,66,1,9,10,4,54,3.9,1,0,0,0,5,1,3,84,1.2,,,carlyra01
86,Keith Carney,21,BUF,D,14,1,2,3,-3,18,0.5,0,1,0,0,2,0,0,17,5.9,,,carneke01
87,Bob Carpenter,28,BOS,LW,60,25,23,48,-3,46,4.1,18,6,1,6,16,6,1,171,14.6,,,carpebo01
88,Jimmy Carson,23,DET,C,80,34,35,69,17,30,6.3,23,11,0,3,24,11,0,150,22.7,,,carsoji01
89,John Carter,28,SJS,LW,4,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,5,0,,,cartejo01
90,Andrew Cassels,22,HAR,C,67,11,30,41,3,18,2.5,7,2,2,3,18,9,3,99,11.1,,,cassean01
91,Jay Caufield,31,PIT,RW,50,0,0,0,-6,175,-1.6,0,0,0,0,0,0,0,16,0,,,caufija01
92,Gino Cavallini,29,TOT,LW,66,10,14,24,-9,44,0.7,10,0,0,2,11,3,0,111,9,,,cavalgi01
92,Gino Cavallini,29,STL,LW,48,9,7,16,-8,40,0.5,9,0,0,2,7,0,0,72,12.5,,,cavalgi01
92,Gino Cavallini,29,QUE,LW,18,1,7,8,-1,4,0.2,1,0,0,0,4,3,0,39,2.6,,,cavalgi01
93,Paul Cavallini,26,STL,D,66,10,25,35,7,95,5.7,6,3,1,2,14,8,3,164,6.1,,,cavalpa01
94,Shawn Chambers,25,WSH,D,2,0,0,0,-3,2,-0.1,0,0,0,0,0,0,0,1,0,,,chambsh01
95,Rene Chapdelaine,25,LAK,D,16,0,1,1,0,10,0.5,0,0,0,0,1,0,0,6,0,,,chapdre01
96,Stephane Charbonneau,21,QUE,RW,2,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,4,0,,,charbst01
97,Kelly Chase,24,STL,RW,46,1,2,3,-6,264,-1,1,0,0,0,2,0,0,29,3.4,,,chaseke01
98,Chris Chelios*,30,CHI,D,80,9,47,56,24,245,9.8,5,2,2,2,24,22,1,239,3.8,,,chelich01
99,Rich Chernomaz,28,CGY,RW,11,0,0,0,-9,6,-0.6,0,0,0,0,0,0,0,21,0,,,chernri01
100,Steve Chiasson,24,DET,D,62,10,24,34,22,136,6.1,5,5,0,2,9,14,1,143,7,,,chiasst01
101,Tom Chorske,25,NJD,LW,76,19,17,36,8,32,2.5,16,0,3,2,15,0,2,143,13.3,,,chorsto01
102,Dave Christian,32,STL,RW,78,20,24,44,2,41,3,16,1,3,3,17,6,1,142,14.1,,,chrisda01
103,Jeff Christian,21,NJD,LW,2,0,0,0,0,2,-0.1,0,0,0,0,0,0,0,1,0,,,chrisje01
104,Shane Churla,26,MNS,RW,57,4,1,5,-12,278,-0.9,4,0,0,0,1,0,0,42,9.5,,,churlsh01
105,Jeff Chychrun,25,TOT,D,43,0,4,4,-12,111,0.5,0,0,0,0,4,0,0,26,0,,,chychje01
105,Jeff Chychrun,25,LAK,D,26,0,3,3,-4,76,0.6,0,0,0,0,3,0,0,22,0,,,chychje01
105,Jeff Chychrun,25,PIT,D,17,0,1,1,-8,35,-0.2,0,0,0,0,1,0,0,4,0,,,chychje01
106,Dean Chynoweth,23,NYI,D,11,1,0,1,-3,23,0.2,1,0,0,0,0,0,0,6,16.7,,,chynode01
107,Dave Chyzowski,20,NYI,LW,12,1,1,2,-4,17,-0.2,1,0,0,0,0,1,0,18,5.6,,,chyzoda01
108,Peter Ciavaglia,22,BUF,C,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,,,ciavape01
109,Dino Ciccarelli*,31,WSH,RW,78,38,38,76,-10,78,6.4,25,13,0,7,26,12,0,279,13.6,,,ciccadi01
110,Enrico Ciccone,21,MNS,D,11,0,0,0,-2,48,0.3,0,0,0,0,0,0,0,2,0,,,ciccoen01
111,Zdeno Ciger,22,NJD,LW,20,6,5,11,-2,10,0.7,5,1,0,0,4,1,0,33,18.2,,,cigerzd01
112,Rob Cimetta,21,TOR,LW,24,4,3,7,5,12,0.5,4,0,0,0,1,2,0,31,12.9,,,cimetro01
113,Joe Cirella,28,NYR,D,67,3,12,15,11,121,3.7,2,1,0,0,9,2,1,58,5.2,,,cireljo01
114,Jason Cirone,20,WIN,C,3,0,0,0,0,2,-0.1,0,0,0,0,0,0,0,1,0,,,cironja01
115,Wendel Clark,25,TOR,LW,43,19,21,40,-14,123,3.3,12,7,0,4,13,8,0,158,12,,,clarkwe01
116,Paul Coffey*,30,TOT,D,64,11,58,69,1,87,7.2,6,5,0,1,30,26,2,232,4.7,,,coffepa01
116,Paul Coffey*,30,PIT,D,54,10,54,64,4,62,6.7,5,5,0,1,28,24,2,207,4.8,,,coffepa01
116,Paul Coffey*,30,LAK,D,10,1,4,5,-3,25,0.5,1,0,0,0,2,2,0,25,4,,,coffepa01
117,Danton Cole,25,WIN,RW,52,7,5,12,-15,32,-0.1,4,1,2,0,4,1,0,65,10.8,,,coleda01
118,Michael Colman,23,SJS,D,15,0,1,1,-8,32,0.1,0,0,0,0,1,0,0,7,0,,,colmami01
119,Pat Conacher,32,NJD,LW,44,7,3,10,0,16,0.1,6,0,1,1,2,0,1,38,18.4,,,conacpa01
120,Rob Conn,23,CHI,LW,2,0,0,0,1,2,0,0,0,0,0,0,0,0,3,0,,,connro01
121,Al Conroy,26,PHI,C,31,2,9,11,1,74,0.3,2,0,0,0,8,1,0,25,8,,,conroal01
122,Bob Corkum,24,BUF,C,20,2,4,6,-9,21,-0.1,2,0,0,0,4,0,0,23,8.7,,,corkubo01
123,Yvon Corriveau,24,HAR,LW,38,12,8,20,5,36,1.7,9,3,0,0,7,1,0,69,17.4,,,corriyv01
124,Shayne Corson,25,MTL,LW,64,17,36,53,15,118,4.4,14,3,0,2,23,11,2,165,10.3,,,corsosh01
125,Alain Cote,24,MTL,D,13,0,3,3,7,22,1.2,0,0,0,0,3,0,0,6,0,,,coteal02
126,Sylvain Cote,26,WSH,D,78,11,29,40,7,31,6.4,5,6,0,2,14,14,1,151,7.3,,,cotesy01
127,Ed Courtenay,23,SJS,RW,5,0,0,0,-6,0,-0.3,0,0,0,0,0,0,0,7,0,,,courted01
128,Geoff Courtnall,29,VAN,LW,70,23,34,57,-6,116,4.3,11,12,0,3,19,15,0,281,8.2,,,courtge01
129,Russ Courtnall,26,MTL,RW,27,7,14,21,6,6,1.7,6,0,1,1,12,2,0,63,11.1,,,courtru01
130,Sylvain Couturier,23,LAK,C,14,3,1,4,-3,2,0.1,3,0,0,0,1,0,0,21,14.3,,,coutusy01
131,Craig Coxe,28,SJS,C,10,2,0,2,-4,19,0,2,0,0,0,0,0,0,11,18.2,,,coxecr01
132,Mike Craig,20,MNS,RW,67,15,16,31,-12,155,1.8,11,4,0,4,11,5,0,136,11,,,craigmi01
133,Dale Craigwell,20,SJS,C,32,5,11,16,-3,8,0.9,1,4,0,2,10,1,0,38,13.2,,,craigda01
134,Murray Craven,27,TOT,C,73,27,33,60,-2,46,5,14,9,4,1,25,6,2,152,17.8,,,cravemu01
134,Murray Craven,27,HAR,C,61,24,30,54,-4,38,4.5,12,8,4,1,23,6,1,133,18,,,cravemu01
134,Murray Craven,27,PHI,C,12,3,3,6,2,8,0.5,2,1,0,0,2,0,1,19,15.8,,,cravemu01
135,Lou Crawford,29,BOS,LW,19,2,1,3,-6,9,-0.2,2,0,0,0,1,0,0,14,14.3,,,crawflo01
136,Adam Creighton,26,TOT,C,77,21,15,36,-5,118,2.2,17,4,0,2,12,3,0,140,15,,,creigad01
136,Adam Creighton,26,NYI,C,66,15,9,24,-4,102,1.1,13,2,0,2,7,2,0,108,13.9,,,creigad01
136,Adam Creighton,26,CHI,C,11,6,6,12,-1,16,1.1,4,2,0,0,5,1,0,32,18.8,,,creigad01
137,Shawn Cronin,28,WIN,D,65,0,4,4,-11,271,2.4,0,0,0,0,4,0,0,25,0,,,cronish01
138,Doug Crossman,31,DET,D,26,0,8,8,8,14,1.7,0,0,0,0,7,1,0,21,0,,,crossdo01
139,Troy Crowder,23,DET,RW,7,0,0,0,0,35,-0.2,0,0,0,0,0,0,0,2,0,,,crowdtr01
140,John Cullen,27,HAR,C,77,26,51,77,-28,141,5.4,16,10,0,4,25,26,0,173,15,,,cullejo01
141,Jim Cummins,21,DET,RW,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,,,,cummiji01
142,Randy Cunneyworth,30,HAR,LW,39,7,10,17,-5,71,0.8,7,0,0,1,7,3,0,63,11.1,,,cunnera01
143,Brian Curran,28,BUF,D,3,0,0,0,0,14,0.1,0,0,0,0,0,0,0,1,0,,,currabr01
144,Dan Currie,23,EDM,LW,7,1,0,1,-1,0,-0.1,1,0,0,0,0,0,0,3,33.3,,,currida01
145,Paul Cyr,28,HAR,LW,17,0,3,3,-4,19,-0.3,0,0,0,0,3,0,0,20,0,,,cyrpa01
146,Ulf Dahlén,25,MNS,RW,79,36,30,66,-5,10,6.1,19,16,1,5,15,15,0,216,16.7,,,dahleul01
147,Chris Dahlquist,29,MNS,D,74,1,13,14,-10,68,3.1,1,0,0,0,11,1,1,63,1.6,,,dahlqch01
148,J.J. Daigneault,26,MTL,D,79,4,14,18,16,36,5.9,2,2,0,0,8,5,1,108,3.7,,,daignjj01
149,Brad Dalgarno,24,NYI,RW,15,2,1,3,-8,12,-0.3,1,1,0,0,1,0,0,17,11.8,,,dalgabr01
150,Rod Dallman,25,PHI,LW,2,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,,,dallmro01
151,Vincent Damphousse,24,EDM,LW,80,38,51,89,10,53,7.9,25,12,1,8,29,20,2,247,15.4,,,damphvi01
152,Ken Daneyko,27,NJD,D,80,1,7,8,7,170,3.3,1,0,0,0,7,0,0,57,1.8,,,daneyke01
153,Jeff Daniels,23,PIT,LW,2,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,0,,,,danieje01
154,Kimbi Daniels,20,PHI,C,25,1,1,2,-4,4,-0.5,1,0,0,1,1,0,0,16,6.3,,,danieki01
155,Evgeny Davydov,24,WIN,LW,12,4,3,7,7,8,0.8,2,2,0,0,2,1,0,32,12.5,,,davydev01
156,Joe Day,23,HAR,LW,24,0,3,3,-2,10,-0.4,0,0,0,0,2,0,1,13,0,,,dayjo01
157,Lucien DeBlois,34,TOT,LW,65,9,13,22,-2,41,0.9,8,0,1,2,13,0,0,90,10,,,deblolu01
157,Lucien DeBlois,34,TOR,LW,54,8,11,19,-3,39,0.8,7,0,1,1,11,0,0,75,10.7,,,deblolu01
157,Lucien DeBlois,34,WIN,LW,11,1,2,3,1,2,0.1,1,0,0,1,2,0,0,15,6.7,,,deblolu01
158,Louie DeBrusk,20,EDM,LW,25,2,1,3,4,124,-0.2,2,0,0,1,1,0,0,7,28.6,,,debrulo01
159,Eric Desjardins,22,MTL,D,77,6,32,38,17,50,7.7,2,4,0,2,23,9,0,141,4.3,,,desjaer01
160,Gerald Diduck,26,VAN,D,77,6,21,27,-3,229,4.9,4,2,0,1,10,9,2,128,4.7,,,diducge01
161,Rob DiMaio,23,NYI,LW,50,5,2,7,-23,43,-1.1,3,0,2,0,2,0,0,43,11.6,,,dimairo01
162,Gord Dineen,29,PIT,D,1,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,0,,,,dineego01
163,Kevin Dineen,28,TOT,RW,80,30,32,62,-5,153,5.1,21,6,3,5,20,11,1,225,13.3,,,dineeke01
163,Kevin Dineen,28,PHI,RW,64,26,30,56,1,130,4.9,18,5,3,4,19,10,1,197,13.2,,,dineeke01
163,Kevin Dineen,28,HAR,RW,16,4,2,6,-6,23,0.2,3,1,0,1,1,1,0,28,14.3,,,dineeke01
164,Gilbert Dionne,21,MTL,LW,39,21,13,34,7,10,3.6,14,7,0,2,7,6,0,90,23.3,,,dionngi01
165,Paul DiPietro,21,MTL,C,33,4,6,10,5,25,0.5,4,0,0,0,6,0,0,27,14.8,,,dipiepa01
166,Robert Dirk,25,VAN,D,72,2,7,9,6,126,3.5,2,0,0,0,7,0,0,44,4.5,,,dirkro01
167,Per Djoos,23,NYR,D,50,1,18,19,7,40,3.2,0,1,0,1,14,4,0,39,2.6,,,djoospe01
168,Brian Dobbin,25,BOS,RW,7,1,0,1,0,22,0,1,0,0,0,0,0,0,4,25,,,dobbibr01
169,Bobby Dollas,27,DET,D,27,3,1,4,4,20,1.4,2,0,1,0,1,0,0,26,11.5,,,dollabo01
170,Tie Domi,22,NYR,RW,42,2,4,6,-4,246,-0.7,2,0,0,1,4,0,0,20,10,,,domiti01
171,Clark Donatelli,26,BOS,LW,10,0,1,1,-8,22,-0.4,0,0,0,0,1,0,0,7,0,,,donatcl01
172,Ted Donato,22,BOS,C,10,1,2,3,-1,8,0,1,0,0,0,2,0,0,13,7.7,,,donatte01
173,Gord Donnelly,29,TOT,D,71,2,3,5,-12,316,1.7,2,0,0,1,3,0,0,30,6.7,,,donnego01
173,Gord Donnelly,29,BUF,D,67,2,3,5,-7,305,1.8,2,0,0,1,3,0,0,25,8,,,donnego01
173,Gord Donnelly,29,WIN,D,4,0,0,0,-5,11,-0.1,0,0,0,0,0,0,0,5,0,,,donnego01
174,Mike Donnelly,28,LAK,LW,80,29,16,45,5,20,3.7,28,0,1,4,14,1,1,197,14.7,,,donnemi01
175,Peter Douris,25,BOS,RW,54,10,13,23,9,10,1.5,10,0,0,1,13,0,0,107,9.3,,,douripe01
176,Jim Dowd,23,NJD,RW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,dowdji01
177,Kris Draper,20,WIN,C,10,2,0,2,0,2,0.1,2,0,0,0,0,0,0,19,10.5,,,drapekr01
178,Bruce Driver,29,NJD,D,78,7,35,42,5,66,6.2,3,3,1,1,18,13,4,205,3.4,,,drivebr01
179,John Druce,25,WSH,RW,67,19,18,37,14,39,2.9,18,1,0,3,17,1,0,129,14.7,,,drucejo01
180,Gaetan Duchesne,29,MNS,LW,73,8,15,23,6,102,1,6,0,2,1,14,0,1,106,7.5,,,duchega01
181,Steve Duchesne,26,PHI,D,78,18,38,56,-7,86,8,9,7,2,3,26,12,0,229,7.9,,,duchest01
182,Donald Dufresne,24,MTL,D,3,0,0,0,2,2,0.2,0,0,0,0,0,0,0,2,0,,,dufredo01
183,Yanick Dupre,19,PHI,LW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,dupreya01
184,Karl Dykhuis,19,CHI,D,6,1,3,4,-1,4,0.6,0,1,0,0,2,0,1,12,8.3,,,dykhuka01
185,Mike Eagles,28,WIN,C,65,7,10,17,-17,118,0,6,0,1,0,8,0,2,60,11.7,,,eaglemi01
186,Mike Eastwood,24,TOR,C,9,0,2,2,-4,4,-0.2,0,0,0,0,1,1,0,6,0,,,eastwmi01
187,Pelle Eklund,28,PHI,LW,51,7,16,23,0,4,1.1,4,1,2,1,9,7,0,74,9.5,,,eklunpe01
