,,,,,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,,,Special Teams,Special Teams,,Assists,Assists,Assists,Shot Data,Shot Data,Ice Time,Ice Time,
Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,Id
1,Keith Acton,33,PHI,C,50,7,10,17,-4,98,0.6,7,0,0,3,10,0,0,79,8.9,,,actonke01
2,Greg Adams,28,VAN,LW,76,30,27,57,8,26,5.1,16,13,1,5,18,7,2,184,16.3,,,adamsgr02
3,Jim Agnew,25,VAN,D,24,0,0,0,-1,56,0.7,0,0,0,0,0,0,0,9,0,,,agnewji01
4,Peter Ahola,23,LAK,D,71,7,12,19,12,101,4.5,7,0,0,0,11,1,0,74,9.5,,,aholape01
5,Tommy Albelin,27,NJD,D,19,0,4,4,7,4,1.2,0,0,0,0,4,0,0,18,0,,,albelto01
6,Tony Amonte,21,NYR,RW,79,35,34,69,12,55,6.3,26,9,0,4,26,8,0,234,15,,,amontto01
7,Glenn Anderson*,31,TOR,RW,72,24,33,57,-13,100,4.4,19,5,0,4,21,12,0,188,12.8,,,andergl01
8,Perry Anderson,30,SJS,LW,48,4,8,12,-17,143,-0.3,4,0,0,0,8,0,0,57,7,,,anderpe01
9,Mikael Andersson,25,HAR,RW,74,18,29,47,18,14,3.8,14,1,3,1,23,6,0,149,12.1,,,andermi01
10,Dave Andreychuk*,28,BUF,LW,80,41,50,91,-9,71,8.2,13,28,0,2,27,23,0,337,12.2,,,andreda01
11,Shawn Antoski,21,VAN,LW,4,0,0,0,-1,29,-0.1,0,0,0,0,0,0,0,6,0,,,antossh01
12,Scott Arniel,29,BOS,LW,29,5,3,8,5,20,0.5,5,0,0,1,3,0,0,34,14.7,,,arniesc01
13,Brent Ashton,31,TOT,LW,68,18,22,40,-7,51,2.7,11,6,1,1,18,4,0,130,13.8,,,ashtobr01
13,Brent Ashton,31,BOS,LW,61,17,22,39,-4,47,2.8,10,6,1,1,18,4,0,124,13.7,,,ashtobr01
13,Brent Ashton,31,WIN,LW,7,1,0,1,-3,4,-0.1,1,0,0,0,0,0,0,6,16.7,,,ashtobr01
14,Donald Audette,22,BUF,RW,63,31,17,48,-1,75,4.6,26,5,0,6,14,3,0,153,20.3,,,audetdo01
15,Dave Babych,30,VAN,D,75,5,24,29,-2,63,5,1,4,0,1,12,12,0,148,3.4,,,babycda01
16,Jergus Baca,27,HAR,D,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,,,bacaje01
17,Jamie Baker,25,QUE,C,52,7,10,17,-5,32,0.5,4,3,0,1,8,2,0,77,9.1,,,bakerja01
18,Ralph Barahona,26,BOS,C,3,0,1,1,1,0,0,0,0,0,0,1,0,0,0,,,,barahra01
19,Don Barber,27,TOT,LW,25,1,6,7,-6,6,-0.1,1,0,0,0,3,3,0,24,4.2,,,barbedo01
19,Don Barber,27,SJS,LW,12,1,3,4,-7,2,-0.1,1,0,0,0,2,1,0,17,5.9,,,barbedo01
19,Don Barber,27,WIN,LW,11,0,3,3,2,4,0.1,0,0,0,0,1,2,0,6,0,,,barbedo01
19,Don Barber,27,QUE,LW,2,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,1,0,,,barbedo01
20,Stu Barnes,21,WIN,C,46,8,9,17,-2,26,0.9,4,4,0,0,7,2,0,75,10.7,,,barnest01
21,Murray Baron,24,STL,D,67,3,8,11,-3,94,2.8,3,0,0,0,8,0,0,55,5.5,,,baronmu01
22,Dave Barr,31,NJD,C,41,6,12,18,9,32,1,5,0,1,0,9,1,2,49,12.2,,,barrda01
23,Bob Bassen,26,STL,LW,79,7,25,32,12,167,1.3,7,0,0,1,22,1,2,101,6.9,,,bassebo01
24,Ken Baumgartner,25,TOT,LW,55,0,1,1,-9,225,-1.6,0,0,0,0,1,0,0,16,0,,,baumgke01
24,Ken Baumgartner,25,NYI,LW,44,0,1,1,-10,202,-1.4,0,0,0,0,1,0,0,11,0,,,baumgke01
24,Ken Baumgartner,25,TOR,LW,11,0,0,0,1,23,-0.2,0,0,0,0,0,0,0,5,0,,,baumgke01
25,Robin Bawa,25,VAN,RW,2,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,1,0,,,bawaro01
26,Bob Beers,24,BOS,D,31,0,5,5,-13,29,0.7,0,0,0,0,4,1,0,25,0,,,beersbo01
27,Jesse Belanger,22,MTL,C,4,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,4,0,,,belanje01
28,Brian Bellows,27,MNS,LW,80,30,45,75,-20,41,5.8,17,12,1,4,24,20,1,255,11.8,,,bellobr01
29,Adam Bennett,20,CHI,D,5,0,0,0,1,12,0.3,0,0,0,0,0,0,0,6,0,,,bennead01
30,Rick Bennett,24,NYR,LW,3,0,1,1,0,2,0,0,0,0,0,1,0,0,2,0,,,benneri01
31,Brian Benning,25,TOT,D,75,4,42,46,-5,134,5.6,2,2,0,0,22,20,0,152,2.6,,,bennibr01
31,Brian Benning,25,LAK,D,53,2,30,32,4,99,4.2,2,0,0,0,16,14,0,102,2,,,bennibr01
31,Brian Benning,25,PHI,D,22,2,12,14,-9,35,1.5,0,2,0,0,6,6,0,50,4,,,bennibr01
32,Josef Beranek,22,EDM,C,58,12,16,28,-2,18,1.4,12,0,0,1,13,3,0,79,15.2,,,beranjo01
33,Drake Berehowsky,20,TOR,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,berehdr01
34,Perry Berezan,27,SJS,C,66,12,7,19,-26,30,0.3,7,4,1,2,6,1,0,112,10.7,,,berezpe01
35,Bill Berg,24,NYI,LW,47,5,9,14,-18,28,-0.3,4,1,0,1,7,0,2,60,8.3,,,bergbi01
36,Marc Bergevin,26,HAR,D,75,7,17,24,-13,64,4.2,2,4,1,1,7,9,1,96,7.3,,,bergema01
37,Tim Bergland,27,WSH,C,22,1,4,5,-3,2,-0.2,1,0,0,0,4,0,0,18,5.6,,,berglti01
38,Brad Berry,26,MNS,D,7,0,0,0,-1,6,0.2,0,0,0,0,0,0,0,2,0,,,berrybr01
39,Craig Berube,26,TOT,LW,76,6,11,17,-5,264,-0.2,5,1,0,1,10,1,0,69,8.7,,,berubcr01
39,Craig Berube,26,TOR,LW,40,5,7,12,-2,109,0.4,4,1,0,1,6,1,0,42,11.9,,,berubcr01
39,Craig Berube,26,CGY,LW,36,1,4,5,-3,155,-0.6,1,0,0,0,4,0,0,27,3.7,,,berubcr01
40,Jeff Beukeboom,26,TOT,D,74,1,15,16,23,200,4.4,1,0,0,0,13,0,2,48,2.1,,,beukeje01
40,Jeff Beukeboom,26,NYR,D,56,1,10,11,19,122,3.4,1,0,0,0,9,0,1,41,2.4,,,beukeje01
40,Jeff Beukeboom,26,EDM,D,18,0,5,5,4,78,0.9,0,0,0,0,4,0,1,7,0,,,beukeje01
