Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,Id
793,Jakub Voracek,23,PHI,RW,48,22,24,46,-7,35,6.1,14,8,0,3,15,9,0,129,17.1,827,17:14,12,20,2,3,40,voracja01
794,Slava Voynov,23,LAK,D,48,6,19,25,5,14,5.1,5,1,0,2,12,7,0,79,7.6,1071,22:18,48,83,2,0,100,voynovi01
795,Radim Vrbata,31,PHX,RW,34,12,16,28,6,14,3.6,9,2,1,1,6,10,0,106,11.3,623,18:19,14,26,10,22,31.3,vrbatra01
796,Tim Wallace,28,CAR,RW,28,1,1,2,-9,17,-0.6,1,0,0,0,1,0,0,20,5,281,10:02,4,69,9,21,30,wallati01
797,Tom Wandell,26,DAL,C,18,1,0,1,0,4,-0.1,1,0,0,1,0,0,0,14,7.1,152,8:27,9,15,46,65,41.4,wandeto01
798,Joel Ward,32,WSH,RW,39,8,12,20,7,12,2.3,6,1,1,1,10,2,0,52,15.4,590,15:08,28,37,38,27,58.5,wardjo02
799,Francis Wathier,28,DAL,LW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,6,5:40,0,5,0,2,0,wathifr01
800,Austin Watson,21,NSH,RW,6,1,0,1,-2,0,0,1,0,0,0,0,0,0,4,25,76,12:42,2,2,19,25,43.2,watsoau01
801,Mike Weaver,34,FLA,D,27,1,8,9,-3,8,1.6,1,0,0,0,8,0,0,21,4.8,544,20:08,51,49,0,0,,weavemi01
802,Mike Weber,25,BUF,D,42,1,6,7,3,70,1.6,1,0,0,0,5,0,1,25,4,771,18:22,92,122,0,0,,webermi01
803,Shea Weber,27,NSH,D,48,9,19,28,-2,48,5.3,6,3,0,1,10,9,0,124,7.3,1244,25:55:00,90,112,0,0,,webersh01
804,Yannick Weber,24,MTL,D,6,0,2,2,-1,2,0.2,0,0,0,0,1,1,0,3,0,83,13:45,4,3,0,0,,weberya01
805,Dale Weise,24,VAN,RW,40,3,3,6,-7,43,0.1,3,0,0,2,3,0,0,35,8.6,382,9:33,13,84,1,7,12.5,weiseda01
806,Stephen Weiss,29,FLA,C,17,1,3,4,-13,25,-0.5,0,1,0,0,2,1,0,19,5.3,314,18:28,10,6,141,135,51.1,weissst01
807,Eric Wellwood,22,PHI,LW,4,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,2,0,38,9:25,1,2,0,6,0,wellwer01
808,Kyle Wellwood,29,WPG,C,39,6,9,15,0,2,1.4,6,0,0,2,7,2,0,37,16.2,506,12:59,10,10,43,35,55.1,wellwky01
809,Jeremy Welsh,24,CAR,LW,5,0,1,1,1,0,0.1,0,0,0,0,1,0,0,4,0,29,5:51,0,6,15,5,75,welshje01
810,Kevin Westgarth,28,CAR,RW,31,2,2,4,1,45,0.4,2,0,0,0,2,0,0,16,12.5,177,5:43,1,28,0,3,0,westgke01
811,Blake Wheeler,26,WPG,RW,48,19,22,41,-3,28,5,17,2,0,2,17,5,0,129,14.7,902,18:48,39,90,4,14,22.2,wheelbl01
812,Ian White,28,DET,D,25,2,2,4,5,4,1.7,2,0,0,0,2,0,0,27,7.4,490,19:35,32,14,1,0,100,whiteia01
813,Ryan White,24,MTL,RW,26,1,0,1,1,67,-0.2,1,0,0,0,0,0,0,16,6.3,245,9:25,15,50,91,76,54.5,whitery01
814,Ray Whitney,40,DAL,LW,32,11,18,29,1,4,3.4,7,4,0,1,10,8,0,62,17.7,621,19:24,14,10,16,35,31.4,whitnra01
815,Ryan Whitney,29,EDM,D,34,4,9,13,-7,23,2,4,0,0,0,2,7,0,30,13.3,628,18:29,55,16,0,0,,whitnry01
816,Dennis Wideman,29,CGY,D,46,6,16,22,-9,12,3.5,2,4,0,1,6,9,1,94,6.4,1151,25:01:00,100,40,0,1,0,widemde01
817,Patrick Wiercioch,22,OTT,D,42,5,14,19,9,39,4.4,2,3,0,0,7,7,0,81,6.2,659,15:42,29,28,0,0,,wiercpa01
818,Justin Williams,31,LAK,RW,48,11,22,33,15,22,4.2,10,1,0,3,17,5,0,142,7.7,816,16:59,12,29,2,4,33.3,williju01
819,Colin Wilson,23,NSH,C,25,7,12,19,1,4,2.3,5,2,0,1,8,4,0,26,26.9,414,16:34,13,10,8,13,38.1,wilsoco01
820,Ryan Wilson,25,COL,D,12,0,3,3,4,8,0.9,0,0,0,0,3,0,0,23,0,222,18:30,12,17,0,0,,wilsory01
821,Tommy Wingels,24,SJS,C,42,5,8,13,-9,26,0.8,4,0,1,0,7,1,0,69,7.2,598,14:14,32,115,4,12,25,wingeto01
822,Daniel Winnik,27,ANA,C,48,6,13,19,13,16,1.9,6,0,0,1,13,0,0,95,6.3,808,16:50,37,63,16,37,30.2,winnida01
823,James Wisniewski,28,CBJ,D,30,5,9,14,-1,15,2.8,1,4,0,0,7,1,1,62,8.1,685,22:50,48,53,0,0,,wisnija01
824,Wojtek Wolski,26,WSH,LW,27,4,5,9,1,6,0.8,4,0,0,2,4,1,0,49,8.2,360,13:21,9,5,1,4,20,wolskwo01
825,James Wright,22,WPG,C,38,2,3,5,-5,31,-0.2,2,0,0,0,3,0,0,32,6.3,441,11:36,17,43,22,24,47.8,wrighja02
826,J.T. Wyman,26,TBL,RW,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,0,,14,13:31,0,0,7,4,63.6,wymanja01
827,Nail Yakupov,19,EDM,RW,48,17,14,31,-4,24,4,11,6,0,2,10,4,0,81,21,699,14:34,14,41,0,6,0,yakupna01
828,Keith Yandle,26,PHX,D,48,10,20,30,4,54,5.6,5,5,0,3,15,5,0,130,7.7,1068,22:15,40,18,0,0,,yandlke01
829,Brandon Yip,27,NSH,RW,34,3,5,8,-3,26,0.4,3,0,0,0,5,0,0,35,8.6,409,12:02,7,46,8,13,38.1,yipbr01
830,Nolan Yonkman,31,FLA,D,7,0,0,0,-1,11,0,0,0,0,0,0,0,0,4,0,68,9:46,2,12,0,0,,yonkmno01
831,Travis Zajac,27,NJD,C,48,7,13,20,-5,22,1.6,5,1,1,1,10,3,0,82,8.5,938,19:32,10,33,506,375,57.4,zajactr01
832,Greg Zanon,32,COL,D,44,0,6,6,-16,28,0,0,0,0,0,5,0,1,40,0,851,19:20,124,65,0,0,,zanongr01
833,Henrik Zetterberg,32,DET,LW,46,11,37,48,2,18,5.2,5,4,2,5,18,19,0,173,6.4,944,20:31,10,20,263,281,48.3,zettehe01
834,Mika Zibanejad,19,OTT,C,42,7,13,20,9,6,2.5,4,3,0,0,12,1,0,90,7.8,570,13:34,19,82,159,184,46.4,zibanmi01
835,Marek Zidlicky,35,NJD,D,48,4,15,19,-12,38,3,3,1,0,0,5,10,0,101,4,1008,21:00,42,52,0,0,,zidlima01
836,Harry Zolnierczyk,25,PHI,LW,7,0,1,1,0,36,0,0,0,0,0,1,0,0,4,0,52,7:22,3,7,0,0,,zolniha01
837,Dainius Zubrus,34,NJD,RW,22,2,7,9,-3,12,0.6,2,0,0,0,5,0,2,22,9.1,369,16:47,9,31,11,17,39.3,zubruda01
838,Mats Zuccarello,25,NYR,LW,15,3,5,8,10,8,1.3,3,0,0,0,3,1,1,27,11.1,246,16:25,15,27,0,4,0,zuccama01
839,Jason Zucker,21,MIN,LW,20,4,1,5,4,8,0.8,4,0,0,0,1,0,0,34,11.8,225,11:16,5,11,0,1,0,zuckeja01
