Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,Id
701,Jerred Smithson,33,TOT,C,45,3,3,6,-4,12,0.1,3,0,0,0,3,0,0,29,10.3,480,10:40,30,96,265,213,55.4,smithje01
701,Jerred Smithson,33,FLA,C,35,2,3,5,-4,10,0.1,2,0,0,0,3,0,0,22,9.1,363,10:22,25,81,199,164,54.8,smithje01
701,Jerred Smithson,33,EDM,C,10,1,0,1,0,2,0,1,0,0,0,0,0,0,7,14.3,117,11:43,5,15,66,49,57.4,smithje01
702,Ryan Smyth,36,EDM,LW,47,2,11,13,-5,40,0.3,1,0,1,0,10,1,0,69,2.9,722,15:22,24,41,87,115,43.1,smythry01
703,Vladimir Sobotka,25,STL,C,48,8,11,19,-4,35,1.8,7,1,0,2,8,3,0,69,11.6,742,15:27,16,98,286,220,56.5,sobotvl01
704,Carl Soderberg,27,BOS,C,6,0,2,2,-2,6,0,0,0,0,0,2,0,0,6,0,88,14:44,3,3,7,6,53.8,soderca01
705,Sheldon Souray,36,ANA,D,44,7,10,17,19,52,4.9,5,2,0,3,7,3,0,80,8.8,921,20:56,58,34,1,0,100,sourash01
706,Nick Spaling,24,NSH,C,47,9,4,13,-10,18,0.8,8,1,0,2,2,1,1,57,15.8,745,15:52,21,38,223,259,46.3,spalini01
707,Jason Spezza,29,OTT,C,5,2,3,5,3,2,0.8,1,1,0,0,2,1,0,12,16.7,96,19:11,2,0,68,51,57.1,spezzja01
708,Ryan Spooner,21,BOS,C,4,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,4,0,36,9:07,2,1,11,13,45.8,spoonry01
709,Jared Spurgeon,23,MIN,D,39,5,10,15,1,4,3.5,1,4,0,2,7,3,0,67,7.5,840,21:33,55,46,0,0,,spurgja01
710,Martin St. Louis*,37,TBL,RW,48,17,43,60,0,14,6.3,14,3,0,2,26,17,0,112,15.2,1055,21:59,32,23,12,16,42.9,stlouma01
711,Eric Staal,28,CAR,C,48,18,35,53,5,54,6.4,14,3,1,4,29,6,0,152,11.8,1008,21:00,24,35,527,487,52,staaler01
712,Jared Staal,22,CAR,RW,2,0,0,0,-2,2,-0.1,0,0,0,0,0,0,0,3,0,27,13:23,1,12,0,0,,staalja01
713,Jordan Staal,24,CAR,C,48,10,21,31,-18,32,2.1,9,1,0,1,14,6,1,114,8.8,965,20:06,20,105,458,456,50.1,staaljo01
714,Marc Staal,26,NYR,D,21,2,9,11,4,14,2.3,1,1,0,0,7,2,0,20,10,513,24:27:00,36,47,0,0,,staalma01
715,Drew Stafford,27,BUF,RW,46,6,12,18,-16,21,0.6,6,0,0,0,9,3,0,121,5,783,17:01,9,46,37,47,44,staffdr01
716,Matt Stajan,29,CGY,C,43,5,18,23,7,26,2.2,5,0,0,1,18,0,0,44,11.4,738,17:10,30,47,356,414,46.2,stajama01
717,Viktor Stalberg,27,CHI,LW,47,9,14,23,16,25,3.1,9,0,0,1,12,2,0,113,8,664,14:07,14,43,0,1,0,stalbvi01
718,Steven Stamkos,22,TBL,C,48,29,28,57,-4,32,7.1,19,10,0,2,20,8,0,157,18.5,1057,22:01,17,63,406,413,49.6,stamkst01
719,Ryan Stanton,23,CHI,D,1,0,0,0,1,2,0.1,0,0,0,0,0,0,0,1,0,17,17:05,2,1,0,0,,stantry01
720,Paul Stastny,27,COL,C,40,9,15,24,-7,14,2.1,7,2,0,1,7,8,0,87,10.3,774,19:21,29,21,409,372,52.4,stastpa01
721,Brad Staubitz,28,ANA,RW,15,1,1,2,0,41,0.2,1,0,0,1,1,0,0,5,20,93,6:13,7,31,0,0,,staubbr01
722,David Steckel,30,TOT,C,34,1,6,7,0,4,0.3,1,0,0,0,6,0,0,23,4.3,315,9:16,21,41,175,146,54.5,steckda01
722,David Steckel,30,ANA,C,21,1,5,6,2,4,0.5,1,0,0,0,5,0,0,19,5.3,223,10:37,11,30,137,103,57.1,steckda01
722,David Steckel,30,TOR,C,13,0,1,1,-2,0,-0.1,0,0,0,0,1,0,0,4,0,92,7:04,10,11,38,43,46.9,steckda01
723,Alex Steen,28,STL,C,40,8,19,27,5,14,3,5,3,0,3,13,6,0,129,6.2,760,19:00,22,28,94,110,46.1,steenal01
724,Lee Stempniak,29,CGY,RW,47,9,23,32,2,12,3.3,5,4,0,2,17,2,4,113,8,842,17:54,17,47,3,20,13,stemple01
725,Derek Stepan,22,NYR,C,48,18,26,44,25,12,6.5,13,4,1,6,17,6,3,108,16.7,1004,20:55,28,52,448,529,45.9,stepade01
726,Chris Stewart,25,STL,RW,48,18,18,36,0,40,4.9,12,6,0,3,12,6,0,97,18.6,759,15:49,13,41,8,19,29.6,stewach02
727,Jarret Stoll,30,LAK,C,48,7,11,18,1,28,1.5,5,1,1,3,6,4,1,73,9.6,793,16:31,44,107,418,328,56,stollja01
728,Mark Stone,20,OTT,RW,4,0,0,0,-1,2,-0.1,0,0,0,0,0,0,0,3,0,40,10:00,0,10,1,0,100,stonema01
729,Michael Stone,22,PHX,D,40,5,4,9,2,16,2.2,4,1,0,0,3,1,0,50,10,667,16:41,64,89,0,0,,stonemi01
730,Clayton Stoner,27,MIN,D,48,0,10,10,0,42,2.3,0,0,0,0,9,0,1,40,0,874,18:13,57,87,0,0,,stonecl01
731,Tyson Strachan,28,FLA,RW,38,0,4,4,-13,40,-1.2,0,0,0,0,4,0,0,42,0,720,18:58,62,110,0,0,,stracty01
732,Brian Strait,25,NYI,D,19,0,4,4,4,10,1.1,0,0,0,0,4,0,0,13,0,326,17:09,21,33,0,0,,straibr01
733,Anton Stralman,26,NYR,D,48,4,3,7,14,16,3.2,4,0,0,0,3,0,0,66,6.1,866,18:03,42,75,0,1,0,stralan01
734,Ben Street,25,CGY,C,6,0,1,1,-1,0,-0.1,0,0,0,0,0,0,1,13,0,82,13:37,2,8,24,27,47.1,streebe01
735,Mark Streit,35,NYI,D,48,6,21,27,-14,22,3.4,3,3,0,1,13,8,0,83,7.2,1121,23:21,86,34,0,0,,streima01
736,Brad Stuart,33,SJS,D,48,0,6,6,4,25,2.5,0,0,0,0,5,0,1,39,0,982,20:27,89,87,0,0,,stuarbr02
737,Mark Stuart,28,WPG,D,42,2,2,4,5,53,1.6,2,0,0,0,2,0,0,40,5,702,16:42,81,111,0,0,,stuarma01
738,P.K. Subban,23,MTL,D,42,11,27,38,12,57,7.1,4,7,0,0,8,19,0,126,8.7,976,23:15,49,51,0,0,,subbapk01
739,Steve Sullivan,38,TOT,C,42,7,10,17,-12,24,1.1,3,4,0,1,6,4,0,61,11.5,611,14:33,3,12,3,3,50,sullist01
739,Steve Sullivan,38,PHX,C,33,5,7,12,-8,20,0.7,3,2,0,0,3,4,0,48,10.4,474,14:22,2,11,0,1,0,sullist01
739,Steve Sullivan,38,NJD,C,9,2,3,5,-4,4,0.4,0,2,0,1,3,0,0,13,15.4,137,15:16,1,1,3,2,60,sullist01
740,Alexander Sulzer,28,BUF,D,17,3,1,4,3,10,1.2,3,0,0,1,1,0,0,15,20,281,16:31,19,5,0,0,,sulzeal01
741,Chris Summers,24,PHX,D,6,0,0,0,-3,9,-0.2,0,0,0,0,0,0,0,5,0,76,12:39,10,12,0,0,,summech01
742,Andrej Sustr,22,TBL,D,2,0,0,0,1,0,0.1,0,0,0,0,0,0,0,2,0,21,10:43,1,0,0,0,,sustran01
743,Ryan Suter,28,MIN,D,48,4,28,32,2,24,6,1,3,0,1,16,12,0,91,4.4,1309,27:17:00,74,33,0,0,,suterry01
744,Brandon Sutter,23,PIT,C,48,11,8,19,3,4,1.9,8,3,0,5,7,1,0,82,13.4,788,16:24,32,30,382,379,50.2,suttebr03
745,Brett Sutter,25,CAR,C,3,0,0,0,-1,4,-0.1,0,0,0,0,0,0,0,2,0,25,8:21,0,7,8,6,57.1,suttebr04
746,Bill Sweatt,24,VAN,LW,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,0,,12,12:24,0,0,0,0,,sweatbi01
747,Maxime Talbot,28,PHI,C,35,5,5,10,2,23,0.9,4,0,1,0,5,0,0,41,12.2,540,15:26,27,57,92,100,47.9,talboma01
748,Henrik Tallinder,34,NJD,D,25,1,3,4,0,10,1.2,1,0,0,0,2,1,0,22,4.5,439,17:34,15,15,0,0,,tallihe01
749,Chris Tanev,23,VAN,D,38,2,5,7,4,10,2,2,0,0,1,5,0,0,20,10,657,17:17,61,14,0,0,,tanevch01
750,Eric Tangradi,23,TOT,LW,41,1,3,4,-2,22,-0.3,1,0,0,0,3,0,0,48,2.1,413,10:05,22,87,0,2,0,tangrer01
750,Eric Tangradi,23,WPG,LW,36,1,3,4,-4,22,-0.3,1,0,0,0,3,0,0,44,2.3,371,10:18,21,81,0,2,0,tangrer01
750,Eric Tangradi,23,PIT,LW,5,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,43,8:32,1,6,0,0,,tangrer01
751,Alex Tanguay,33,CGY,LW,40,11,16,27,-13,22,2.4,8,2,1,1,9,7,0,44,25,774,19:22,28,24,68,105,39.3,tangual01
752,Matt Taormina,26,TBL,D,2,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,0,,33,16:39,3,5,0,0,,taormma01
753,Vladimir Tarasenko,21,STL,RW,38,8,11,19,1,10,2.3,5,3,0,1,9,2,0,75,10.7,510,13:25,7,28,1,0,100,tarasvl01
754,Jamie Tardif,28,BOS,RW,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,4:56,2,4,0,0,,tardija01
755,Tomas Tatar,22,DET,C,18,4,3,7,2,4,1,3,1,0,0,3,0,0,32,12.5,205,11:22,5,9,1,0,100,tatarto01
756,John Tavares,22,NYI,C,48,28,19,47,-2,18,6.6,19,9,0,5,12,7,0,162,17.3,997,20:46,22,33,459,471,49.4,tavarjo01
757,Mattias Tedenby,22,NJD,LW,4,0,1,1,0,2,0.1,0,0,0,0,1,0,0,2,0,36,9:00,1,1,0,0,,tedenma01
758,Matt Tennyson,22,SJS,D,4,0,2,2,2,2,0.5,0,0,0,0,2,0,0,8,0,63,15:43,2,4,0,0,,tennyma01
759,Chris Terry,23,CAR,LW,3,1,0,1,0,0,0.2,1,0,0,1,0,0,0,1,100,29,9:36,1,1,1,0,100,terrych01
760,Christian Thomas,20,NYR,RW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,13,12:46,0,3,0,0,,thomach01
