Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,Id
1,Ramzi Abid,26,NSH,LW,13,1,4,5,-3,13,0.2,1,0,0,0,4,0,0,12,8.3,141,10:51,abidra01
2,Craig Adams,29,CAR,RW,82,7,7,14,-9,54,0.4,6,0,1,1,6,0,1,71,9.9,826,10:04,adamscr01
3,Kevyn Adams,32,TOT,C,68,3,9,12,-20,25,-0.6,2,0,1,0,7,1,1,87,3.4,742,10:55,adamske01
3,Kevyn Adams,32,CAR,C,35,2,2,4,-10,17,-0.3,1,0,1,0,2,0,0,36,5.6,303,8:39,adamske01
3,Kevyn Adams,32,PHX,C,33,1,7,8,-10,8,-0.3,1,0,0,0,5,1,1,51,2,440,13:20,adamske01
4,Dmitry Afanasenkov,26,TOT,LW,74,11,10,21,-25,20,1,11,0,0,0,10,0,0,96,11.5,779,10:31,afanadm01
4,Dmitry Afanasenkov,26,PHI,LW,41,8,7,15,-19,12,0.8,8,0,0,0,7,0,0,65,12.3,481,11:44,afanadm01
4,Dmitry Afanasenkov,26,TBL,LW,33,3,3,6,-6,8,0.2,3,0,0,0,3,0,0,31,9.7,298,9:02,afanadm01
5,Maxim Afinogenov,27,BUF,RW,56,23,38,61,19,66,7.1,16,7,0,3,25,13,0,151,15.2,955,17:03,afinoma01
6,Andrew Alberts,25,BOS,D,76,0,10,10,-15,124,1.5,0,0,0,0,9,1,0,41,0,1495,19:40,alberan01
7,Nikita Alexeev,25,TOT,RW,78,12,11,23,7,12,2,10,2,0,2,9,2,0,117,10.3,1075,13:47,alexeni01
7,Nikita Alexeev,25,TBL,RW,63,10,11,21,10,12,2,8,2,0,2,9,2,0,102,9.8,902,14:19,alexeni01
7,Nikita Alexeev,25,CHI,RW,15,2,0,2,-3,0,0,2,0,0,0,0,0,0,15,13.3,173,11:33,alexeni01
8,Daniel Alfredsson*,34,OTT,RW,77,29,58,87,42,42,10,20,7,2,7,38,18,2,240,12.1,1661,21:35,alfreda01
9,Bobby Allen,28,BOS,D,31,0,3,3,-1,10,0.7,0,0,0,0,2,0,1,14,0,404,13:02,allenbo01
10,Bryan Allen,26,FLA,D,82,4,21,25,7,112,4.6,4,0,0,0,18,2,1,99,4,1771,21:36,allenbr01
11,Tony Amonte,36,CGY,RW,81,10,20,30,-4,40,1.7,8,1,1,1,17,2,1,139,7.2,1146,14:09,amontto01
12,Nik Antropov,26,TOR,C,54,18,15,33,8,44,3.7,14,4,0,4,14,1,0,125,14.4,896,16:36,antroni01
13,Denis Arkhipov,27,CHI,C,79,10,17,27,-13,54,1.2,7,2,1,1,9,4,4,112,8.9,1241,15:43,arkhide01
14,Colby Armstrong,24,PIT,RW,80,12,22,34,2,67,2.2,10,1,1,3,17,3,2,145,8.3,1346,16:50,armstco01
