Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,Id
1,Spencer Abbott,25,TOR,RW,1,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,2,0,5,5:16,0,1,0,0,,abbotsp01
2,Justin Abdelkader,26,DET,LW,70,10,18,28,2,31,2.6,9,1,0,3,16,2,0,147,6.8,1070,15:17,31,172,23,32,41.8,abdelju01
3,Will Acton,26,EDM,C,30,3,2,5,-2,21,0.4,3,0,0,1,2,0,0,18,16.7,244,8:08,14,37,98,97,50.3,actonwi01
4,Luke Adam,23,BUF,C,12,1,0,1,0,4,0,1,0,0,0,0,0,0,16,6.3,154,12:50,1,16,10,16,38.5,adamlu01
5,Craig Adams,36,PIT,RW,82,5,6,11,-16,46,-0.6,5,0,0,0,6,0,0,73,6.8,1022,12:28,59,190,61,78,43.9,adamscr01
6,Kenny Agostino,21,CGY,LW,8,1,1,2,-2,0,0.1,1,0,0,0,1,0,0,12,8.3,89,11:06,3,9,0,0,,agostke01
7,Jason Akeson,23,PHI,RW,1,0,1,1,1,0,0.1,0,0,0,0,1,0,0,2,0,13,13:22,0,1,0,0,,akesoja01
8,John Albert,25,WPG,C,9,1,0,1,-3,0,0,1,0,0,0,0,0,0,5,20,46,5:07,3,8,9,12,42.9,alberjo01
9,Andrew Alberts,32,VAN,D,10,0,0,0,1,0,0.2,0,0,0,0,0,0,0,5,0,74,7:23,7,6,0,0,,alberan01
10,Daniel Alfredsson*,41,DET,RW,68,18,31,49,2,10,5.8,14,4,0,4,17,14,0,151,11.9,1151,16:56,25,59,5,9,35.7,alfreda01
11,Bryan Allen,33,ANA,D,68,0,10,10,20,75,2.9,0,0,0,0,9,0,1,60,0,1193,17:33,118,121,0,0,,allenbr01
12,Conor Allen,24,NYR,D,3,0,0,0,-1,0,0,0,0,0,0,0,0,0,2,0,43,14:26,1,1,0,0,,allenco01
13,Adam Almqvist,22,DET,D,2,1,0,1,-1,0,0.2,1,0,0,0,0,0,0,2,50,34,17:13,0,1,0,0,,almqvad01
14,Karl Alzner,25,WSH,D,82,2,16,18,-7,26,3,2,0,0,1,13,1,2,95,2.1,1684,20:32,158,73,0,0,,alzneka01
15,Joakim Andersson,24,DET,C,65,8,9,17,-11,12,0.8,8,0,0,1,8,0,1,78,10.3,899,13:50,25,26,345,326,51.4,anderjo03
16,Artem Anisimov,25,CBJ,C,81,22,17,39,-2,20,4.6,17,3,2,5,14,3,0,162,13.6,1344,16:36,54,31,474,485,49.4,anisiar01
17,Darren Archibald,23,VAN,RW,16,1,2,3,1,0,0.3,1,0,0,0,2,0,0,11,9.1,125,7:48,9,30,0,1,0,archida02
18,Mark Arcobello,25,EDM,C,41,4,14,18,-7,8,1.2,3,1,0,1,12,2,0,70,5.7,618,15:04,23,78,206,198,51,arcobma01
19,Bill Arnold,21,CGY,C,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,0,,14,13:35,0,1,5,4,55.6,arnolbi01
20,Arron Asham,35,NYR,RW,6,0,0,0,-5,14,-0.3,0,0,0,0,0,0,0,1,0,45,7:29,1,8,0,0,,ashamar01
21,Carter Ashton,22,TOR,RW,32,0,3,3,1,19,0,0,0,0,0,3,0,0,23,0,201,6:16,7,46,12,11,52.2,ashtoca01
22,Cam Atkinson,24,CBJ,RW,79,21,19,40,-4,18,4.6,16,4,1,5,14,5,0,216,9.7,1247,15:47,38,55,0,0,,atkinca01
23,Keith Aucoin,35,STL,C,2,0,0,0,-3,0,-0.2,0,0,0,0,0,0,0,1,0,27,13:19,0,0,9,6,60,aucoike01
24,Keith Aulie,24,TBL,D,15,0,1,1,-3,9,-0.1,0,0,0,0,1,0,0,6,0,147,9:49,15,17,0,0,,aulieke01
25,David Backes,29,STL,C,74,27,30,57,14,119,7.6,17,10,0,5,24,6,0,165,16.4,1447,19:33,56,273,621,580,51.7,backeda01
26,Mikael Backlund,24,CGY,C,76,18,21,39,4,32,4.4,9,5,4,3,15,6,0,178,10.1,1409,18:32,62,64,628,694,47.5,backlmi01
27,Nicklas Backstrom,26,WSH,C,82,18,61,79,-20,54,7.2,11,6,1,1,23,38,0,196,9.2,1624,19:48,54,89,714,701,50.5,backsni02
28,Sven Baertschi,21,CGY,LW,26,2,9,11,-4,6,0.7,1,1,0,0,6,3,0,30,6.7,367,14:07,19,22,0,0,,baertsv01
29,Josh Bailey,24,NYI,LW,77,8,30,38,-8,26,2.7,6,2,0,1,22,8,0,98,8.2,1220,15:50,29,44,113,115,49.6,bailejo01
30,Keith Ballard,31,MIN,D,45,2,7,9,-7,37,1.3,2,0,0,0,5,2,0,29,6.9,612,13:37,37,58,0,0,,ballake01
31,Mark Barberio,23,TBL,D,49,5,5,10,10,28,3,4,1,0,0,5,0,0,54,9.3,714,14:35,38,28,0,0,,barbema01
32,Krys Barch,33,FLA,LW,55,0,4,4,-10,99,-0.6,0,0,0,0,4,0,0,19,0,329,5:59,6,64,1,0,100,barchkr01
33,Aleksander Barkov,18,FLA,C,54,8,16,24,-3,10,1.9,5,3,0,1,13,3,0,87,9.2,923,17:06,27,16,400,419,48.8,barkoal01
34,Tyson Barrie,22,COL,D,64,13,25,38,17,20,7.6,9,4,0,5,19,6,0,101,12.9,1187,18:33,57,50,0,0,,barrity01
35,Matt Bartkowski,25,BOS,D,64,0,18,18,22,30,4.3,0,0,0,0,18,0,0,91,0,1250,19:32,56,155,0,0,,bartkma01
36,Victor Bartley,25,NSH,D,50,1,5,6,0,23,1.5,1,0,0,0,5,0,0,21,4.8,768,15:22,79,81,0,0,,bartlvi01
37,Cody Bass,27,CBJ,C,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,,3,2:43,0,0,0,0,,bassco01
38,Jay Beagle,28,WSH,C,62,4,5,9,-9,28,-0.1,4,0,0,0,5,0,0,60,6.7,697,11:15,32,93,296,277,51.7,beaglja01
39,Francois Beauchemin,33,ANA,D,70,4,13,17,26,39,4.7,3,1,0,1,11,1,1,100,4,1617,23:06,171,112,0,0,,beaucfr01
40,Nathan Beaulieu,21,MTL,D,17,0,2,2,6,8,1,0,0,0,0,2,0,0,15,0,225,13:14,20,7,0,0,,beaulna01
41,Taylor Beck,22,NSH,RW,7,0,0,0,-2,6,-0.2,0,0,0,0,0,0,0,9,0,90,12:50,5,4,0,0,,beckta01
42,Matt Beleskey,25,ANA,LW,55,9,15,24,8,64,2.7,9,0,0,2,10,4,1,112,8,684,12:26,24,132,8,10,44.4,belesma01
43,Brett Bellemore,25,CAR,D,64,2,6,8,-1,45,2.2,2,0,0,0,6,0,0,54,3.7,1118,17:28,98,169,0,0,,bellebr01
44,Anton Belov,27,EDM,D,57,1,6,7,-12,34,0.9,1,0,0,0,4,2,0,54,1.9,951,16:41,75,103,0,0,,belovan01
45,Jamie Benn,24,DAL,C,81,34,45,79,21,64,10.9,28,5,1,3,29,14,2,279,12.2,1551,19:09,59,116,402,359,52.8,bennja01
46,Jordie Benn,26,DAL,D,78,3,17,20,16,30,4.9,2,1,0,0,15,1,1,91,3.3,1494,19:09,121,117,1,0,100,bennjo01
47,Beau Bennett,22,PIT,RW,21,3,4,7,-2,0,0.6,3,0,0,1,4,0,0,27,11.1,291,13:51,7,32,2,0,100,bennebe01
48,Andre Benoit,30,COL,D,79,7,21,28,2,26,4.7,6,1,0,2,13,7,1,113,6.2,1597,20:13,119,58,0,0,,benoian01
49,Sean Bergenheim,29,FLA,LW,62,16,13,29,-16,40,2.7,13,3,0,3,12,1,0,190,8.4,1023,16:30,18,111,2,2,50,bergese01
50,Patrice Bergeron,28,BOS,C,80,30,32,62,38,43,9.2,22,7,1,7,25,4,3,243,12.3,1439,17:59,57,52,1015,717,58.6,bergepa01
51,Patrik Berglund,25,STL,C,78,14,18,32,10,38,3.5,12,2,0,2,16,2,0,144,9.7,1261,16:10,30,88,373,410,47.6,berglpa01
52,Steve Bernier,28,NJD,RW,78,3,9,12,-15,33,-0.3,3,0,0,1,8,1,0,104,2.9,971,12:27,23,118,6,12,33.3,bernist01
53,Todd Bertuzzi,38,DET,RW,59,9,7,16,-17,40,0.6,3,6,0,0,6,1,0,100,9,865,14:39,14,72,9,9,50,bertuto01
54,Bryan Bickell,27,CHI,LW,59,11,4,15,-6,28,1.3,11,0,0,2,4,0,0,93,11.8,670,11:21,10,105,1,1,50,bickebr01
55,Kevin Bieksa,32,VAN,D,76,4,20,24,-8,104,4.7,3,1,0,1,13,7,0,167,2.4,1731,22:46,130,144,1,0,100,biekske01
56,Chad Billins,24,CGY,D,10,0,3,3,-3,0,0.2,0,0,0,0,3,0,0,3,0,122,12:13,9,0,0,0,,billich01
57,Paul Bissonnette,28,PHX,LW,39,2,6,8,6,53,1.1,2,0,0,0,6,0,0,25,8,185,4:45,4,51,1,2,33.3,bissopa01
58,Nick Bjugstad,21,FLA,C,76,16,22,38,-14,16,3.5,15,0,1,4,18,3,1,185,8.6,1233,16:13,23,117,549,574,48.9,bjugsni01
59,Jonathon Blum,25,MIN,D,15,0,1,1,-1,0,0.2,0,0,0,0,1,0,0,11,0,175,11:40,13,10,0,0,,blumjo02
60,Mike Blunden,27,MTL,RW,7,0,0,0,-2,5,-0.2,0,0,0,0,0,0,0,2,0,43,6:08,3,16,0,0,,blundmi01
61,Troy Bodie,29,TOR,RW,47,3,7,10,6,26,1,3,0,0,0,7,0,0,50,6,405,8:37,19,64,2,5,28.6,bodietr01
62,Mikkel Boedker,24,PHX,LW,82,19,32,51,-9,20,5,14,5,0,1,21,11,0,166,11.4,1428,17:25,16,105,3,4,42.9,boedkmi01
63,Zach Bogosian,23,WPG,D,55,3,8,11,3,48,2.8,3,0,0,0,7,1,0,134,2.2,1260,22:55,75,94,0,0,,bogosza01
64,Jared Boll,27,CBJ,RW,28,1,1,2,-6,62,-0.3,1,0,0,0,1,0,0,12,8.3,214,7:38,9,52,0,1,0,bollja01
65,Dave Bolland,27,TOR,C,23,8,4,12,-1,24,1.7,6,1,1,2,3,1,0,33,24.2,333,14:28,13,38,152,185,45.1,bollada01
66,Brandon Bollig,27,CHI,LW,82,7,7,14,-1,92,0.6,7,0,0,1,7,0,0,109,6.4,843,10:17,22,203,1,0,100,bollibr01
67,Nick Bonino,25,ANA,C,77,22,27,49,14,22,6,15,7,0,2,14,13,0,159,13.8,1250,16:14,68,28,583,611,48.8,boninni01
68,David Booth,29,VAN,LW,66,9,10,19,1,18,1.9,9,0,0,0,9,1,0,117,7.7,889,13:28,17,121,13,10,56.5,boothda01
69,Patrick Bordeleau,27,COL,LW,82,6,5,11,-1,115,0.7,6,0,0,1,5,0,0,37,16.2,565,6:53,14,178,1,2,33.3,bordepa02
70,Mark Borowiecki,24,OTT,D,13,1,0,1,-2,48,0.1,1,0,0,0,0,0,0,6,16.7,164,12:35,13,41,0,0,,borowma01
71,Robert Bortuzzo,24,PIT,D,54,0,10,10,-3,74,1.8,0,0,0,0,9,0,1,50,0,836,15:29,73,137,0,1,0,borturo01
72,Pierre-Marc Bouchard,29,NYI,C,28,4,5,9,-9,12,0.4,3,1,0,1,5,0,0,51,7.8,391,13:57,6,7,3,2,60,bouchpi02
73,Reid Boucher,20,NJD,C,23,2,5,7,2,4,0.7,2,0,0,0,5,0,0,27,7.4,261,11:21,5,17,1,2,33.3,bouchre01
74,Francis Bouillon,38,MTL,D,52,2,4,6,-5,34,1.6,2,0,0,1,3,1,0,34,5.9,920,17:41,70,80,0,0,,bouilfr01
75,Eric Boulton,37,NYI,LW,23,2,2,4,0,88,0.4,2,0,0,0,2,0,0,21,9.5,147,6:25,6,32,0,0,,boulter01
76,Lance Bouma,23,CGY,LW,78,5,10,15,-4,41,0.5,4,0,1,0,10,0,0,82,6.1,983,12:36,87,181,22,63,25.9,boumala01
77,Michael Bournival,21,MTL,LW,60,7,7,14,-6,18,1.2,6,1,0,1,5,2,0,78,9,619,10:19,42,67,28,33,45.9,bournmi01
78,Gabriel Bourque,23,NSH,LW,74,9,17,26,-5,8,2,9,0,0,1,16,1,0,108,8.3,1024,13:50,34,70,0,1,0,bourqga01
79,Rene Bourque,32,MTL,RW,63,9,7,16,-1,32,1.4,6,3,0,2,6,1,0,118,7.6,894,14:11,15,90,4,4,50,bourqre01
80,Jay Bouwmeester,30,STL,D,82,4,33,37,26,20,8.8,3,1,0,0,23,10,0,152,2.6,1972,24:03:00,106,51,3,1,75,bouwmja01
81,Drayson Bowman,24,CAR,LW,70,4,8,12,-2,16,0.6,4,0,0,0,8,0,0,80,5,725,10:21,18,45,6,4,60,bowmadr01
82,Johnny Boychuk,30,BOS,D,75,5,18,23,31,45,6.4,5,0,0,1,15,0,3,142,3.5,1589,21:12,151,158,0,0,,boychjo01
83,Zach Boychuk,24,CAR,LW,11,1,3,4,2,0,0.5,1,0,0,0,3,0,0,15,6.7,112,10:12,2,17,0,1,0,boychza01
84,Brad Boyes,31,FLA,RW,78,21,15,36,-6,28,4,18,2,1,1,14,1,0,176,11.9,1329,17:03,35,46,37,32,53.6,boyesbr01
85,Brian Boyle,29,NYR,C,82,6,12,18,1,56,1.1,5,1,0,1,9,1,2,137,4.4,1047,12:46,54,154,306,272,52.9,boylebr01
86,Dan Boyle,37,SJS,D,75,12,24,36,-8,32,6,6,6,0,1,12,12,0,154,7.8,1596,21:17,92,46,0,0,,boyleda01
87,Tyler Bozak,27,TOR,C,58,19,30,49,2,14,5.7,13,5,1,1,27,3,0,90,21.1,1215,20:57,42,62,681,718,48.7,bozakty01
88,Derick Brassard,26,NYR,C,81,18,27,45,2,46,5.3,11,7,0,4,16,11,0,159,11.3,1280,15:48,19,124,469,508,48,brassde01
89,Justin Braun,26,SJS,D,82,4,13,17,19,20,5.4,3,1,0,1,13,0,0,121,3.3,1721,20:59,146,77,0,0,,braunju01
90,Christopher Breen,24,CGY,D,9,0,2,2,1,5,0.4,0,0,0,0,2,0,0,4,0,84,9:23,7,3,0,0,,breench01
91,Eric Brewer,34,TBL,D,77,4,13,17,10,59,4,4,0,0,2,11,0,2,83,4.8,1352,17:33,99,139,0,0,,breweer01
92,Daniel Briere,36,MTL,C,69,13,12,25,1,30,3,9,4,0,1,10,2,0,118,11,881,12:46,11,23,171,179,48.9,brierda01
93,T.J. Brodie,23,CGY,D,81,4,27,31,0,20,6.3,3,1,0,2,19,6,2,104,3.8,1949,24:04:00,130,58,0,0,,broditj01
94,Jonas Brodin,20,MIN,D,79,8,11,19,0,22,5,5,3,0,0,7,4,0,74,10.8,1888,23:54,117,33,0,0,,brodijo01
95,Kyle Brodziak,29,MIN,C,81,8,16,24,0,61,1.4,7,0,1,1,15,1,0,115,7,1314,16:13,41,73,590,633,48.2,brodzky01
96,David Broll,21,TOR,LW,5,0,1,1,1,5,0.1,0,0,0,0,1,0,0,3,0,41,8:11,2,7,0,0,,brollda01
97,Sheldon Brookbank,33,CHI,D,48,2,5,7,2,52,1.4,2,0,0,1,5,0,0,43,4.7,619,12:53,38,64,0,0,,brooksh01
98,Julien Brouillette,27,WSH,D,10,1,1,2,3,0,0.7,1,0,0,1,1,0,0,4,25,156,15:33,11,10,0,0,,brouiju01
99,Troy Brouwer,28,WSH,RW,82,25,18,43,-6,92,4.7,13,12,0,3,9,9,0,161,15.5,1546,18:51,39,210,223,213,51.1,brouwtr01
100,Chris Brown,22,TOT,C,12,1,1,2,0,17,0.2,1,0,0,0,1,0,0,8,12.5,104,8:42,1,22,15,25,37.5,brownch01
100,Chris Brown,22,PHX,C,6,0,0,0,0,17,-0.1,0,0,0,0,0,0,0,4,0,46,7:41,1,10,0,2,0,brownch01
100,Chris Brown,22,WSH,C,6,1,1,2,0,0,0.2,1,0,0,0,1,0,0,4,25,58,9:42,0,12,15,23,39.5,brownch01
101,Dustin Brown,29,LAK,RW,79,15,12,27,7,66,3.1,14,1,0,2,9,3,0,195,7.7,1251,15:50,12,246,6,13,31.6,browndu01
102,J.T. Brown,23,TBL,RW,63,4,15,19,-9,6,0.7,4,0,0,0,12,2,1,113,3.5,821,13:02,32,70,7,15,31.8,brownjt01
103,Mike Brown,28,TOT,RW,56,2,3,5,-9,94,-0.3,2,0,0,0,3,0,0,45,4.4,400,7:09,15,146,2,1,66.7,brownmi02
103,Mike Brown,28,SJS,RW,48,2,3,5,-10,75,-0.3,2,0,0,0,3,0,0,44,4.5,354,7:22,12,121,2,1,66.7,brownmi02
103,Mike Brown,28,EDM,RW,8,0,0,0,1,19,0,0,0,0,0,0,0,0,1,0,47,5:49,3,25,0,0,,brownmi02
104,Gilbert Brule,27,PHX,C,3,0,0,0,-1,2,-0.1,0,0,0,0,0,0,0,3,0,35,11:33,1,3,0,0,,brulegi01
