Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,Id
105,Damien Brunner,27,NJD,RW,60,11,14,25,-11,26,2.4,7,4,0,1,7,6,1,110,10,812,13:32,5,15,1,7,12.5,brunnda01
106,Brett Bulmer,21,MIN,RW,5,0,0,0,-2,2,-0.2,0,0,0,0,0,0,0,7,0,53,10:41,2,14,0,0,,bulmebr01
107,Adam Burish,31,SJS,RW,15,0,0,0,-4,6,-0.4,0,0,0,0,0,0,0,9,0,144,9:37,9,23,39,36,52,burisad01
108,Brent Burns,28,SJS,RW,69,22,26,48,26,34,6.9,20,2,0,3,17,9,0,245,9,1160,16:49,24,145,61,70,46.6,burnsbr01
109,Alexandre Burrows,32,VAN,LW,49,5,10,15,-9,71,0.6,3,2,0,0,5,4,1,104,4.8,873,17:49,33,84,23,32,41.8,burroal01
110,Bobby Butler,26,FLA,RW,2,0,1,1,1,2,0.1,0,0,0,0,1,0,0,5,0,28,13:50,0,2,0,0,,butlebo01
111,Chris Butler,27,CGY,D,82,2,14,16,-23,39,2.1,2,0,0,1,13,0,1,83,2.4,1662,20:16,211,68,0,0,,butlech01
112,Dustin Byfuglien,28,WPG,D,78,20,36,56,-20,86,8.3,12,8,0,1,18,18,0,256,7.8,1801,23:05,80,213,0,2,0,byfugdu01
113,Paul Byron,24,CGY,C,47,7,14,21,6,27,2.3,4,2,1,1,10,1,3,46,15.2,679,14:27,10,63,7,25,21.9,byronpa01
114,Mitch Callahan,22,DET,RW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,9:01,0,2,0,0,,callami01
115,Ryan Callahan,28,TOT,RW,65,17,19,36,1,24,4,9,7,1,3,14,5,0,163,10.4,1212,18:39,60,189,13,19,40.6,callary01
115,Ryan Callahan,28,NYR,RW,45,11,14,25,-3,16,2.7,6,4,1,2,11,3,0,109,10.1,808,17:57,47,132,7,12,36.8,callary01
115,Ryan Callahan,28,TBL,RW,20,6,5,11,4,8,1.3,3,3,0,1,3,2,0,54,11.1,404,20:13,13,57,6,7,46.2,callary01
116,Matt Calvert,24,CBJ,LW,56,9,15,24,-1,53,2.2,7,2,0,1,13,2,0,90,10,902,16:06,28,108,3,6,33.3,calvema01
117,Mike Cammalleri,31,CGY,C,63,26,19,45,-13,26,5.5,20,6,0,8,11,8,0,191,13.6,1250,19:51,29,26,88,103,46.1,cammami01
118,Andrew Campbell,25,LAK,D,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,38,12:42,1,3,0,0,,campban01
119,Brian Campbell,34,FLA,D,82,7,30,37,-6,20,6.3,5,2,0,2,18,10,2,116,6,2211,26:57:00,108,50,0,1,0,campbbr02
120,Gregory Campbell,30,BOS,C,82,8,13,21,1,47,1.4,7,0,1,2,11,1,1,84,9.5,976,11:54,46,134,358,391,47.8,campbgr01
121,Daniel Carcillo,29,TOT,LW,57,4,1,5,-1,100,0.2,4,0,0,2,1,0,0,44,9.1,529,9:17,21,112,1,0,100,carcida01
121,Daniel Carcillo,29,NYR,LW,31,3,0,3,0,43,0.3,3,0,0,1,0,0,0,22,13.6,272,8:47,12,58,0,0,,carcida01
121,Daniel Carcillo,29,LAK,LW,26,1,1,2,-1,57,-0.1,1,0,0,1,1,0,0,22,4.5,257,9:52,9,54,1,0,100,carcida01
122,Matt Carey,21,CHI,LW,2,1,0,1,-1,2,0.1,1,0,0,0,0,0,0,1,100,19,9:38,0,2,10,11,47.6,careyma01
123,Paul Carey,25,COL,C,12,0,0,0,2,0,-0.1,0,0,0,0,0,0,0,6,0,77,6:26,2,11,0,0,,careypa01
124,Matt Carkner,33,NYI,D,53,0,3,3,-10,149,0,0,0,0,0,3,0,0,50,0,635,11:59,59,58,0,0,,carknma01
125,Matt Carle,29,TBL,D,82,2,29,31,11,28,5.7,1,1,0,0,23,6,0,115,1.7,1819,22:11,161,46,0,1,0,carlema01
126,John Carlson,24,WSH,D,82,10,27,37,-3,22,6.7,5,5,0,0,9,17,1,208,4.8,2010,24:31:00,177,64,0,1,0,carlsjo01
127,Jordan Caron,23,BOS,RW,35,1,2,3,-8,36,-0.7,1,0,0,0,2,0,0,52,1.9,382,10:55,9,47,1,3,25,caronjo01
128,Connor Carrick,19,WSH,D,34,1,5,6,-9,23,0.5,1,0,0,0,5,0,0,26,3.8,543,15:58,56,25,0,0,,carrico01
129,Jeff Carter,29,LAK,C,72,27,23,50,8,44,7,18,8,1,5,17,6,0,256,10.5,1365,18:57,29,68,336,308,52.2,carteje01
130,Ryan Carter,30,NJD,C,62,7,3,10,-6,35,0.6,7,0,0,2,2,0,1,69,10.1,702,11:20,24,72,16,20,44.4,cartery01
131,Cody Ceci,20,OTT,D,49,3,6,9,-5,14,1.4,3,0,0,2,6,0,0,82,3.7,843,17:12,49,45,0,0,,cecico01
132,Michael Chaput,21,CBJ,C,17,0,1,1,0,2,-0.1,0,0,0,0,1,0,0,6,0,151,8:54,10,34,42,56,42.9,chapumi01
133,Zdeno Chara,36,BOS,D,77,17,23,40,25,66,9.2,7,10,0,3,17,5,1,168,10.1,1898,24:39:00,104,163,0,0,,charazd01
134,Ben Chiarot,22,WPG,D,1,0,0,0,-3,0,-0.2,0,0,0,0,0,0,0,0,,11,10:47,0,3,0,0,,chiarbe01
135,Alex Chiasson,23,DAL,RW,79,13,22,35,-21,38,2.4,7,6,0,4,15,7,0,144,9,1194,15:07,21,75,64,68,48.5,chiasal01
136,Jason Chimera,34,WSH,LW,82,15,27,42,4,36,4.4,14,1,0,0,22,4,1,167,9,1264,15:25,30,140,38,49,43.7,chimeja01
137,Kyle Chipchura,27,PHX,C,80,5,15,20,3,45,1.6,5,0,0,0,15,0,0,46,10.9,777,9:43,9,116,176,155,53.2,chipcky01
138,Casey Cizikas,22,NYI,C,80,6,10,16,-12,30,0.1,5,1,0,1,7,1,2,79,7.6,1070,13:22,48,128,489,522,48.4,cizikca01
139,David Clarkson,29,TOR,RW,60,5,6,11,-14,93,-0.4,4,1,0,1,5,1,0,102,4.9,906,15:06,35,159,8,13,38.1,clarkda03
140,Dan Cleary,35,DET,RW,52,4,4,8,-11,31,-0.4,4,0,0,1,3,0,1,64,6.3,723,13:54,17,51,12,10,54.5,clearda01
141,Marc-Andre Cliche,26,COL,C,76,1,6,7,-11,17,-1.2,1,0,0,0,5,0,1,69,1.4,803,10:34,42,25,331,388,46,clichma01
142,Kyle Clifford,23,LAK,LW,71,3,5,8,6,81,0.4,3,0,0,0,5,0,0,74,4.1,721,10:10,13,189,6,6,50,cliffky01
143,Grant Clitsome,28,WPG,D,32,2,10,12,-5,18,1.6,2,0,0,0,8,2,0,42,4.8,633,19:47,42,51,0,0,,clitsgr01
144,Ryane Clowe,31,NJD,LW,43,7,19,26,-10,33,2.3,4,3,0,1,14,5,0,74,9.5,694,16:08,19,82,1,2,33.3,clowery01
145,Rich Clune,26,NSH,LW,58,3,4,7,-7,166,0,3,0,0,1,4,0,0,29,10.3,491,8:27,9,132,0,0,,cluneri01
146,Cal Clutterbuck,26,NYI,RW,73,12,7,19,-9,50,1.3,9,0,3,1,6,0,1,172,7,1046,14:20,14,270,7,9,43.8,cluttca01
147,Braydon Coburn,28,PHI,D,82,5,12,17,-6,63,3.3,4,0,1,2,12,0,0,122,4.1,1840,22:27,115,109,0,0,,coburbr01
148,Andrew Cogliano,26,ANA,C,82,21,21,42,13,26,5.2,18,0,3,5,18,0,2,157,13.4,1262,15:24,36,94,11,16,40.7,coglian01
149,Carlo Colaiacovo,31,STL,D,25,1,3,4,-4,18,0.6,1,0,0,0,2,1,0,18,5.6,379,15:09,26,29,0,0,,colaica01
150,Joe Colborne,24,CGY,C,80,10,18,28,-17,34,1.8,9,1,0,1,15,3,0,80,12.5,1141,14:16,33,129,214,227,48.5,colbojo01
151,Erik Cole,35,DAL,LW,75,16,13,29,-17,20,2.3,13,3,0,4,9,4,0,139,11.5,1137,15:10,21,88,19,22,46.3,coleer01
152,Ian Cole,24,STL,D,46,3,8,11,15,31,3.5,3,0,0,0,6,2,0,45,6.7,694,15:05,68,24,0,0,,coleia01
153,Sean Collins,25,CBJ,C,6,0,1,1,1,0,0.1,0,0,0,0,1,0,0,6,0,49,8:11,1,9,0,0,,collise02
154,Blake Comeau,27,CBJ,LW,61,5,11,16,-2,36,1,5,0,0,0,11,0,0,107,4.7,736,12:04,14,193,10,7,58.8,comeabl01
155,Cory Conacher,24,TOT,C,79,7,19,26,1,50,2,6,1,0,2,19,0,0,100,7,1022,12:56,27,51,9,5,64.3,conacco01
155,Cory Conacher,24,OTT,C,60,4,16,20,8,34,1.6,4,0,0,1,16,0,0,73,5.5,738,12:18,15,41,8,5,61.5,conacco01
155,Cory Conacher,24,BUF,C,19,3,3,6,-7,16,0.4,2,1,0,1,3,0,0,27,11.1,284,14:58,12,10,1,0,100,conacco01
156,Erik Condra,27,OTT,RW,76,6,10,16,0,30,0.8,5,0,1,0,9,0,1,85,7.1,885,11:39,44,28,1,14,6.7,condrer01
157,Kevin Connauton,23,DAL,D,36,1,7,8,-6,16,0.9,1,0,0,0,5,2,0,56,1.8,552,15:20,29,43,0,0,,connake01
158,Chris Conner,30,PIT,RW,19,4,1,5,-3,2,0.5,4,0,0,0,1,0,0,17,23.5,224,11:46,10,21,0,1,0,connech01
159,Brett Connolly,21,TBL,RW,11,1,0,1,-5,4,-0.2,1,0,0,1,0,0,0,12,8.3,132,12:01,1,9,25,27,48.1,connobr01
160,Matt Cooke,35,MIN,LW,82,10,18,28,8,54,2.5,9,0,1,3,15,2,1,104,9.6,1263,15:24,61,190,10,16,38.5,cookema01
161,Patrice Cormier,23,WPG,C,9,0,3,3,2,7,0.3,0,0,0,0,3,0,0,4,0,63,6:58,3,20,26,20,56.5,cormipa01
162,Frank Corrado,20,VAN,D,15,1,0,1,-2,4,0.3,1,0,0,0,0,0,0,20,5,188,12:34,17,9,0,0,,corrafr01
163,Joe Corvo,36,OTT,D,25,3,7,10,-7,10,1.1,3,0,0,0,5,2,0,54,5.6,438,17:31,24,15,0,0,,corvojo01
164,Jean-Philippe Cote,31,TBL,D,19,0,4,4,0,22,0.6,0,0,0,0,4,0,0,12,0,190,10:00,22,40,0,0,,coteje01
165,Logan Couture,24,SJS,C,65,23,31,54,21,20,7.3,17,4,2,6,20,8,2,233,9.9,1231,18:56,68,16,479,471,50.4,coutulo01
166,Sean Couturier,21,PHI,C,82,13,26,39,1,45,3.2,12,0,1,2,19,3,4,165,7.9,1565,19:05,40,64,646,707,47.7,coutuse01
167,Jared Cowen,23,OTT,D,68,6,9,15,0,45,3,6,0,0,2,8,1,0,68,8.8,1395,20:31,99,214,0,0,,cowenja01
168,Charlie Coyle,21,MIN,C,70,12,18,30,-7,33,2.4,10,2,0,2,17,1,0,135,8.9,1196,17:05,37,108,192,266,41.9,coylech01
