,,,,,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,,,Special Teams,Special Teams,,Assists,Assists,Assists,Shot Data,Shot Data,Ice Time,Ice Time,
Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,Id
149,Vincent Damphousse,31,SJS,C,12,7,6,13,3,4,1.8,4,3,0,1,2,4,0,43,16.3,232,19:21,damphvi01
150,Mathieu Dandenault,22,DET,RW,75,4,10,14,17,59,0.6,4,0,0,0,9,1,0,94,4.3,1138,15:10,dandema01
151,Ken Daneyko,34,NJD,D,82,2,9,11,27,63,4.7,2,0,0,0,9,0,0,63,3.2,1644,20:03,daneyke01
152,Jeff Daniels,30,NSH,LW,9,1,3,4,-1,2,0.3,1,0,0,0,3,0,0,8,12.5,98,10:56,danieje01
153,Scott Daniels,29,NJD,LW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,2:11,daniesc01
154,Johan Davidsson,23,MDA,C,64,3,5,8,-9,14,-0.2,2,1,0,1,4,1,0,48,6.3,679,10:37,davidjo02
155,Jason Dawe,25,TOT,RW,59,6,8,14,0,22,1.1,5,1,0,1,7,1,0,81,7.4,669,11:21,daweja01
155,Jason Dawe,25,MTL,RW,37,4,5,9,0,14,0.8,3,1,0,1,5,0,0,52,7.7,407,11:00,daweja01
155,Jason Dawe,25,NYI,RW,22,2,3,5,0,8,0.3,2,0,0,0,2,1,0,29,6.9,262,11:55,daweja01
156,Eric Daze,23,CHI,LW,72,22,20,42,-13,22,4.1,14,8,0,2,11,9,0,189,11.6,1171,16:16,dazeer01
157,Greg de Vries,26,TOT,D,73,1,3,4,-7,64,0.8,1,0,0,0,3,0,0,57,1.8,1207,16:32,devrigr01
157,Greg de Vries,26,COL,D,67,1,3,4,-3,60,1,1,0,0,0,3,0,0,56,1.8,1098,16:23,devrigr01
157,Greg de Vries,26,NSH,D,6,0,0,0,-4,4,-0.2,0,0,0,0,0,0,0,1,0,109,18:11,devrigr01
158,Adam Deadmarsh,23,COL,RW,66,22,27,49,-2,99,4.8,12,10,0,3,16,10,1,152,14.5,1371,20:46,deadmad01
159,Kevin Dean,29,NJD,D,62,1,10,11,4,22,2.3,0,1,0,0,9,1,0,51,2,973,15:42,deanke01
160,Louie DeBrusk,27,PHX,LW,15,0,0,0,-2,34,-0.2,0,0,0,0,0,0,0,6,0,89,5:57,debrulo01
161,Jonathan Delisle,21,MTL,RW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,4:32,delisjo01
162,Xavier Delisle,21,TBL,C,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,5:51,delisxa01
163,Andy Delmore,22,PHI,D,2,0,1,1,-1,0,0.1,0,0,0,0,0,1,0,2,0,41,20:42,delmoan01
164,Pavol Demitra,24,STL,LW,82,37,52,89,13,16,10.7,23,14,0,10,37,15,0,259,14.3,1654,20:10,demitpa01
165,Eric Desjardins,29,PHI,D,68,15,36,51,18,38,10.1,9,6,0,2,17,18,1,190,7.9,1754,25:48:00,desjaer01
166,Boyd Devereaux,20,EDM,C,61,6,8,14,2,23,1.1,5,0,1,4,8,0,0,39,15.4,619,10:09,deverbo01
167,Gerald Diduck,33,PHX,D,44,0,2,2,9,72,1.8,0,0,0,0,2,0,0,39,0,815,18:32,diducge01
168,Rob DiMaio,30,BOS,C,71,7,14,21,-14,95,0.8,6,1,0,0,12,1,1,121,5.8,1185,16:41,dimairo01
169,Kevin Dineen,35,CAR,RW,67,8,10,18,5,97,1.8,8,0,0,1,9,1,0,86,9.3,668,9:58,dineeke01
170,Chris Dingman,22,TOT,LW,3,0,0,0,-2,24,-0.1,0,0,0,0,0,0,0,1,0,17,5:37,dingmch01
170,Chris Dingman,22,CGY,LW,2,0,0,0,-2,17,-0.1,0,0,0,0,0,0,0,1,0,16,8:11,dingmch01
170,Chris Dingman,22,COL,LW,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,,1,0:30,dingmch01
171,Shane Doan,22,PHX,RW,79,6,16,22,-5,54,1.1,6,0,0,0,15,1,0,156,3.8,1003,12:42,doansh01
172,Jason Doig,22,PHX,D,9,0,1,1,2,10,0.3,0,0,0,0,1,0,0,0,,46,5:08,doigja01
173,Bobby Dollas,34,PIT,D,70,2,8,10,-3,60,1.7,2,0,0,0,7,0,1,34,5.9,1091,15:35,dollabo01
174,Hnat Domenichelli,22,CGY,C,23,5,5,10,-4,11,0.9,2,3,0,0,4,1,0,45,11.1,299,12:59,domenhn01
175,Tie Domi,29,TOR,RW,72,8,14,22,5,198,1.8,8,0,0,1,14,0,0,65,12.3,698,9:42,domiti01
176,Ted Donato,29,TOT,LW,82,11,16,27,-8,41,2.1,8,3,0,0,12,4,0,106,10.4,1028,12:32,donatte01
176,Ted Donato,29,NYI,LW,55,7,11,18,-10,27,1.2,5,2,0,0,8,3,0,68,10.3,668,12:09,donatte01
176,Ted Donato,29,BOS,LW,14,1,3,4,0,4,0.2,1,0,0,0,2,1,0,22,4.5,215,15:21,donatte01
176,Ted Donato,29,OTT,LW,13,3,2,5,2,10,0.7,2,1,0,0,2,0,0,16,18.8,145,11:10,donatte01
177,Shean Donovan,24,COL,RW,68,7,12,19,4,37,1.8,6,1,0,1,11,1,0,81,8.6,596,8:46,donovsh01
178,Jim Dowd,30,EDM,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,9:47,dowdji01
179,Dallas Drake,29,PHX,RW,53,9,22,31,17,65,3.4,9,0,0,3,20,2,0,105,8.6,829,15:38,drakeda01
180,Kris Draper,27,DET,C,80,4,14,18,2,79,0.6,3,0,1,1,11,0,3,78,5.1,1017,12:43,drapekr01
181,Chris Drury,22,COL,C,79,20,24,44,9,62,5,14,6,0,3,17,7,0,138,14.5,1047,13:15,drurych01
182,Ted Drury,27,MDA,C,75,5,6,11,2,83,0.8,5,0,0,0,6,0,0,79,6.3,619,8:15,druryte01
183,Christian Dube,21,NYR,C,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,2:39,dubech01
184,Steve Dubinsky,28,TOT,C,62,4,10,14,-7,14,0,2,0,2,0,9,0,1,70,5.7,898,14:29,dubinst01
184,Steve Dubinsky,28,CGY,C,61,4,10,14,-7,14,0,2,0,2,0,9,0,1,69,5.8,893,14:38,dubinst01
184,Steve Dubinsky,28,CHI,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,5:11,dubinst01
185,Steve Duchesne,33,TOT,D,71,6,24,30,-6,24,5.2,4,2,0,2,8,16,0,118,5.1,1518,21:23,duchest01
185,Steve Duchesne,33,LAK,D,60,4,19,23,-6,22,4,3,1,0,1,7,12,0,99,4,1271,21:11,duchest01
185,Steve Duchesne,33,PHI,D,11,2,5,7,0,2,1.2,1,1,0,1,1,4,0,19,10.5,247,22:28,duchest01
186,J.P. Dumont,20,CHI,RW,25,9,6,15,7,10,2.2,9,0,0,2,5,1,0,42,21.4,356,14:14,dumonjp01
187,Radek Dvorak,21,FLA,RW,82,19,24,43,7,29,4.5,15,0,4,0,21,3,0,182,10.4,1330,16:13,dvorara01
188,Karl Dykhuis,26,TOT,D,78,4,5,9,-23,50,1.2,3,1,0,0,0,4,1,88,4.5,1489,19:05,dykhuka01
188,Karl Dykhuis,26,PHI,D,45,2,4,6,-2,32,1.6,1,1,0,0,0,4,0,61,3.3,821,18:15,dykhuka01
188,Karl Dykhuis,26,TBL,D,33,2,1,3,-21,18,-0.3,2,0,0,0,0,0,1,27,7.4,668,20:14,dykhuka01
189,Joe Dziedzic,27,PHX,LW,2,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,1,0,16,8:09,dziedjo01
190,Mike Eagles,35,WSH,C,52,4,2,6,-5,50,0.1,4,0,0,0,2,0,0,41,9.8,497,9:34,eaglemi01
191,Dallas Eakins,31,TOR,D,18,0,2,2,3,24,0.4,0,0,0,0,2,0,0,11,0,296,16:28,eakinda01
192,Mike Eastwood,31,STL,C,82,9,21,30,6,36,2.2,9,0,0,0,21,0,0,76,11.8,1229,14:59,eastwmi01
193,Patrik Elias,22,NJD,LW,74,17,33,50,19,34,5.6,14,3,0,2,23,10,0,157,10.8,1172,15:50,eliaspa01
194,Dave Ellett,34,BOS,D,54,0,6,6,11,25,2.7,0,0,0,0,3,3,0,45,0,799,14:48,elletda01
195,Nelson Emerson,31,TOT,RW,65,13,24,37,8,51,3.7,10,3,0,1,17,7,0,188,6.9,1088,16:45,emersne01
195,Nelson Emerson,31,CAR,RW,35,8,13,21,1,36,2.2,5,3,0,0,8,5,0,84,9.5,508,14:30,emersne01
195,Nelson Emerson,31,CHI,RW,27,4,10,14,8,13,1.3,4,0,0,1,9,1,0,94,4.3,530,19:37,emersne01
195,Nelson Emerson,31,OTT,RW,3,1,1,2,-1,2,0.2,1,0,0,0,0,1,0,10,10,51,17:05,emersne01
196,Anders Eriksson,24,TOT,D,72,2,18,20,11,34,4.2,2,0,0,1,13,4,1,79,2.5,1221,16:58,eriksan01
196,Anders Eriksson,24,DET,D,61,2,10,12,5,34,2.7,2,0,0,1,9,0,1,67,3,970,15:54,eriksan01
196,Anders Eriksson,24,CHI,D,11,0,8,8,6,0,1.5,0,0,0,0,4,4,0,12,0,251,22:51,eriksan01
197,Kelly Fairchild,25,DAL,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,13,12:37,faircke01
198,Pat Falloon,26,EDM,RW,82,17,23,40,-4,20,3.6,9,8,0,2,16,7,0,152,11.2,1205,14:42,fallopa01
199,Rico Fata,18,CGY,C,20,0,1,1,0,4,-0.2,0,0,0,0,1,0,0,13,0,152,7:36,fatari01
200,Sergei Fedorov*,29,DET,C,77,26,37,63,9,66,6.9,18,6,2,3,24,13,0,224,11.6,1490,19:21,fedorse01
201,Brent Fedyk,31,NYR,LW,67,4,6,10,-11,30,-0.1,3,0,1,0,5,0,1,47,8.5,744,11:06,fedykbr01
202,Scott Ferguson,26,MDA,D,2,0,1,1,0,0,0.1,0,0,0,0,1,0,0,1,0,30,15:09,fergusc01
203,Chris Ferraro,26,EDM,RW,2,1,0,1,1,0,0.2,1,0,0,0,0,0,0,1,100,17,8:33,ferrach01
204,Peter Ferraro,26,BOS,C,46,6,8,14,10,44,1.8,5,1,0,1,7,1,0,61,9.8,469,10:12,ferrape01
205,Ray Ferraro,34,LAK,C,65,13,18,31,0,59,3.3,9,4,0,4,15,2,1,84,15.5,947,14:34,ferrara01
206,Jeff Finley,31,TOT,D,32,1,2,3,11,20,1.9,1,0,0,0,2,0,0,16,6.3,551,17:14,finleje01
206,Jeff Finley,31,STL,D,30,1,2,3,12,20,1.9,1,0,0,0,2,0,0,16,6.3,528,17:36,finleje01
206,Jeff Finley,31,NYR,D,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,,23,11:40,finleje01
207,Tom Fitzgerald,30,NSH,RW,80,13,19,32,-18,48,1.5,13,0,0,1,15,2,2,180,7.2,1383,17:17,fitzgto01
208,Rory Fitzpatrick,24,STL,D,1,0,0,0,-3,2,-0.2,0,0,0,0,0,0,0,0,,5,4:49,fitzpro02
209,Theoren Fleury,30,TOT,RW,75,40,53,93,26,86,11.7,29,8,3,5,34,17,2,301,13.3,1751,23:21,fleurth01
209,Theoren Fleury,30,CGY,RW,60,30,39,69,18,68,8.5,20,7,3,3,24,13,2,250,12,1413,23:33,fleurth01
209,Theoren Fleury,30,COL,RW,15,10,14,24,8,18,3.2,9,1,0,2,10,4,0,51,19.6,338,22:33,fleurth01
210,Adam Foote,27,COL,D,64,5,16,21,20,92,5.3,2,3,0,0,11,5,0,83,6,1589,24:50:00,footead01
211,Colin Forbes,22,TOT,LW,80,12,8,20,-5,61,1.4,11,0,1,4,8,0,0,117,10.3,1076,13:27,forbeco01
211,Colin Forbes,22,PHI,LW,66,9,7,16,0,51,1.2,9,0,0,4,7,0,0,92,9.8,831,12:35,forbeco01
211,Colin Forbes,22,TBL,LW,14,3,1,4,-5,10,0.2,2,0,1,0,1,0,0,25,12,245,17:30,forbeco01
212,Peter Forsberg*,25,COL,C,78,30,67,97,27,108,10.8,19,9,2,7,35,28,4,217,13.8,1832,23:29,forsbpe01
213,Ron Francis*,35,CAR,C,82,21,31,52,-2,34,4.6,13,8,0,2,21,10,0,133,15.8,1797,21:55,francro01
214,Scott Fraser,26,NYR,RW,28,2,4,6,-12,14,-0.1,1,1,0,0,3,1,0,35,5.7,283,10:06,frasesc01
215,Doug Friedman,27,NSH,LW,2,0,1,1,0,14,0.1,0,0,0,0,1,0,0,3,0,14,7:00,frieddo01
216,Jeff Friesen,22,SJS,LW,78,22,35,57,3,42,6.1,11,10,1,3,19,14,2,215,10.2,1515,19:25,friesje01
217,Dave Gagner,34,TOT,C,69,6,22,28,-16,63,1.4,4,2,0,1,12,10,0,100,6,959,13:54,gagneda01
217,Dave Gagner,34,FLA,C,36,4,10,14,-7,39,0.8,2,2,0,0,5,5,0,50,8,490,13:36,gagneda01
217,Dave Gagner,34,VAN,C,33,2,12,14,-9,24,0.6,2,0,0,1,7,5,0,50,4,470,14:14,gagneda01
218,Sean Gagnon,25,PHX,D,2,0,0,0,-2,7,-0.1,0,0,0,0,0,0,0,1,0,16,7:56,gagnose01
219,Maxim Galanov,24,PIT,D,51,4,3,7,-8,14,1,2,2,0,0,2,1,0,44,9.1,776,15:13,galanma01
220,Garry Galley,35,LAK,D,60,4,12,16,-9,30,2.8,1,3,0,0,6,4,2,77,5.2,1036,17:16,gallega01
221,Bruce Gardiner,26,OTT,C,59,4,8,12,6,43,0.6,4,0,0,1,7,0,1,70,5.7,759,12:52,gardibr01
222,Johan Garpenlöv,30,FLA,LW,64,8,9,17,-9,42,0.8,7,0,1,0,8,0,1,71,11.3,847,13:14,garpejo01
223,Mike Gaul,25,COL,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,10:46,gaulmi01
224,Denis Gauthier,22,CGY,D,55,3,4,7,3,68,1.7,3,0,0,0,3,0,1,40,7.5,698,12:41,gauthde01
225,Aaron Gavey,24,DAL,C,7,0,0,0,-1,10,-0.1,0,0,0,0,0,0,0,4,0,57,8:09,gaveyaa01
226,Martin Gelinas,28,CAR,LW,76,13,15,28,3,67,2.7,13,0,0,2,15,0,0,111,11.7,1004,13:13,gelinma01
227,Brent Gilchrist,31,DET,LW,5,1,0,1,-1,0,0.1,1,0,0,1,0,0,0,4,25,60,11:58,gilchbr01
228,Hal Gill,23,BOS,D,80,3,7,10,-10,63,3.2,3,0,0,2,7,0,0,102,2.9,1672,20:54,gillha01
229,Todd Gill,33,TOT,D,51,4,5,9,-10,27,1.5,3,1,0,1,5,0,0,61,6.6,924,18:07,gillto01
229,Todd Gill,33,STL,D,28,2,3,5,-6,16,0.8,1,1,0,0,3,0,0,36,5.6,493,17:36,gillto01
229,Todd Gill,33,DET,D,23,2,2,4,-4,11,0.7,2,0,0,1,2,0,0,25,8,431,18:45,gillto01
230,Doug Gilmour*,35,CHI,C,72,16,40,56,-16,56,4.1,8,7,1,4,27,13,0,110,14.5,1619,22:29,gilmodo01
231,Jonathan Girard,18,BOS,D,3,0,0,0,1,0,0.1,0,0,0,0,0,0,0,3,0,28,9:28,girarjo01
232,Yan Golubovsky,22,DET,D,17,0,1,1,4,16,0.6,0,0,0,0,1,0,0,10,0,164,9:39,golubya01
233,Sergei Gonchar,24,WSH,D,53,21,10,31,1,57,7.1,7,13,1,3,5,4,1,180,11.7,1268,23:55,gonchse01
234,Robb Gordon,23,VAN,C,4,0,0,0,0,2,-0.1,0,0,0,0,0,0,0,1,0,35,8:50,gordoro01
235,Tony Granato,34,SJS,RW,35,6,6,12,4,54,1.5,5,0,1,1,4,2,0,65,9.2,367,10:29,granato01
236,Jean-Luc Grand-Pierre,21,BUF,D,16,0,1,1,0,17,0.3,0,0,0,0,1,0,0,11,0,218,13:36,grandje01
237,Benoit Gratton,22,WSH,LW,16,4,3,7,-1,16,0.8,4,0,0,0,2,1,0,24,16.7,215,13:28,grattbe01
238,Chris Gratton,23,TOT,C,78,8,26,34,-28,143,1.3,7,1,0,1,17,7,2,181,4.4,1328,17:02,grattch01
238,Chris Gratton,23,TBL,C,52,7,19,26,-20,102,1.2,6,1,0,1,12,5,2,127,5.5,953,18:20,grattch01
238,Chris Gratton,23,PHI,C,26,1,7,8,-8,41,0,1,0,0,0,5,2,0,54,1.9,375,14:25,grattch01
239,Adam Graves,30,NYR,LW,82,38,15,53,-12,47,6.3,22,14,2,7,8,6,1,239,15.9,1685,20:33,gravead01
240,Josh Green,21,LAK,LW,27,1,3,4,-5,8,-0.1,0,1,0,0,3,0,0,35,2.9,317,11:44,greenjo01
241,Travis Green,28,MDA,C,79,13,17,30,-7,81,2.2,9,3,1,2,10,6,1,165,7.9,1365,17:17,greentr01
242,Mark Greig,29,PHI,RW,7,1,3,4,1,2,0.4,1,0,0,0,1,2,0,9,11.1,69,9:55,greigma01
243,Wayne Gretzky*,38,NYR,C,70,9,53,62,-23,14,4.2,6,3,0,3,26,27,0,132,6.8,1475,21:04,gretzwa01
244,Mike Grier,24,EDM,RW,82,20,24,44,5,54,4.5,15,3,2,1,22,2,0,143,14,1308,15:57,griermi01
245,Stu Grimson,33,MDA,LW,73,3,0,3,0,158,0.3,3,0,0,1,0,0,0,10,30,249,3:25,grimsst01
246,Michal Grosek,23,BUF,LW,76,20,30,50,21,102,5.9,16,4,0,3,22,8,0,140,14.3,1310,17:14,grosemi01
247,John Gruden,28,OTT,D,13,0,1,1,0,8,0.3,0,0,0,0,1,0,0,10,0,171,13:07,grudejo01
248,Bill Guerin,28,EDM,RW,80,30,34,64,7,133,7.2,17,13,0,2,25,9,0,261,11.5,1576,19:42,gueribi01
249,Steve Guolla,25,SJS,C,14,2,2,4,3,6,0.5,2,0,0,1,2,0,0,22,9.1,195,13:54,guollst01
250,Miloslav Guren,22,MTL,D,12,0,1,1,-1,4,0.3,0,0,0,0,1,0,0,11,0,144,12:02,gurenmi01
251,Alexei Gusarov,34,COL,D,54,3,10,13,12,24,3.3,2,1,0,0,7,3,0,28,10.7,1077,19:57,gusaral01
252,Sergey Gusev,23,TOT,D,36,1,7,8,-3,16,1.4,1,0,0,1,1,5,1,46,2.2,566,15:44,gusevse01
252,Sergey Gusev,23,DAL,D,22,1,4,5,5,6,1.4,1,0,0,1,1,3,0,30,3.3,265,12:04,gusevse01
252,Sergey Gusev,23,TBL,D,14,0,3,3,-8,10,0,0,0,0,0,0,2,1,16,0,301,21:30,gusevse01
253,Steven Halko,24,CAR,D,20,0,3,3,5,24,1,0,0,0,0,3,0,0,6,0,319,15:57,halkost01
254,Kevin Haller,28,MDA,D,82,1,6,7,-1,122,3,1,0,0,0,5,0,1,64,1.6,1693,20:39,halleke01
255,Trevor Halverson,27,WSH,LW,17,0,4,4,-5,28,-0.1,0,0,0,0,4,0,0,16,0,203,11:57,halvetr01
256,Roman Hamrlik,24,EDM,D,75,8,24,32,9,70,6.1,5,3,0,0,10,14,0,172,4.7,1786,23:49,hamrlro01
257,Michal Handzus,21,STL,C,66,4,12,16,-9,30,0.1,4,0,0,0,11,1,0,78,5.1,977,14:48,handzmi01
258,Scott Hannan,20,SJS,D,5,0,2,2,0,6,0.3,0,0,0,0,1,1,0,4,0,36,7:15,hannasc01
259,Tavis Hansen,23,PHX,C,20,2,1,3,-4,12,0.1,2,0,0,0,1,0,0,14,14.3,162,8:07,hanseta01
260,David Harlock,27,NYI,D,70,2,6,8,-16,68,1.4,2,0,0,0,6,0,0,35,5.7,1278,18:15,harloda01
261,Todd Harvey,23,NYR,RW,37,11,17,28,-1,72,3,5,6,0,2,9,8,0,58,19,641,17:19,harveto01
262,Derian Hatcher,26,DAL,D,80,9,21,30,21,102,8.6,6,3,0,2,18,2,1,125,7.2,1979,24:44:00,hatchde01
263,Kevin Hatcher,32,PIT,D,66,11,27,38,11,24,6.9,5,4,2,3,16,11,0,131,8.4,1626,24:38:00,hatchke01
264,Dwayne Hay,21,FLA,LW,9,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,3,0,59,6:35,haydw01
265,Jochen Hecht,21,STL,C,3,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,4,0,40,13:16,hechtjo01
266,Bret Hedican,28,TOT,D,67,5,18,23,5,51,4.7,3,0,2,1,14,3,1,90,5.6,1344,20:04,hedicbr01
266,Bret Hedican,28,VAN,D,42,2,11,13,7,34,3,0,0,2,0,8,3,0,52,3.8,784,18:40,hedicbr01
266,Bret Hedican,28,FLA,D,25,3,7,10,-2,17,1.7,3,0,0,1,6,0,1,38,7.9,560,22:24,hedicbr01
267,Shawn Heins,25,SJS,D,5,0,0,0,0,13,0.1,0,0,0,0,0,0,0,4,0,68,13:38,heinssh01
268,Steve Heinze,29,BOS,RW,73,22,18,40,7,30,5.1,13,9,0,3,13,5,0,146,15.1,1153,15:48,heinzst01
269,Milan Hejduk,22,COL,RW,82,14,34,48,8,26,4.4,10,4,0,5,27,7,0,178,7.9,1292,15:45,hejdumi01
270,Sami Helenius,25,TOT,D,8,1,0,1,-5,23,-0.1,0,0,1,0,0,0,0,4,25,109,13:35,helensa01
270,Sami Helenius,25,CGY,D,4,0,0,0,-2,8,-0.1,0,0,0,0,0,0,0,1,0,41,10:16,helensa01
270,Sami Helenius,25,TBL,D,4,1,0,1,-3,15,0.1,0,0,1,0,0,0,0,3,33.3,68,16:53,helensa01
271,Bryan Helmer,26,TOT,D,40,0,4,4,5,42,1.5,0,0,0,0,4,0,0,49,0,640,16:00,helmebr01
271,Bryan Helmer,26,STL,D,29,0,4,4,3,19,1.3,0,0,0,0,4,0,0,38,0,555,19:08,helmebr01
271,Bryan Helmer,26,PHX,D,11,0,0,0,2,23,0.2,0,0,0,0,0,0,0,11,0,85,7:43,helmebr01
272,Jay Henderson,20,BOS,LW,4,0,0,0,-1,2,-0.1,0,0,0,0,0,0,0,4,0,23,5:39,hendeja01
273,Matt Henderson,24,NSH,RW,2,0,0,0,-1,2,-0.1,0,0,0,0,0,0,0,0,,13,6:23,hendema01
274,Darby Hendrickson,26,TOT,C,62,4,5,9,-19,52,-0.9,3,1,0,0,5,0,0,70,5.7,825,13:18,hendrda01
274,Darby Hendrickson,26,TOR,C,35,2,3,5,-4,30,-0.2,2,0,0,0,3,0,0,34,5.9,359,10:16,hendrda01
274,Darby Hendrickson,26,VAN,C,27,2,2,4,-15,22,-0.7,1,1,0,0,2,0,0,36,5.6,466,17:15,hendrda01
275,Matt Herr,22,WSH,C,30,2,2,4,-7,8,-0.1,1,1,0,0,1,1,0,40,5,333,11:05,herrma01
276,Jamie Heward,27,NSH,D,63,6,12,18,-24,44,1.4,2,4,0,1,5,7,0,124,4.8,1021,16:12,hewarja01
277,Alex Hicks,29,TOT,LW,55,0,7,7,-5,62,-0.4,0,0,0,0,7,0,0,51,0,546,9:56,hicksal01
277,Alex Hicks,29,FLA,LW,51,0,6,6,-4,58,-0.4,0,0,0,0,6,0,0,47,0,528,10:21,hicksal01
277,Alex Hicks,29,SJS,LW,4,0,1,1,-1,4,0,0,0,0,0,1,0,0,4,0,18,4:33,hicksal01
278,Matt Higgins,21,MTL,C,25,1,0,1,-2,0,-0.1,1,0,0,0,0,0,0,12,8.3,142,5:41,higgima01
279,Sean Hill,28,CAR,D,54,0,10,10,9,48,2.6,0,0,0,0,10,0,0,44,0,1028,19:02,hillse01
280,Jonas Höglund,26,MTL,RW,74,8,10,18,-5,16,1.3,7,1,0,0,9,1,0,122,6.6,876,11:50,hoglujo01
281,Benoit Hogue,32,TOT,C,74,12,17,29,-10,54,2.1,10,2,0,3,11,3,3,121,9.9,1197,16:10,hoguebe01
281,Benoit Hogue,32,TBL,C,62,11,14,25,-12,50,1.8,9,2,0,3,8,3,3,101,10.9,1016,16:23,hoguebe01
281,Benoit Hogue,32,DAL,C,12,1,3,4,2,4,0.3,1,0,0,0,3,0,0,20,5,181,15:04,hoguebe01
282,Josh Holden,21,VAN,C,30,2,4,6,-10,10,-0.1,1,1,0,0,4,0,0,44,4.5,382,12:44,holdejo01
283,Bobby Holík,28,NJD,LW,78,27,37,64,16,119,7.6,22,5,0,8,28,9,0,253,10.7,1370,17:34,holikbo01
284,Jason Holland,22,BUF,D,3,0,0,0,-1,8,0,0,0,0,0,0,0,0,2,0,33,10:58,hollaja01
285,Tomas Holmström,26,DET,LW,82,13,21,34,-11,69,2.6,8,5,0,4,12,9,0,100,13,1014,12:22,holmsto01
286,Brian Holzinger,26,BUF,C,81,17,17,34,2,45,3.1,12,5,0,2,11,5,1,143,11.9,1338,16:31,holzibr01
287,Marián Hossa*,20,OTT,LW,60,15,15,30,18,37,4,14,1,0,2,13,2,0,124,12.1,839,13:59,hossama01
288,Doug Houda,32,DET,D,3,0,1,1,-2,0,0,0,0,0,0,1,0,0,1,0,21,6:51,houdado01
289,Eric Houde,22,MTL,C,8,1,1,2,-2,2,0.2,1,0,0,1,1,0,0,4,25,57,7:11,houdeer01
290,Mike Hough,35,NYI,LW,11,0,0,0,-2,2,-0.2,0,0,0,0,0,0,0,4,0,92,8:21,houghmi01
291,Bill Houlder,31,SJS,D,76,9,23,32,8,40,7.1,2,7,0,5,11,12,0,115,7.8,1682,22:08,houldbi01
292,Phil Housley*,34,CGY,D,79,11,43,54,14,52,8.9,7,4,0,1,23,20,0,193,5.7,1648,20:52,houslph01
293,Jan Hrdina,22,PIT,C,82,13,29,42,-2,40,3.3,10,3,0,2,21,7,1,94,13.8,1348,16:26,hrdinja01
294,Tony Hrkac,32,DAL,C,69,13,14,27,2,26,3,11,2,0,2,10,4,0,67,19.4,830,12:02,hrkacto01
295,Bill Huard,31,EDM,LW,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,17,5:36,huardbi01
296,Joe Hulbig,25,EDM,LW,1,0,0,0,1,2,0,0,0,0,0,0,0,0,2,0,8,8:20,hulbijo01
297,Brett Hull*,34,DAL,RW,60,32,26,58,19,30,8.5,17,15,0,11,20,6,0,192,16.7,1044,17:24,hullbr01
298,Jody Hull,29,PHI,RW,72,3,11,14,-2,12,0.2,3,0,0,1,10,0,1,73,4.1,935,12:59,hulljo01
299,Cale Hulse,25,CGY,D,73,3,9,12,-8,117,1.7,3,0,0,0,8,1,0,83,3.6,1214,16:38,hulseca01
300,Dale Hunter,38,TOT,C,62,2,9,11,-7,119,0.2,2,0,0,0,7,1,1,24,8.3,563,9:05,hunteda02
300,Dale Hunter,38,WSH,C,50,0,5,5,-7,102,-0.4,0,0,0,0,4,0,1,18,0,435,8:42,hunteda02
300,Dale Hunter,38,COL,C,12,2,4,6,0,17,0.6,2,0,0,0,3,1,0,6,33.3,128,10:40,hunteda02
301,Mike Hurlbut,32,BUF,D,1,0,0,0,2,0,0.2,0,0,0,0,0,0,0,2,0,18,17:53,hurlbmi01
302,Jamie Huscroft,32,TOT,D,37,0,2,2,-4,90,0.3,0,0,0,0,2,0,0,27,0,353,9:32,huscrja01
302,Jamie Huscroft,32,VAN,D,26,0,1,1,-3,63,0.1,0,0,0,0,1,0,0,20,0,231,8:54,huscrja01
302,Jamie Huscroft,32,PHX,D,11,0,1,1,-1,27,0.2,0,0,0,0,1,0,0,7,0,121,11:02,huscrja01
303,Jarome Iginla*,21,CGY,RW,82,28,23,51,1,58,5.9,21,7,0,4,14,9,0,211,13.3,1353,16:30,iginlja01
304,Victor Ignatjev,28,PIT,D,11,0,1,1,-3,6,0,0,0,0,0,0,1,0,15,0,135,12:14,ignatvi01
305,Brad Isbister,21,PHX,RW,32,4,4,8,1,46,0.7,4,0,0,2,4,0,0,48,8.3,370,11:33,isbisbr01
