,,,,,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,,,Special Teams,Special Teams,,Assists,Assists,Assists,Shot Data,Shot Data,Ice Time,Ice Time,
Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,Id
36,Ken Baumgartner,32,BOS,LW,69,1,3,4,-6,119,-0.2,1,0,0,0,3,0,0,15,6.7,354,5:08,baumgke01
37,Nolan Baumgartner,22,WSH,D,5,0,0,0,-3,0,-0.2,0,0,0,0,0,0,0,1,0,43,8:41,baumgno01
38,Wade Belak,22,TOT,D,31,0,1,1,1,94,0.3,0,0,0,0,1,0,0,7,0,247,7:57,belakwa01
38,Wade Belak,22,COL,D,22,0,0,0,-2,71,-0.1,0,0,0,0,0,0,0,5,0,150,6:48,belakwa01
38,Wade Belak,22,CGY,D,9,0,1,1,3,23,0.4,0,0,0,0,1,0,0,2,0,97,10:46,belakwa01
39,Ken Belanger,24,TOT,LW,54,2,5,7,-1,182,0.5,2,0,0,0,5,0,0,19,10.5,254,4:43,belanke01
39,Ken Belanger,24,BOS,LW,45,1,4,5,-2,152,0.3,1,0,0,0,4,0,0,16,6.3,209,4:38,belanke01
39,Ken Belanger,24,NYI,LW,9,1,1,2,1,30,0.3,1,0,0,0,1,0,0,3,33.3,46,5:05,belanke01
40,Brian Bellows,34,WSH,LW,76,17,19,36,-12,26,3.5,9,8,0,3,16,3,0,166,10.2,1158,15:14,bellobr01
41,Josef Beranek,29,EDM,LW,66,19,30,49,6,23,5.4,12,7,0,2,20,10,0,160,11.9,1084,16:25,beranjo01
42,Bryan Berard,21,TOT,D,69,9,25,34,1,48,5.5,5,4,0,5,11,14,0,135,6.7,1627,23:35,berarbr01
42,Bryan Berard,21,TOR,D,38,5,14,19,7,22,3,3,2,0,2,5,9,0,63,7.9,860,22:38,berarbr01
42,Bryan Berard,21,NYI,D,31,4,11,15,-6,26,2.5,2,2,0,3,6,5,0,72,5.6,767,24:45:00,berarbr01
43,Drake Berehowsky,27,NSH,D,74,2,15,17,-9,140,2.5,2,0,0,0,10,4,1,79,2.5,1607,21:43,berehdr01
44,Sergei Berezin,27,TOR,RW,76,37,22,59,16,12,8,27,9,1,4,18,3,1,263,14.1,1181,15:32,berezse01
45,Bill Berg,31,OTT,LW,44,2,2,4,4,28,0,2,0,0,0,2,0,0,40,5,455,10:21,bergbi01
46,Marc Bergevin,33,STL,D,52,1,1,2,-14,99,0.2,1,0,0,0,1,0,0,40,2.5,840,16:09,bergema01
47,Todd Bertuzzi,23,VAN,C,32,8,8,16,-6,44,1.4,7,1,0,3,5,3,0,72,11.1,591,18:28,bertuto01
48,Craig Berube,33,TOT,LW,77,5,4,9,-10,194,0.3,5,0,0,0,4,0,0,52,9.6,538,7:00,berubcr01
48,Craig Berube,33,WSH,LW,66,5,4,9,-7,166,0.6,5,0,0,0,4,0,0,45,11.1,448,6:47,berubcr01
48,Craig Berube,33,PHI,LW,11,0,0,0,-3,28,-0.3,0,0,0,0,0,0,0,7,0,91,8:15,berubcr01
49,Karel Betik,20,TBL,D,3,0,2,2,-3,2,0,0,0,0,0,2,0,0,2,0,40,13:28,betikka01
50,Jeff Beukeboom,33,NYR,D,45,0,9,9,-2,60,1.6,0,0,0,0,7,0,2,8,0,628,13:57,beukeje01
51,Radim Bicanek,24,TOT,D,14,0,0,0,-4,10,-0.2,0,0,0,0,0,0,0,13,0,188,13:24,bicanra01
51,Radim Bicanek,24,CHI,D,7,0,0,0,-3,6,-0.2,0,0,0,0,0,0,0,7,0,112,15:57,bicanra01
51,Radim Bicanek,24,OTT,D,7,0,0,0,-1,4,0,0,0,0,0,0,0,0,6,0,76,10:51,bicanra01
52,James Black,29,WSH,C,75,16,14,30,5,14,3.4,14,1,1,3,11,3,0,135,11.9,1130,15:04,blackja01
53,Jason Blake,25,LAK,C,1,1,0,1,1,0,0.2,1,0,0,0,0,0,0,5,20,17,17:13,blakeja01
54,Rob Blake*,29,LAK,D,62,12,23,35,-7,128,6.4,6,5,1,2,16,6,1,216,5.6,1542,24:52:00,blakero01
55,Sylvain Blouin,24,MTL,LW,5,0,0,0,0,19,0,0,0,0,0,0,0,0,1,0,18,3:37,blouisy01
56,Doug Bodger,32,LAK,D,65,3,11,14,1,34,3.5,3,0,0,0,5,5,1,67,4.5,1264,19:27,bodgedo01
57,Lonny Bohonos,25,TOR,RW,7,3,0,3,3,4,0.5,3,0,0,0,0,0,0,13,23.1,96,13:47,bohonlo01
58,Patrick Boileau,23,WSH,D,4,0,1,1,-4,2,-0.1,0,0,0,0,0,1,0,7,0,64,15:56,boilepa01
59,Brad Bombardir,26,NJD,D,56,1,7,8,-4,16,1.2,1,0,0,0,6,1,0,47,2.1,843,15:03,bombabr01
60,Peter Bondra,30,WSH,RW,66,31,24,55,-1,56,7.1,22,6,3,5,14,9,1,284,10.9,1359,20:35,bondrpe01
61,Brian Bonin,25,PIT,C,5,0,0,0,-2,0,-0.2,0,0,0,0,0,0,0,2,0,62,12:19,boninbr01
62,Radek Bonk,23,OTT,C,81,16,16,32,15,48,3.7,15,0,1,6,15,0,1,110,14.5,1112,13:44,bonkra01
63,Jason Bonsignore,22,TBL,C,23,0,3,3,-4,8,-0.1,0,0,0,0,3,0,0,12,0,171,7:25,bonsija01
64,Dennis Bonvie,25,CHI,RW,11,0,0,0,-4,44,-0.2,0,0,0,0,0,0,0,1,0,44,3:59,bonvide01
65,Sebastien Bordeleau,23,NSH,C,72,16,24,40,-14,26,3.2,13,1,2,3,21,3,0,168,9.5,1102,15:18,bordese01
66,Jason Botterill,22,DAL,LW,17,0,0,0,-2,23,-0.3,0,0,0,0,0,0,0,8,0,141,8:19,botteja01
67,Joel Bouchard,25,NSH,D,64,4,11,15,-10,60,2.3,4,0,0,0,8,2,1,78,5.1,1444,22:34,bouchjo01
68,Philippe Boucher,25,LAK,D,45,2,6,8,-12,32,1.2,1,1,0,0,3,3,0,87,2.3,803,17:51,bouchph01
69,Bob Boughner,27,NSH,D,79,3,10,13,-6,137,2.3,3,0,0,1,9,0,1,59,5.1,1463,18:31,boughbo01
70,Ray Bourque*,38,BOS,D,81,10,47,57,-7,34,10.1,2,8,0,3,15,31,1,262,3.8,2391,29:31:00,bourqra01
71,Dan Boyle,22,FLA,D,22,3,5,8,0,6,1.5,2,1,0,1,3,2,0,31,9.7,414,18:50,boyleda01
72,Donald Brashear,27,VAN,LW,82,8,10,18,-25,209,0.1,6,2,0,1,9,1,0,112,7.1,1100,13:25,brashdo01
73,Fredrik Bremberg,25,EDM,C,8,0,0,0,-2,2,-0.2,0,0,0,0,0,0,0,6,0,98,12:18,brembfr01
74,Rich Brennan,26,NYR,D,24,1,3,4,-4,23,0.6,1,0,0,0,0,3,0,36,2.8,313,13:02,brennri01
75,Eric Brewer,19,NYI,D,63,5,6,11,-14,32,1.8,3,2,0,0,3,3,0,63,7.9,974,15:28,breweer01
76,Daniel Briere,21,PHX,C,64,8,14,22,-3,30,1.8,6,2,0,2,12,2,0,90,8.9,718,11:13,brierda01
77,Rod Brind'Amour,28,PHI,C,82,24,50,74,3,47,7.3,14,10,0,3,27,22,1,191,12.6,1762,21:29,brindro01
78,Patrice Brisebois,28,MTL,D,54,3,9,12,-8,28,2.9,2,1,0,1,6,3,0,90,3.3,1211,22:26,brisepa01
79,Brad Brown,23,TOT,D,66,1,7,8,-4,205,1.3,1,0,0,0,7,0,0,26,3.8,953,14:27,brownbr01
79,Brad Brown,23,CHI,D,61,1,7,8,-4,184,1.3,1,0,0,0,7,0,0,26,3.8,923,15:08,brownbr01
79,Brad Brown,23,MTL,D,5,0,0,0,0,21,0,0,0,0,0,0,0,0,0,,30,6:02,brownbr01
80,Curtis Brown,22,BUF,C,78,16,31,47,23,56,5.2,10,5,1,3,25,5,1,128,12.5,1365,17:30,browncu01
81,Doug Brown,34,DET,RW,80,9,19,28,5,42,2.1,5,3,1,1,16,1,2,180,5,1103,13:47,browndo01
82,Kevin Brown,24,EDM,RW,12,4,2,6,-2,0,0.8,2,2,0,0,1,1,0,13,30.8,110,9:11,brownke03
83,Rob Brown,30,PIT,RW,58,13,11,24,-15,16,2,4,9,0,1,5,6,0,78,16.7,730,12:35,brownro01
84,Sean Brown,22,EDM,D,51,0,7,7,1,188,1.3,0,0,0,0,6,1,0,27,0,624,12:14,brownse01
85,Benoit Brunet,30,MTL,LW,60,14,17,31,-1,31,3.2,8,4,2,0,14,2,1,115,12.2,1067,17:47,brunebe01
86,Andrew Brunette,25,NSH,LW,77,11,20,31,-10,26,2.1,4,7,0,1,14,6,0,65,16.9,1018,13:13,brunean01
87,Sergei Brylin,25,NJD,C,47,5,10,15,8,28,1.3,2,3,0,1,10,0,0,51,9.8,607,12:55,brylise01
88,Jeff Buchanan,27,COL,D,6,0,0,0,1,6,0.1,0,0,0,0,0,0,0,1,0,25,4:05,buchaje01
89,Kelly Buchberger,32,EDM,RW,52,4,4,8,-6,68,-0.1,2,0,2,1,4,0,0,29,13.8,614,11:49,buchbke01
90,Jan Bulis,20,WSH,C,38,7,16,23,3,6,2.5,4,3,0,3,9,7,0,57,12.3,549,14:27,bulisja01
