Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,Id
1,Keith Acton,31,PHI,C,69,13,14,27,-2,80,1.1,11,0,2,0,14,0,0,94,13.8,,,actonke01
2,Greg Adams,26,VAN,LW,65,30,20,50,-8,18,4.3,17,13,0,1,14,6,0,181,16.6,,,adamsgr02
3,Greg Adams,29,TOT,LW,35,4,10,14,-2,33,0.4,4,0,0,0,9,1,0,27,14.8,,,adamsgr01
3,Greg Adams,29,DET,LW,28,3,7,10,0,16,0.2,3,0,0,0,7,0,0,19,15.8,,,adamsgr01
3,Greg Adams,29,QUE,LW,7,1,3,4,-2,17,0.2,1,0,0,0,2,1,0,8,12.5,,,adamsgr01
4,Jim Agnew,23,VAN,D,7,0,0,0,-1,36,0.2,0,0,0,0,0,0,0,3,0,,,agnewji01
5,Tommy Albelin,25,NJD,D,68,6,23,29,-1,63,4.4,2,4,0,0,14,9,0,125,4.8,,,albelto01
6,Mike Allison,28,LAK,C,55,2,11,13,-6,78,-0.7,2,0,0,1,10,1,0,25,8,,,allismi01
7,Glenn Anderson*,29,EDM,RW,73,34,38,72,-1,107,5.9,16,17,1,7,26,12,0,204,16.7,,,andergl01
8,Shawn Anderson,21,BUF,D,16,1,3,4,2,8,1.1,1,0,0,0,1,2,0,16,6.3,,,andersh01
9,Mikael Andersson,23,HAR,LW,50,13,24,37,0,6,2.5,10,1,2,2,16,7,1,86,15.1,,,andermi01
10,Dave Andreychuk*,26,BUF,LW,73,40,42,82,6,42,7.4,22,18,0,3,21,21,0,206,19.4,,,andreda01
11,Dave Archibald,20,TOT,C,31,3,8,11,1,12,0.4,1,2,0,1,5,3,0,56,5.4,,,archida01
11,Dave Archibald,20,NYR,C,19,2,3,5,0,6,0.1,1,1,0,0,2,1,0,30,6.7,,,archida01
11,Dave Archibald,20,MNS,C,12,1,5,6,1,6,0.3,0,1,0,1,3,2,0,26,3.8,,,archida01
12,Scott Arniel,27,BUF,LW,79,18,14,32,4,77,1.9,16,1,1,4,13,0,1,123,14.6,,,arniesc01
13,Brent Ashton,29,WIN,LW,79,22,34,56,4,37,3.8,19,3,0,5,29,4,1,167,13.2,,,ashtobr01
14,Dave Babych,28,HAR,D,72,6,37,43,-16,62,5.5,2,4,0,1,16,21,0,164,3.7,,,babycda01
15,Jamie Baker,23,QUE,C,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,,,,bakerja01
16,Helmut Balderis,37,MNS,RW,26,3,6,9,0,2,0.3,1,2,0,0,5,1,0,30,10,,,baldehe01
17,Don Barber,25,MNS,RW,44,15,19,34,4,32,2.7,11,4,0,2,14,5,0,100,15,,,barbedo01
18,Murray Baron,22,PHI,D,16,2,2,4,-1,12,0.8,2,0,0,0,2,0,0,18,11.1,,,baronmu01
19,Dave Barr,29,DET,RW,62,10,25,35,5,45,1.8,5,2,3,0,23,1,1,96,10.4,,,barrda01
20,Len Barrie,20,PHI,C,1,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,0,,,,barrile01
21,Bob Bassen,24,CHI,C,6,1,1,2,1,8,0.1,1,0,0,0,1,0,0,7,14.3,,,bassebo01
22,Ken Baumgartner,23,TOT,D,65,1,5,6,-4,222,2,1,0,0,0,5,0,0,48,2.1,,,baumgke01
22,Ken Baumgartner,23,NYI,D,53,0,5,5,6,194,2.2,0,0,0,0,5,0,0,41,0,,,baumgke01
22,Ken Baumgartner,23,LAK,D,12,1,0,1,-10,28,-0.2,1,0,0,0,0,0,0,7,14.3,,,baumgke01
23,Robin Bawa,23,WSH,RW,5,1,0,1,-3,6,-0.1,1,0,0,0,0,0,0,1,100,,,bawaro01
24,Barry Beck,32,LAK,D,52,1,7,8,3,53,1.6,1,0,0,0,7,0,0,36,2.8,,,beckba01
25,Bob Beers,22,BOS,D,3,0,1,1,2,6,0.3,0,0,0,0,0,1,0,0,,,,beersbo01
26,Bruce Bell,24,EDM,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,bellbr01
27,Brian Bellows,25,MNS,LW,80,55,44,99,-3,72,9.5,33,21,1,9,24,19,1,300,18.3,,,bellobr01
28,Rick Bennett,22,NYR,LW,6,1,0,1,-4,5,-0.1,1,0,0,0,0,0,0,6,16.7,,,benneri01
29,Brian Benning,23,TOT,D,55,6,19,25,-2,106,3.1,3,3,0,0,11,8,0,122,4.9,,,bennibr01
29,Brian Benning,23,LAK,D,48,5,18,23,1,104,2.8,2,3,0,0,11,7,0,114,4.4,,,bennibr01
29,Brian Benning,23,STL,D,7,1,1,2,-3,2,0.3,1,0,0,0,0,1,0,8,12.5,,,bennibr01
30,Jim Benning,26,VAN,D,45,3,9,12,4,26,2.9,2,0,1,0,6,3,0,49,6.1,,,benniji01
31,Perry Berezan,25,MNS,C,64,3,12,15,-4,31,-0.3,3,0,0,0,10,0,2,75,4,,,berezpe01
