Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,Id
1,Keith Acton,32,PHI,C,76,14,23,37,-9,131,1.9,11,2,1,1,18,5,0,120,11.7,,,actonke01
2,Greg Adams,27,VAN,LW,55,21,24,45,-5,10,3.9,15,5,1,2,16,7,1,148,14.2,,,adamsgr02
3,Jim Agnew,24,VAN,D,20,0,0,0,-11,81,0,0,0,0,0,0,0,0,12,0,,,agnewji01
4,Brad Aitken,23,TOT,LW,9,0,2,2,-3,25,-0.2,0,0,0,0,2,0,0,3,0,,,aitkebr01
4,Brad Aitken,23,PIT,LW,6,0,1,1,-2,25,-0.2,0,0,0,0,1,0,0,3,0,,,aitkebr01
4,Brad Aitken,23,EDM,LW,3,0,1,1,-1,0,0,0,0,0,0,1,0,0,0,,,,aitkebr01
5,Tommy Albelin,26,NJD,D,47,2,12,14,1,44,2.6,1,1,0,0,3,8,1,66,3,,,albelto01
6,Glenn Anderson*,30,EDM,RW,74,24,31,55,-7,59,4,16,8,0,4,21,9,1,193,12.4,,,andergl01
7,Perry Anderson,29,NJD,LW,1,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,,,anderpe01
8,Shawn Anderson,22,QUE,D,31,3,10,13,2,21,2,1,2,0,0,8,2,0,44,6.8,,,andersh01
9,Mikael Andersson,24,HAR,LW,41,4,7,11,0,8,0.3,4,0,0,0,7,0,0,57,7,,,andermi01
10,Dave Andreychuk*,27,BUF,LW,80,36,33,69,11,32,6.8,23,13,0,4,19,14,0,234,15.4,,,andreda01
11,Shawn Antoski,20,VAN,LW,2,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,2,0,,,antossh01
12,Bill Armstrong,24,PHI,C,1,0,1,1,1,0,0.1,0,0,0,0,1,0,0,1,0,,,armstbi01
13,Scott Arniel,28,WIN,C,75,5,17,22,-12,87,0.1,5,0,0,1,16,0,1,91,5.5,,,arniesc01
14,Brent Ashton,30,WIN,LW,61,12,24,36,-10,58,2.1,11,1,0,2,17,6,1,107,11.2,,,ashtobr01
15,Donald Audette,21,BUF,RW,8,4,3,7,-1,4,0.7,2,2,0,1,3,0,0,17,23.5,,,audetdo01
16,Bobby Babcock,22,WSH,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,babcobo01
17,Warren Babe,22,MNS,LW,1,0,1,1,1,0,0.1,0,0,0,0,1,0,0,0,,,,babewa01
18,Dave Babych,29,HAR,D,8,0,6,6,-4,4,0.6,0,0,0,0,0,6,0,15,0,,,babycda01
19,Jergus Baca,26,HAR,D,9,0,2,2,-3,14,0.3,0,0,0,0,0,2,0,15,0,,,bacaje01
20,Jamie Baker,24,QUE,C,18,2,0,2,-4,8,-0.3,1,0,1,0,0,0,0,18,11.1,,,bakerja01
21,Ralph Barahona,25,BOS,C,3,2,1,3,2,0,0.4,2,0,0,0,0,1,0,5,40,,,barahra01
22,Don Barber,26,TOT,LW,23,1,2,3,-6,18,-0.4,1,0,0,0,2,0,0,29,3.4,,,barbedo01
22,Don Barber,26,WIN,LW,16,1,2,3,-3,14,-0.1,1,0,0,0,2,0,0,19,5.3,,,barbedo01
22,Don Barber,26,MNS,LW,7,0,0,0,-3,4,-0.2,0,0,0,0,0,0,0,10,0,,,barbedo01
23,Murray Baron,23,PHI,D,67,8,8,16,-3,74,4.1,5,3,0,1,6,2,0,86,9.3,,,baronmu01
24,Dave Barr,30,DET,RW,70,18,22,40,20,55,3.2,14,2,2,2,20,0,2,98,18.4,,,barrda01
25,Bob Bassen,25,STL,C,79,16,18,34,17,183,2.2,14,0,2,1,18,0,0,117,13.7,,,bassebo01
26,Ken Baumgartner,24,NYI,LW,78,1,6,7,-14,282,-1.5,1,0,0,0,6,0,0,41,2.4,,,baumgke01
27,Bob Beers,23,BOS,D,16,0,1,1,-8,10,0,0,0,0,0,1,0,0,9,0,,,beersbo01
28,Brian Bellows,26,MNS,LW,80,35,40,75,-13,43,6.5,18,17,0,4,24,16,0,296,11.8,,,bellobr01
29,Rick Bennett,23,NYR,LW,6,0,0,0,-2,6,-0.2,0,0,0,0,0,0,0,3,0,,,benneri01
30,Brian Benning,24,LAK,D,61,7,24,31,12,127,4.8,5,2,0,1,15,9,0,120,5.8,,,bennibr01
31,Drake Berehowsky,19,TOR,D,8,0,1,1,-6,25,-0.1,0,0,0,0,0,1,0,4,0,,,berehdr01
32,Perry Berezan,26,MNS,C,52,11,6,17,-2,30,1,7,1,3,1,6,0,0,73,15.1,,,berezpe01
33,Bill Berg,23,NYI,LW,78,9,14,23,-3,67,0.7,9,0,0,0,12,0,2,95,9.5,,,bergbi01
34,Marc Bergevin,25,HAR,D,4,0,0,0,-3,4,0,0,0,0,0,0,0,0,2,0,,,bergema01
35,Tim Bergland,26,WSH,C,47,5,9,14,-1,21,0.4,5,0,0,0,8,0,1,41,12.2,,,berglti01
36,Craig Berube,25,PHI,LW,74,8,9,17,-6,293,0,8,0,0,0,9,0,0,46,17.4,,,berubcr01
37,Jeff Beukeboom,25,EDM,D,67,3,7,10,6,150,3,3,0,0,0,5,0,2,48,6.3,,,beukeje01
38,Tom Bissett,24,DET,C,5,0,0,0,-4,0,-0.3,0,0,0,0,0,0,0,2,0,,,bisseto01
39,Scott Bjugstad,29,LAK,RW,31,2,4,6,-5,12,-0.5,2,0,0,1,4,0,0,39,5.1,,,bjugssc01
40,James Black,21,HAR,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,blackja01
41,Rob Blake*,21,LAK,D,75,12,34,46,3,125,6.1,3,9,0,2,18,16,0,150,8,,,blakero01
42,Jeff Bloemberg,23,NYR,D,3,0,2,2,3,0,0.4,0,0,0,0,0,2,0,4,0,,,bloemje01
43,Doug Bodger,24,BUF,D,58,5,23,28,-8,54,3.8,3,2,0,0,6,15,2,139,3.6,,,bodgedo01
44,Peter Bondra,22,WSH,LW,54,12,16,28,-10,47,1.7,8,4,0,1,14,2,0,95,12.6,,,bondrpe01
45,Luciano Borsato,25,WIN,C,1,0,1,1,0,2,0.1,0,0,0,0,1,0,0,1,0,,,borsalu01
46,Laurie Boschman,30,NJD,C,78,11,9,20,-1,77,0.4,10,0,1,1,9,0,0,91,12.1,,,boschla01
47,Phil Bourque,28,PIT,LW,78,20,14,34,7,106,2.1,15,1,4,0,13,0,1,122,16.4,,,bourqph01
48,Ray Bourque*,30,BOS,D,76,21,73,94,33,75,13.2,14,7,0,3,35,38,0,323,6.5,,,bourqra01
49,Steve Bozek,30,VAN,LW,62,15,17,32,-6,22,2.2,14,0,1,2,16,0,1,126,11.9,,,bozekst01
50,Brian Bradley,26,TOT,C,70,11,31,42,-9,62,2.4,8,3,0,3,22,9,0,116,9.5,,,bradlbr01
50,Brian Bradley,26,VAN,C,44,11,20,31,-2,42,2.3,8,3,0,3,16,4,0,84,13.1,,,bradlbr01
50,Brian Bradley,26,TOR,C,26,0,11,11,-7,20,0.1,0,0,0,0,6,5,0,32,0,,,bradlbr01
51,Neil Brady,22,NJD,C,3,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,6,0,,,bradyne01
52,Francis Breault,23,LAK,RW,17,1,4,5,-1,6,-0.1,1,0,0,0,4,0,0,12,8.3,,,breaufr01
53,Andy Brickley,29,BOS,C,40,2,9,11,-4,8,-0.1,2,0,0,0,8,1,0,28,7.1,,,brickan01
54,Rod Brind'Amour,20,STL,LW,78,17,32,49,2,93,3.1,13,4,0,3,27,5,0,169,10.1,,,brindro01
55,Patrice Brisebois,20,MTL,D,10,0,2,2,1,4,0.6,0,0,0,0,1,1,0,11,0,,,brisepa01
56,Aaron Broten,30,TOT,LW,47,11,8,19,9,38,1.5,10,1,0,1,7,1,0,85,12.9,,,broteaa01
56,Aaron Broten,30,TOR,LW,27,6,4,10,12,32,1,6,0,0,1,4,0,0,45,13.3,,,broteaa01
56,Aaron Broten,30,QUE,LW,20,5,4,9,-3,6,0.5,4,1,0,0,3,1,0,40,12.5,,,broteaa01
57,Neal Broten,31,MNS,C,79,13,56,69,-3,26,4.6,10,1,2,0,29,24,3,191,6.8,,,brotene01
58,Paul Broten,25,NYR,C,28,4,6,10,7,18,0.6,4,0,0,0,5,0,1,34,11.8,,,brotepa01
59,Cam Brown,21,VAN,LW,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,,,,brownca01
60,Dave Brown,28,EDM,RW,58,3,4,7,-7,160,-0.9,3,0,0,0,4,0,0,32,9.4,,,brownda01
61,Doug Brown,26,NJD,RW,58,14,16,30,18,4,2.5,12,0,2,2,16,0,0,122,11.5,,,browndo01
62,Greg Brown,22,BUF,D,39,1,2,3,-20,35,0.2,1,0,0,0,1,1,0,26,3.8,,,browngr01
63,Jeff Brown,24,STL,D,67,12,47,59,4,39,7.4,5,6,1,0,23,24,0,176,6.8,,,brownje02
64,Keith Brown,30,CHI,D,45,1,10,11,9,55,3.1,1,0,0,0,3,6,1,71,1.4,,,brownke02
65,Rob Brown,22,TOT,RW,69,24,34,58,-7,132,4.5,12,12,0,2,24,10,0,126,19,,,brownro01
65,Rob Brown,22,HAR,RW,44,18,24,42,-7,101,3.5,8,10,0,2,16,8,0,94,19.1,,,brownro01
65,Rob Brown,22,PIT,RW,25,6,10,16,0,31,1,4,2,0,0,8,2,0,32,18.8,,,brownro01
66,David Bruce,26,STL,RW,12,1,2,3,1,14,0,1,0,0,0,2,0,0,23,4.3,,,bruceda01
67,Benoit Brunet,22,MTL,LW,17,1,3,4,-1,0,0,1,0,0,0,3,0,0,12,8.3,,,brunebe01
68,Kelly Buchberger,24,EDM,LW,64,3,1,4,-6,160,-1.3,3,0,0,2,1,0,0,54,5.6,,,buchbke01
69,Marc Bureau,24,TOT,C,14,0,6,6,-7,6,-0.1,0,0,0,0,4,2,0,12,0,,,bureama01
69,Marc Bureau,24,MNS,C,9,0,6,6,-3,4,0.2,0,0,0,0,4,2,0,8,0,,,bureama01
69,Marc Bureau,24,CGY,C,5,0,0,0,-4,2,-0.3,0,0,0,0,0,0,0,4,0,,,bureama01
70,Shawn Burr,24,DET,LW,80,20,30,50,14,112,3.7,14,6,0,4,25,3,2,164,12.2,,,burrsh01
71,Randy Burridge,25,BOS,LW,62,15,13,28,17,40,2.3,14,1,0,4,11,1,1,108,13.9,,,burrira01
72,Adam Burt,22,HAR,D,42,2,7,9,-4,63,2.3,1,1,0,1,4,3,0,43,4.7,,,burtad01
73,Rod Buskas,30,LAK,D,57,3,8,11,14,182,3,3,0,0,0,6,1,1,60,5,,,buskaro01
74,Garth Butcher,28,TOT,D,82,6,16,22,-14,289,3.9,5,1,0,1,13,3,0,75,8,,,butchga01
74,Garth Butcher,28,VAN,D,69,6,12,18,-18,257,3,5,1,0,1,9,3,0,70,8.6,,,butchga01
74,Garth Butcher,28,STL,D,13,0,4,4,4,32,0.9,0,0,0,0,4,0,0,5,0,,,butchga01
75,John Byce,23,BOS,RW,18,1,3,4,1,6,0,1,0,0,0,3,0,0,13,7.7,,,bycejo01
76,Lyndon Byers,26,BOS,RW,19,2,2,4,-2,82,-0.1,2,0,0,0,2,0,0,20,10,,,byersly01
77,Shawn Byram,22,NYI,LW,4,0,0,0,-2,14,-0.1,0,0,0,0,0,0,0,2,0,,,byramsh01
78,Dave Capuano,22,VAN,C,61,13,31,44,1,42,3.2,8,5,0,1,24,7,0,77,16.9,,,capuada01
79,Jack Capuano,24,VAN,D,3,0,0,0,0,0,0.1,0,0,0,0,0,0,0,4,0,,,capuaja01
80,Guy Carbonneau*,30,MTL,C,78,20,24,44,-1,63,3.2,15,4,1,3,22,1,1,131,15.3,,,carbogu01
81,Terry Carkner,24,PHI,D,79,7,25,32,-15,204,5,1,6,0,1,11,14,0,97,7.2,,,carknte01
82,Randy Carlyle,34,WIN,D,52,9,19,28,6,44,5.1,7,2,0,1,12,6,1,89,10.1,,,carlyra01
83,Bob Carpenter,27,BOS,LW,29,8,8,16,2,22,1.2,6,2,0,0,7,1,0,54,14.8,,,carpebo01
84,Jimmy Carson,22,DET,C,64,21,25,46,3,28,3.6,15,5,1,4,17,8,0,175,12,,,carsoji01
85,John Carter,27,BOS,LW,50,4,7,11,-13,68,-0.5,2,1,1,2,6,0,1,61,6.6,,,cartejo01
86,Andrew Cassels,21,MTL,LW,54,6,19,25,2,20,1.2,5,1,0,3,15,4,0,55,10.9,,,cassean01
87,Jay Caufield,30,PIT,RW,23,1,1,2,-2,71,-0.5,1,0,0,1,1,0,0,5,20,,,caufija01
88,Gino Cavallini,28,STL,LW,78,8,27,35,4,81,1.3,5,3,0,2,24,3,0,131,6.1,,,cavalgi01
89,Paul Cavallini,25,STL,D,67,10,25,35,19,89,6.3,7,3,0,0,20,4,1,116,8.6,,,cavalpa01
90,John Chabot,28,DET,C,27,5,5,10,6,4,0.6,3,2,0,1,3,2,0,26,19.2,,,chabojo01
91,Shawn Chambers,24,MNS,D,29,1,3,4,2,24,1.5,1,0,0,0,2,1,0,55,1.8,,,chambsh01
92,Rene Chapdelaine,24,LAK,D,3,0,1,1,1,10,0.2,0,0,0,0,1,0,0,1,0,,,chapdre01
93,Brian Chapman,22,HAR,D,3,0,0,0,0,29,0.1,0,0,0,0,0,0,0,0,,,,chapmbr01
94,Kelly Chase,23,STL,RW,2,1,0,1,1,15,0.1,1,0,0,1,0,0,0,1,100,,,chaseke01
95,Chris Chelios*,29,CHI,D,77,12,52,64,23,192,10.2,5,5,2,2,18,29,5,187,6.4,,,chelich01
96,Steve Chiasson,23,DET,D,42,3,17,20,0,80,2.6,2,1,0,1,13,4,0,101,3,,,chiasst01
97,Tom Chorske,24,MTL,RW,57,9,11,20,-8,32,0.7,6,3,0,1,7,4,0,82,11,,,chorsto01
98,Dave Christian,31,BOS,RW,78,32,21,53,8,41,5,23,9,0,2,15,6,0,173,18.5,,,chrisda01
