Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,Id
99,Shane Churla,25,MNS,RW,40,2,2,4,1,286,-0.4,2,0,0,0,2,0,0,32,6.3,,,churlsh01
100,Jeff Chychrun,24,PHI,D,36,0,6,6,1,105,1.8,0,0,0,0,6,0,0,25,0,,,chychje01
101,Dean Chynoweth,22,NYI,D,25,1,1,2,-6,59,0.7,1,0,0,0,1,0,0,14,7.1,,,chynode01
102,Dave Chyzowski,19,NYI,RW,56,5,9,14,-19,61,-0.3,5,0,0,0,7,2,0,66,7.6,,,chyzoda01
103,Dino Ciccarelli*,30,WSH,RW,54,21,18,39,-17,66,3,19,2,0,2,15,3,0,186,11.3,,,ciccadi01
104,Zdeno Ciger,21,NJD,LW,45,8,17,25,3,8,1.5,6,2,0,1,13,4,0,82,9.8,,,cigerzd01
105,Rob Cimetta,20,TOR,LW,25,2,4,6,-5,21,-0.1,0,2,0,1,4,0,0,18,11.1,,,cimetro01
106,Joe Cirella,27,TOT,D,58,3,10,13,-27,111,0.9,3,0,0,0,1,8,1,82,3.7,,,cireljo01
106,Joe Cirella,27,QUE,D,39,2,10,12,-28,59,0.2,2,0,0,0,1,8,1,60,3.3,,,cireljo01
106,Joe Cirella,27,NYR,D,19,1,0,1,1,52,0.7,1,0,0,0,0,0,0,22,4.5,,,cireljo01
107,Wendel Clark,24,TOR,LW,63,18,16,34,-5,152,2.5,14,4,0,2,13,3,0,181,9.9,,,clarkwe01
108,Paul Coffey*,29,PIT,D,76,24,69,93,-18,128,8.9,16,8,0,3,35,34,0,240,10,,,coffepa01
109,Danton Cole,24,WIN,RW,66,13,11,24,-14,24,1,11,1,1,1,10,1,0,109,11.9,,,coleda01
110,Pat Conacher,31,NJD,LW,49,5,11,16,9,27,0.6,5,0,0,0,11,0,0,45,11.1,,,conacpa01
111,Yvon Corriveau,23,HAR,LW,23,1,1,2,-8,18,-0.5,1,0,0,0,1,0,0,21,4.8,,,corriyv01
112,Shayne Corson,24,MTL,LW,71,23,24,47,9,138,4.1,16,7,0,2,21,3,0,164,14,,,corsosh01
113,Alain Cote,23,MTL,D,28,0,6,6,8,26,1.9,0,0,0,0,6,0,0,24,0,,,coteal02
114,Sylvain Cote,25,HAR,D,73,7,12,19,-17,17,4,6,1,0,0,6,5,1,154,4.5,,,cotesy01
115,Geoff Courtnall,28,TOT,LW,77,33,32,65,16,64,6.1,21,12,0,8,27,5,0,263,12.5,,,courtge01
115,Geoff Courtnall,28,STL,LW,66,27,30,57,19,56,5.3,18,9,0,6,26,4,0,216,12.5,,,courtge01
115,Geoff Courtnall,28,VAN,LW,11,6,2,8,-3,8,0.8,3,3,0,2,1,1,0,47,12.8,,,courtge01
116,Russ Courtnall,25,MTL,RW,79,26,50,76,5,29,6.3,20,5,1,5,36,12,2,279,9.3,,,courtru01
117,Sylvain Couturier,22,LAK,C,3,0,1,1,0,0,0,0,0,0,0,1,0,0,2,0,,,coutusy01
118,Craig Coxe,27,VAN,C,7,0,0,0,-3,27,-0.2,0,0,0,0,0,0,0,5,0,,,coxecr01
119,Mike Craig,19,MNS,RW,39,8,4,12,-11,32,0.4,7,1,0,2,3,1,0,59,13.6,,,craigmi01
120,Murray Craven,26,PHI,LW,77,19,47,66,-2,53,4.7,13,6,0,0,32,15,0,170,11.2,,,cravemu01
121,Adam Creighton,25,CHI,C,72,22,29,51,0,135,4,10,10,2,6,19,8,2,127,17.3,,,creigad01
122,Shawn Cronin,27,WIN,D,67,1,5,6,-10,189,2.3,1,0,0,0,5,0,0,40,2.5,,,cronish01
123,Doug Crossman,30,TOT,D,74,8,29,37,-23,48,4.7,4,4,0,0,9,20,0,108,7.4,,,crossdo01
123,Doug Crossman,30,HAR,D,41,4,19,23,-13,19,3,2,2,0,0,6,13,0,62,6.5,,,crossdo01
123,Doug Crossman,30,DET,D,17,3,4,7,-6,17,0.8,2,1,0,0,2,2,0,16,18.8,,,crossdo01
123,Doug Crossman,30,NYI,D,16,1,6,7,-4,12,0.9,0,1,0,0,1,5,0,30,3.3,,,crossdo01
124,Troy Crowder,22,NJD,RW,59,6,3,9,-10,182,-0.6,6,0,0,0,3,0,0,46,13,,,crowdtr01
125,John Cullen,26,TOT,C,78,39,71,110,-6,101,9.1,25,14,0,3,42,29,0,205,19,,,cullejo01
125,John Cullen,26,PIT,C,65,31,63,94,0,83,7.7,21,10,0,2,38,25,0,171,18.1,,,cullejo01
125,John Cullen,26,HAR,C,13,8,8,16,-6,18,1.4,4,4,0,1,4,4,0,34,23.5,,,cullejo01
126,Randy Cunneyworth,29,HAR,LW,32,9,5,14,-6,49,0.9,9,0,0,1,4,1,0,56,16.1,,,cunnera01
127,Brian Curran,27,TOT,D,21,0,1,1,-5,50,0.4,0,0,0,0,1,0,0,7,0,,,currabr01
127,Brian Curran,27,BUF,D,17,0,1,1,-3,43,0.4,0,0,0,0,1,0,0,7,0,,,currabr01
127,Brian Curran,27,TOR,D,4,0,0,0,-2,7,0,0,0,0,0,0,0,0,0,,,,currabr01
128,Dan Currie,22,EDM,LW,5,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,5,0,,,currida01
129,Paul Cyr,27,HAR,C,70,12,13,25,-8,107,1.1,11,0,1,2,12,1,0,128,9.4,,,cyrpa01
130,Ulf Dahlén,24,MNS,RW,66,21,18,39,7,6,3.4,17,4,0,3,14,4,0,133,15.8,,,dahleul01
131,Chris Dahlquist,28,TOT,D,64,3,8,11,-1,63,2.7,3,0,0,0,8,0,0,52,5.8,,,dahlqch01
131,Chris Dahlquist,28,MNS,D,42,2,6,8,-1,33,2.2,2,0,0,0,6,0,0,37,5.4,,,dahlqch01
131,Chris Dahlquist,28,PIT,D,22,1,2,3,0,30,0.6,1,0,0,0,2,0,0,15,6.7,,,dahlqch01
132,J.J. Daigneault,25,MTL,D,51,3,16,19,-2,31,3.3,1,2,0,0,10,6,0,68,4.4,,,daignjj01
133,Brad Dalgarno,23,NYI,RW,41,3,12,15,-10,24,0.2,3,0,0,1,11,1,0,34,8.8,,,dalgabr01
134,Vincent Damphousse,23,TOR,LW,79,26,47,73,-31,65,5.2,15,10,1,4,31,15,1,247,10.5,,,damphvi01
135,Ken Daneyko,26,NJD,D,80,4,16,20,-10,249,3.5,1,1,2,1,14,2,0,106,3.8,,,daneyke01
136,Jeff Daniels,22,PIT,LW,11,0,2,2,0,2,-0.2,0,0,0,0,2,0,0,6,0,,,danieje01
137,Kimbi Daniels,19,PHI,C,2,0,1,1,-2,0,0,0,0,0,0,1,0,0,2,0,,,danieki01
138,Lucien DeBlois,33,TOT,RW,52,12,14,26,-3,43,1.7,11,0,1,1,14,0,0,65,18.5,,,deblolu01
138,Lucien DeBlois,33,TOR,RW,38,10,12,22,-4,30,1.6,9,0,1,0,12,0,0,57,17.5,,,deblolu01
138,Lucien DeBlois,33,QUE,RW,14,2,2,4,1,13,0.2,2,0,0,1,2,0,0,8,25,,,deblolu01
139,Larry DePalma,25,MNS,LW,14,3,0,3,-5,26,0,2,1,0,1,0,0,0,18,16.7,,,depalla01
140,Eric Desjardins,21,MTL,D,62,7,18,25,7,27,5,7,0,0,1,10,8,0,114,6.1,,,desjaer01
141,Gerald Diduck,25,TOT,D,63,4,9,13,-5,105,3.1,4,0,0,1,6,2,1,100,4,,,diducge01
141,Gerald Diduck,25,MTL,D,32,1,2,3,3,39,1.6,1,0,0,0,2,0,0,34,2.9,,,diducge01
141,Gerald Diduck,25,VAN,D,31,3,7,10,-8,66,1.5,3,0,0,1,4,2,1,66,4.5,,,diducge01
142,Rob DiMaio,22,NYI,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,dimairo01
143,Gord Dineen,28,PIT,D,9,0,0,0,-4,6,-0.1,0,0,0,0,0,0,0,6,0,,,dineego01
144,Kevin Dineen,27,HAR,RW,61,17,30,47,-15,104,3.2,13,4,0,2,17,13,0,161,10.6,,,dineeke01
145,Gilbert Dionne,20,MTL,LW,2,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,0,,,,dionngi01
146,Robert Dirk,24,TOT,D,52,2,3,5,-5,120,1.6,2,0,0,0,3,0,0,29,6.9,,,dirkro01
146,Robert Dirk,24,STL,D,41,1,3,4,2,100,1.5,1,0,0,0,3,0,0,20,5,,,dirkro01
146,Robert Dirk,24,VAN,D,11,1,0,1,-7,20,0.1,1,0,0,0,0,0,0,9,11.1,,,dirkro01
147,Per Djoos,22,DET,D,26,0,12,12,-2,16,1.3,0,0,0,0,7,5,0,23,0,,,djoospe01
148,Bobby Dollas,26,DET,D,56,3,5,8,6,20,2.3,3,0,0,1,5,0,0,59,5.1,,,dollabo01
149,Tie Domi,21,NYR,RW,28,1,0,1,-5,185,-0.7,1,0,0,0,0,0,0,5,20,,,domiti01
150,Gord Donnelly,28,WIN,RW,57,3,4,7,-13,265,-0.8,3,0,0,0,4,0,0,35,8.6,,,donnego01
151,Mike Donnelly,27,LAK,LW,53,7,5,12,3,41,0,7,0,0,2,5,0,0,76,9.2,,,donnemi01
152,Daniel Dore,20,QUE,RW,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,doreda01
153,Peter Douris,24,BOS,RW,39,5,2,7,-12,9,-0.4,4,1,0,1,2,0,0,46,10.9,,,douripe01
154,Mario Doyon,22,QUE,D,12,0,0,0,-3,4,0.1,0,0,0,0,0,0,0,12,0,,,doyonma01
155,Kris Draper,19,WIN,C,3,1,0,1,0,5,0.1,1,0,0,0,0,0,0,1,100,,,drapekr01
156,Bruce Driver,28,NJD,D,73,9,36,45,11,62,6.9,2,7,0,2,20,15,1,195,4.6,,,drivebr01
157,John Druce,24,WSH,RW,80,22,36,58,4,46,4.6,14,7,1,4,24,11,1,209,10.5,,,drucejo01
158,Gaetan Duchesne,28,MNS,LW,68,9,9,18,4,18,0.7,9,0,0,1,8,0,1,100,9,,,duchega01
159,Steve Duchesne,25,LAK,D,78,21,41,62,19,66,9,13,8,0,3,26,14,1,171,12.3,,,duchest01
160,Donald Dufresne,23,MTL,D,53,2,13,15,5,55,3.4,2,0,0,0,13,0,0,32,6.3,,,dufredo01
161,Iain Duncan,27,WIN,LW,2,0,0,0,-1,2,-0.1,0,0,0,0,0,0,0,2,0,,,duncaia01
162,Craig Duncanson,23,WIN,LW,7,2,0,2,-5,16,0,2,0,0,0,0,0,0,6,33.3,,,duncacr01
163,Mike Eagles,27,WIN,C,44,0,9,9,-10,79,-0.5,0,0,0,0,9,0,0,51,0,,,eaglemi01
164,Pelle Eklund,27,PHI,C,73,19,50,69,-2,14,5.1,11,8,0,4,29,20,1,131,14.5,,,eklunpe01
165,Todd Elik,24,LAK,C,74,21,37,58,20,58,4.6,19,2,0,4,31,6,0,153,13.7,,,elikto01
166,Dave Ellett,26,TOT,D,77,12,37,49,-8,75,6.6,5,6,1,1,12,23,2,195,6.2,,,elletda01
166,Dave Ellett,26,TOR,D,60,8,30,38,-4,69,5.1,3,5,0,1,10,18,2,154,5.2,,,elletda01
166,Dave Ellett,26,WIN,D,17,4,7,11,-4,6,1.5,2,1,1,0,2,5,0,41,9.8,,,elletda01
167,Pat Elynuik,23,WIN,RW,80,31,34,65,-13,73,5.4,15,16,0,4,19,15,0,150,20.7,,,elynupa01
168,Nelson Emerson,23,STL,C,4,0,3,3,-2,2,0.1,0,0,0,0,3,0,0,3,0,,,emersne01
169,Bryan Erickson,30,WIN,RW,6,0,7,7,1,0,0.4,0,0,0,0,3,4,0,16,0,,,erickbr01
170,Jan Erixon,28,NYR,RW,53,7,18,25,13,8,1.6,4,0,3,0,17,0,1,40,17.5,,,erixoja01
171,Bob Errey,26,PIT,LW,79,20,22,42,11,115,2.8,19,0,1,2,22,0,0,131,15.3,,,erreybo01
172,Doug Evans,27,WIN,LW,70,7,27,34,-1,108,1.6,6,1,0,0,21,5,1,70,10,,,evansdo01
173,Kevin Evans,25,MNS,LW,4,0,0,0,-3,19,-0.2,0,0,0,0,0,0,0,2,0,,,evanske01
174,Dean Evason,26,HAR,C,75,6,23,29,-6,170,0.9,5,1,0,0,21,1,1,85,7.1,,,evasode01
175,Todd Ewen,24,MTL,RW,28,3,2,5,4,128,0.1,3,0,0,0,2,0,0,13,23.1,,,ewento01
176,Glen Featherstone,22,STL,D,68,5,15,20,19,204,4.7,4,1,0,1,14,1,0,59,8.5,,,feathgl01
177,Sergei Fedorov*,21,DET,C,77,31,48,79,11,66,6.8,17,11,3,5,31,16,1,259,12,,,fedorse01
178,Brent Fedyk,23,DET,RW,67,16,19,35,20,38,2.7,16,0,0,1,17,0,2,74,21.6,,,fedykbr01
179,Chris Felix,26,WSH,D,8,0,4,4,0,0,0.6,0,0,0,0,1,3,0,7,0,,,felixch01
180,Paul Fenton,31,TOT,LW,78,14,21,35,-5,28,1.7,10,2,2,2,18,3,0,133,10.5,,,fentopa01
180,Paul Fenton,31,CGY,LW,31,5,7,12,2,10,0.5,4,0,1,1,7,0,0,59,8.5,,,fentopa01
180,Paul Fenton,31,TOR,LW,30,5,10,15,-3,0,0.8,3,1,1,0,9,1,0,46,10.9,,,fentopa01
180,Paul Fenton,31,WIN,LW,17,4,4,8,-4,18,0.4,3,1,0,1,2,2,0,28,14.3,,,fentopa01
181,David Fenyves,30,PHI,D,40,1,4,5,1,28,2,1,0,0,0,4,0,0,32,3.1,,,fenyvda01
182,Tom Fergus,28,TOR,C,14,5,4,9,-5,8,0.6,3,2,0,0,2,2,0,17,29.4,,,ferguto01
183,Mark Ferner,25,WSH,D,7,0,1,1,-2,4,0.3,0,0,0,0,1,0,0,3,0,,,fernema01
184,Ray Ferraro,26,TOT,C,76,21,21,42,-12,70,2.9,15,6,0,1,16,5,0,109,19.3,,,ferrara01
184,Ray Ferraro,26,NYI,C,61,19,16,35,-11,52,2.6,14,5,0,1,12,4,0,91,20.9,,,ferrara01
