,,,,,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,,,Special Teams,Special Teams,,Assists,Assists,Assists,Shot Data,Shot Data,Ice Time,Ice Time,,,,,,
Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,Id
737,Devin Shore,22,DAL,C,82,13,20,33,-4,14,2.8,12,1,0,0,15,5,0,115,11.3,1159,14:08,71,44,221,249,47,shorede01
738,Drew Shore,26,VAN,C,14,0,2,2,-3,4,-0.1,0,0,0,0,2,0,0,11,0,168,11:58,3,22,38,33,53.5,shoredr01
739,Nick Shore,24,LAK,C,70,6,11,17,-2,20,1.3,5,0,1,1,11,0,0,79,7.6,895,12:47,22,58,362,359,50.2,shoreni01
740,Duncan Siemens,23,COL,D,3,0,0,0,-2,2,-0.1,0,0,0,0,0,0,0,2,0,37,12:19,1,10,0,0,,siemedu01
741,Jakob Silfverberg,26,ANA,RW,79,23,26,49,10,20,6.1,17,5,1,5,22,4,0,227,10.1,1460,18:29,46,47,1,6,14.3,silfvja01
742,Wayne Simmonds,28,PHI,RW,82,31,23,54,-18,122,6.3,13,16,2,4,14,9,0,224,13.8,1556,18:58,60,162,8,9,47.1,simmowa01
743,Dominik Simon,22,PIT,C,2,0,1,1,-1,0,0,0,0,0,0,1,0,0,2,0,26,13:03,0,2,0,0,,simondo01
744,Dillon Simpson,23,EDM,D,3,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,33,10:53,2,3,0,0,,simpsdi01
745,Colton Sissons,23,NSH,C,58,8,2,10,11,12,1.4,7,0,1,1,2,0,0,42,19,645,11:07,24,104,192,192,50,sissoco01
746,Jack Skille,29,VAN,RW,55,5,4,9,0,12,0.9,5,0,0,0,4,0,0,73,6.8,484,8:48,24,74,2,0,100,skillja01
747,Jeff Skinner,24,CAR,LW,79,37,26,63,-3,28,8.8,30,7,0,4,18,8,0,281,13.2,1401,17:44,28,33,10,17,37,skinnje01
748,Brady Skjei,22,NYR,D,80,5,34,39,11,42,6.4,5,0,0,0,27,7,0,127,3.9,1397,17:28,69,147,0,1,0,skjeibr01
749,Jaccob Slavin,22,CAR,D,82,5,29,34,23,12,8.6,4,0,1,0,22,4,3,99,5.1,1922,23:26,161,35,0,0,,slavija01
750,Anton Slepyshev,22,EDM,LW,41,4,6,10,5,4,1,4,0,0,0,6,0,0,55,7.3,456,11:07,15,64,2,3,40,slepyan01
751,Ben Smith,28,TOT,RW,40,2,2,4,-7,4,-0.4,2,0,0,0,2,0,0,30,6.7,459,11:28,41,29,241,227,51.5,smithbe01
751,Ben Smith,28,TOR,RW,36,2,2,4,-5,4,-0.3,2,0,0,0,2,0,0,29,6.9,416,11:33,41,28,220,208,51.4,smithbe01
751,Ben Smith,28,COL,RW,4,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,1,0,43,10:46,0,1,21,19,52.5,smithbe01
752,Brendan Smith,27,TOT,D,51,3,6,9,1,63,2.3,2,1,0,1,4,2,0,62,4.8,981,19:15,65,59,0,0,,smithbr05
752,Brendan Smith,27,DET,D,33,2,3,5,-1,34,1.4,1,1,0,1,1,2,0,39,5.1,618,18:44,38,43,0,0,,smithbr05
752,Brendan Smith,27,NYR,D,18,1,3,4,2,29,0.9,1,0,0,0,3,0,0,23,4.3,363,20:10,27,16,0,0,,smithbr05
753,C.J. Smith,22,BUF,LW,2,0,1,1,-1,0,0,0,0,0,0,1,0,0,2,0,23,11:32,0,0,0,0,,smithcj01
754,Craig Smith,27,NSH,RW,78,12,17,29,7,30,3,10,2,0,1,16,1,0,155,7.7,1078,13:49,16,93,51,60,45.9,smithcr01
755,Gemel Smith,22,DAL,C,17,3,3,6,-1,21,0.5,2,0,1,0,3,0,0,19,15.8,231,13:35,6,6,25,34,42.4,smithge02
756,Reilly Smith,25,FLA,RW,80,15,22,37,-13,17,3.1,8,6,1,3,17,5,0,160,9.4,1468,18:21,34,75,3,3,50,smithre01
757,Trevor Smith,31,NSH,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,7,7:20,2,0,0,8,0,smithtr01
758,Zack Smith,28,OTT,C,74,16,16,32,6,61,3.6,11,1,4,1,16,0,0,137,11.7,1212,16:23,38,140,317,292,52.1,smithza01
