,,,,,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,,,Special Teams,Special Teams,,Assists,Assists,Assists,Shot Data,Shot Data,Ice Time,Ice Time,,,,,,
Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,Id
858,Dale Weise,28,PHI,RW,64,8,7,15,1,39,1.3,7,1,0,2,6,1,0,94,8.5,824,12:53,24,135,3,0,100,weiseda01
859,Alexander Wennberg,22,CBJ,C,80,13,46,59,9,21,5.9,11,2,0,5,25,21,0,109,11.9,1470,18:23,56,58,609,676,47.4,wennbal01
860,Zach Werenski,19,CBJ,D,78,11,36,47,17,14,9.1,7,4,0,1,19,17,0,188,5.9,1631,20:55,90,41,0,0,,werenza01
861,Blake Wheeler,30,WPG,RW,82,26,48,74,6,47,8.2,19,5,2,4,31,16,1,259,10,1652,20:09,51,100,43,51,45.7,wheelbl01
862,Colin White,20,OTT,C,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,27,13:43,1,0,7,14,33.3,whiteco02
863,Ryan White,28,TOT,C,65,9,7,16,-16,84,0.9,9,0,0,1,7,0,0,60,15,693,10:39,33,187,39,52,42.9,whitery01
863,Ryan White,28,ARI,C,46,7,6,13,-8,70,1.1,7,0,0,1,6,0,0,43,16.3,504,10:57,26,138,35,46,43.2,whitery01
863,Ryan White,28,MIN,C,19,2,1,3,-8,14,-0.2,2,0,0,0,1,0,0,17,11.8,189,9:57,7,49,4,6,40,whitery01
864,Chris Wideman,27,OTT,D,76,5,12,17,7,46,4.2,4,1,0,1,8,4,0,123,4.1,1061,13:58,68,68,0,0,,widemch01
865,Dennis Wideman,33,CGY,D,57,5,13,18,-6,32,3.2,3,2,0,1,10,3,0,87,5.7,1153,20:14,74,61,0,0,,widemde01
866,Patrick Wiercioch,26,COL,D,57,4,8,12,-18,23,1.5,4,0,0,0,8,0,0,63,6.3,950,16:40,57,52,1,0,100,wiercpa01
867,Justin Williams,35,WSH,RW,80,24,24,48,14,50,6.2,19,5,0,4,19,5,0,167,14.4,1238,15:29,41,28,64,53,54.7,williju01
868,Colin Wilson,27,NSH,LW,70,12,23,35,7,18,3.8,6,6,0,0,22,1,0,113,10.6,1047,14:57,23,50,16,23,41,wilsoco01
869,Scott Wilson,24,PIT,LW,78,8,18,26,0,32,2,8,0,0,1,18,0,0,127,6.3,854,10:57,31,167,3,0,100,wilsosc01
870,Tom Wilson,22,WSH,RW,82,7,12,19,9,133,1.3,7,0,0,0,12,0,0,95,7.4,1060,12:56,44,239,3,7,30,wilsoto01
871,Tommy Wingels,28,TOT,C,73,7,5,12,-11,27,0.4,7,0,0,2,5,0,0,81,8.6,767,10:30,46,125,111,149,42.7,wingeto01
871,Tommy Wingels,28,SJS,C,37,5,3,8,-2,15,0.8,5,0,0,2,3,0,0,42,11.9,372,10:03,22,61,59,88,40.1,wingeto01
871,Tommy Wingels,28,OTT,C,36,2,2,4,-9,12,-0.4,2,0,0,0,2,0,0,39,5.1,395,10:58,24,64,52,61,46,wingeto01
872,Daniel Winnik,31,WSH,LW,72,12,13,25,15,49,3,10,0,2,3,13,0,0,82,14.6,930,12:55,34,25,9,12,42.9,winnida01
873,Luke Witkowski,26,TBL,D,34,0,4,4,-1,39,0.7,0,0,0,0,4,0,0,24,0,336,9:52,21,81,0,0,,witkolu01
874,Miles Wood,21,NJD,LW,60,8,9,17,-21,86,0.9,6,2,0,0,7,2,0,105,7.6,771,12:51,26,68,1,1,50,woodmi01
875,Tyler Wotherspoon,23,CGY,D,4,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,4,0,44,10:54,2,3,0,0,,wothety01
876,Nail Yakupov,23,STL,RW,40,3,6,9,-3,14,0.5,3,0,0,0,6,0,0,35,8.6,426,10:39,8,32,0,0,,yakupna01
877,Keith Yandle,30,FLA,D,82,5,36,41,-6,39,6.9,3,2,0,0,19,16,1,178,2.8,1807,22:02,76,28,0,0,,yandlke01
878,Pavel Zacha,19,NJD,C,70,8,16,24,-17,19,1.5,3,5,0,2,8,8,0,83,9.6,1002,14:18,24,54,183,271,40.3,zachapa01
879,Nikita Zadorov,21,COL,D,56,0,10,10,-20,73,0.8,0,0,0,0,8,2,0,61,0,1066,19:02,69,153,0,0,,zadorni01
880,Nikita Zaitsev,25,TOR,D,82,4,32,36,-22,38,3.6,3,1,0,0,20,11,1,106,3.8,1806,22:01,136,176,0,0,,zaitsni01
881,Travis Zajac,31,NJD,C,80,14,31,45,-8,33,4.2,7,6,1,1,24,6,1,126,11.1,1578,19:44,26,81,880,733,54.6,zajactr01
882,Michael Zalewski,24,VAN,LW,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,0,,8,8:03,1,0,0,0,,zalewmi01
883,Henrik Zetterberg,36,DET,LW,82,17,51,68,15,22,7.6,15,2,0,0,40,11,0,195,8.7,1617,19:43,30,58,705,657,51.8,zettehe01
884,Mika Zibanejad,23,NYR,C,56,14,23,37,9,16,4.2,10,4,0,2,16,7,0,119,11.8,956,17:04,27,23,494,456,52,zibanmi01
885,Harry Zolnierczyk,29,NSH,LW,24,2,2,4,-2,10,0.2,2,0,0,0,2,0,0,19,10.5,213,8:52,11,25,8,11,42.1,zolniha01
886,Mats Zuccarello,29,NYR,RW,80,15,44,59,15,26,6,10,5,0,3,35,9,0,189,7.9,1506,18:50,52,85,6,7,46.2,zuccama01
887,Jason Zucker,25,MIN,LW,79,22,25,47,34,30,6.7,21,1,0,3,25,0,0,172,12.8,1208,15:17,42,73,1,4,20,zuckeja01
888,Valentin Zykov,21,CAR,LW,2,1,0,1,1,0,0.2,1,0,0,0,0,0,0,3,33.3,13,6:15,0,0,0,0,,zykovva01
