Id,Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%
abdelju01,1,Justin Abdelkader,21.0,DET,LW,18.0,1.0,1.0,2.0,-3.6666666666666665,12.333333333333334,-0.09999999999999999,1.0,0.0,0.0,0.0,1.0,0.0,0.0,29.0,1.2666666666666666
adamscr01,2,Craig Adams,30.0,PIT,RW,70.2,4.6,8.0,12.6,-6.4,51.4,0.14,3.6,0.4,0.6,0.8,7.4,0.0,0.6,66.6,7.040000000000001
adamske01,3,Kevyn Adams,32.0,CHI,C,59.0,6.0,6.333333333333333,12.333333333333334,-9.0,24.666666666666668,0.20000000000000004,5.0,0.0,1.0,0.6666666666666666,4.666666666666667,0.3333333333333333,1.3333333333333333,93.0,4.266666666666667
afanadm01,4,Dmitry Afanasenkov,25.5,TOT,LW,71.0,10.0,8.0,18.0,-16.0,18.0,1.0,9.5,0.5,0.0,0.0,6.5,1.5,0.0,87.0,11.5
afinoma01,5,Maxim Afinogenov,28.0,ATL,RW,63.8,17.0,31.6,48.6,-3.0,51.6,4.64,12.0,5.0,0.0,2.0,20.2,11.4,0.0,156.0,10.58
albelto01,6,Tommy Albelin,41.0,NJD,D,36.0,0.0,6.0,6.0,4.0,2.0,1.6,0.0,0.0,0.0,0.0,5.0,1.0,0.0,15.0,0.0
alberan01,7,Andrew Alberts,26.0,TOT,D,67.8,1.0,7.8,8.8,0.8,75.8,2.08,0.8,0.0,0.2,0.0,7.2,0.2,0.4,38.4,2.3
alzneka01,7,Karl Alzner,20.5,WSH,D,25.5,0.5,4.5,5.0,-1.5,5.0,0.55,0.5,0.0,0.0,0.0,4.5,0.0,0.0,23.5,1.6
alexeni01,7,Nikita Alexeev,25.0,TOT,RW,78.0,12.0,11.0,23.0,7.0,12.0,2.0,10.0,2.0,0.0,2.0,9.0,2.0,0.0,117.0,10.3
alfreda01,8,Daniel Alfredsson*,35.0,OTT,RW,74.6,31.2,53.6,84.8,20.2,34.4,9.959999999999999,19.2,8.8,3.2,5.6,28.8,22.6,2.2,215.6,14.3
anisiar01,8,Artem Anisimov,20.5,NYR,C,41.5,6.0,8.0,14.0,-1.0,16.0,1.3,5.5,0.5,0.0,1.0,7.5,0.5,0.0,62.5,4.85
allenbr01,9,Bryan Allen,27.0,FLA,D,61.6,3.4,11.0,14.4,2.0,78.6,3.12,3.0,0.2,0.2,0.4,9.6,0.8,0.6,67.4,4.0200000000000005
allenbo01,9,Bobby Allen,28.5,BOS,D,25.0,0.0,1.5,1.5,-1.5,6.0,0.35,0.0,0.0,0.0,0.0,1.0,0.0,0.5,12.0,0.0
allisja01,10,Jamie Allison,30.0,TOT,D,27.0,0.0,1.0,1.0,-6.0,56.0,-0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0
allisja02,11,Jason Allison,30.0,TOR,C,66.0,17.0,43.0,60.0,-18.0,76.0,4.7,8.0,9.0,0.0,2.0,13.0,30.0,0.0,111.0,15.3
amontto01,12,Tony Amonte,35.5,CGY,RW,80.5,12.0,24.0,36.0,-0.5,41.5,2.7,9.0,2.0,1.0,2.0,15.0,8.0,1.0,147.0,8.1
andreda01,13,Dave Andreychuk*,42.0,TBL,LW,42.0,6.0,12.0,18.0,-13.0,16.0,0.9,1.0,4.0,1.0,1.0,3.0,8.0,1.0,81.0,7.4
arkhide01,13,Denis Arkhipov,27.0,CHI,C,79.0,10.0,17.0,27.0,-13.0,54.0,1.2,7.0,2.0,1.0,1.0,9.0,4.0,4.0,112.0,8.9
antroni01,14,Nik Antropov,27.0,ATL,C,68.0,21.6,27.6,49.2,6.0,53.2,5.36,14.6,6.8,0.2,3.4,21.4,5.6,0.6,150.6,14.459999999999999
armstco01,15,Colby Armstrong,25.0,ATL,RW,72.0,15.6,20.0,35.6,6.4,63.4,3.34,12.4,2.4,0.8,2.4,16.6,2.4,1.0,117.2,13.780000000000001
armstde01,16,Derek Armstrong,34.0,STL,C,53.6,7.4,18.4,25.8,0.4,47.2,2.18,5.0,2.4,0.0,0.8,14.6,3.8,0.0,75.0,8.36
