Team,Goon,Rk,GP,W,L,PTS,PTS%,GF,GA,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO
Anaheim Ducks,0,11,376,216,122,470,0.6304,1061,996,2.82,13.15,222,1202,18.656,238,1294,81.602,35,31,11.84,11.3,10999,9.66,11075,0.9104,26
Arizona Coyotes,0,29,82,24,50,56,0.341,165,267,2.01,3.26,46,230,20,65,279,76.7,4,7,9.5,8.4,2393,6.9,2722,0.902,1
Atlanta Thrashers,0,25,82,34,36,80,0.488,218,262,2.66,3.2,53,289,18.34,64,285,77.54,6,10,11.3,10.7,2581,8.4,2638,0.901,5
Boston Bruins,0,7,376,218,114,480,0.6388,1098,866,2.9,11.48,192,1081,17.54,197,1195,83.768,41,17,11.92,10.82,12064,9.04,11330,0.9234,39
Buffalo Sabres,0,15,376,147,184,339,0.4548,872,1102,2.332,14.64,187,1180,15.592,250,1266,80.082,26,40,11.44,11.16,10566,8.24,12427,0.9114,15
Calgary Flames,1,17,376,177,153,400,0.5242,1007,1055,2.678,14.22,226,1237,18.334,202,1122,81.87,34,27,9.98,10.24,10503,9.6,11014,0.903,17
Carolina Hurricanes,1,19,376,158,165,369,0.4864,958,1075,2.558,14.48,214,1326,16.092,209,1116,81.186,35,26,9.06,10.3,11645,8.24,11697,0.907,16
Chicago Blackhawks,0,13,376,219,111,484,0.6566,1123,946,2.994,12.38,227,1221,18.416,203,1088,81.884,30,25,8.86,9.66,12206,9.28,10661,0.9122,20
Colorado Avalanche,1,29,376,178,157,397,0.518,988,1094,2.61,14.64,198,1127,17.34,243,1264,80.968,23,21,11.38,10.2,11098,8.84,11940,0.9076,20
Columbus Blue Jackets,0,24,376,172,165,383,0.5146,976,1084,2.58,14.21,220,1297,16.922,261,1315,80.374,30,34,12.36,12.54,11040,8.88,11686,0.9084,22
Dallas Stars,1,16,376,187,148,415,0.5476,1042,1065,2.764,14.21,218,1301,16.656,239,1276,81.214,34,33,11.84,12.06,10999,9.54,11466,0.907,23
Detroit Red Wings,0,6,376,201,122,455,0.6032,1066,979,2.81,12.89,269,1360,19.658,238,1321,81.948,16,36,9,9.94,11727,9.02,10770,0.91,26
Edmonton Oilers,1,30,376,129,195,310,0.417,913,1166,2.438,15.36,219,1238,17.968,256,1291,80.332,25,31,11.58,11.32,10198,9.02,11847,0.9028,17
Florida Panthers,1,28,376,150,167,359,0.4688,883,1083,2.34,14.68,184,1210,15.672,242,1169,78.852,21,24,9.78,10.02,11293,7.84,11593,0.905,16
Los Angeles Kings,0,12,376,199,128,447,0.5962,944,845,2.528,11.29,219,1277,17.432,200,1262,83.962,27,17,10.56,10.74,11434,8.34,10096,0.9152,44
Minnesota Wild,1,21,376,189,145,420,0.5598,913,966,2.432,12.85,203,1199,16.972,215,1213,82.164,21,22,10.78,11.16,10406,8.74,11032,0.9118,30
Montreal Canadiens,1,14,376,200,129,447,0.5996,989,929,2.664,12.39,230,1315,17.674,207,1361,84.304,28,28,12.28,12.36,11074,9.02,11273,0.9164,33
Nashville Predators,0,10,376,193,133,436,0.5672,994,963,2.614,12.89,207,1157,17.89,207,1127,81.02,17,15,9.08,9.12,10862,9.14,11054,0.9116,28
New Jersey Devils,2,23,376,172,151,397,0.5258,870,938,2.312,12.49,196,1133,17.266,187,1201,84.202,45,39,9.74,9.54,10167,8.56,10068,0.905,30
New York Islanders,3,27,376,169,158,387,0.5196,1017,1130,2.712,14.95,227,1244,18.418,232,1170,80.002,39,22,11.66,11.28,11611,8.76,11226,0.8992,18
New York Rangers,0,18,376,219,128,467,0.6178,1034,862,2.74,11.45,204,1219,16.658,177,1132,84.098,43,26,10.8,11.56,11575,8.92,10874,0.9206,42
Ottawa Senators,1,26,376,178,145,409,0.5472,1006,1047,2.646,13.64,216,1235,17.364,230,1349,83.436,28,30,13.04,12.18,11776,8.4,12172,0.9154,24
Philadelphia Flyers,2,4,376,192,132,436,0.5738,1093,1030,2.894,13.76,270,1351,20.224,247,1398,82.464,32,34,13.96,13.58,11543,9.46,11160,0.9068,16
Phoenix Coyotes,1,9,294,143,101,336,0.56725,767,763,2.6,10.38,161,991,16.03,191,986,80.71,16,19,10.025,9.925,8894,8.575,9272,0.9175,28
Pittsburgh Penguins,1,3,376,230,113,493,0.6636,1122,941,3.018,12.51,262,1302,20.572,192,1292,84.682,36,36,12.62,12.78,11846,9.64,10761,0.9126,29
San Jose Sharks,2,5,376,207,125,458,0.6078,1041,944,2.738,12.48,264,1274,20.702,211,1087,80.964,24,26,10.02,11.2,12573,8.22,10817,0.913,31
St. Louis Blues,0,20,376,219,119,476,0.6324,1044,882,2.758,11.74,238,1231,19.386,198,1261,84.308,25,20,12.84,12.74,11259,9.28,10021,0.9112,51
Tampa Bay Lightning,0,8,376,198,138,436,0.5664,1111,1074,2.964,14.36,244,1320,18.422,232,1268,81.61,20,46,10.74,11.1,11029,10.2,10990,0.9024,22
