Id,Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%
demeldy01,166,Dylan DeMelo,24.0,TOT,D,53.8,1.4,11.4,12.8,0.8,26.2,2.38,1.0,0.4,0.0,0.0,9.2,1.6,0.6,64.8,2.32
demerja01,167,Jason Demers,29.0,ARI,D,59.4,4.8,13.2,18.0,2.4,39.8,4.0,4.0,0.6,0.2,1.4,10.4,2.2,0.6,75.8,5.6
deshada01,168,David Desharnais,30.0,NYR,C,61.666666666666664,7.666666666666667,16.0,23.666666666666668,-8.0,16.666666666666668,1.7,6.0,1.6666666666666667,0.0,1.6666666666666667,13.0,3.0,0.0,63.666666666666664,12.033333333333333
currijo01,169,Josh Currie,26.0,EDM,RW,21.0,2.0,3.0,5.0,2.0,2.0,0.5,2.0,0.0,0.0,0.0,3.0,0.0,0.0,19.0,10.5
desjaan01,169,Andrew Desjardins,29.5,CHI,LW,61.5,4.0,3.0,7.0,-7.0,26.0,-0.35,4.0,0.0,0.0,0.5,3.0,0.0,0.0,71.0,4.15
deslani01,170,Nicolas Deslauriers,26.0,ANA,LW,55.4,5.0,4.2,9.2,-5.2,53.2,0.44000000000000006,4.8,0.0,0.2,0.6,4.0,0.0,0.2,57.4,7.280000000000001
desprsi01,171,Simon Despres,24.5,ANA,D,16.5,0.0,2.0,2.0,1.0,4.0,0.75,0.0,0.0,0.0,0.0,1.5,0.5,0.0,16.5,0.0
dadonev01,172,Evgenii Dadonov,29.0,FLA,RW,75.0,27.0,33.666666666666664,60.666666666666664,-1.0,8.666666666666666,6.466666666666666,18.666666666666668,8.333333333333334,0.0,4.0,26.333333333333332,7.333333333333333,0.0,183.33333333333334,14.766666666666666
dahlira01,172,Rasmus Dahlin,18.5,BUF,D,70.5,6.5,35.5,42.0,-10.0,36.0,5.85,3.0,3.5,0.0,2.5,19.5,16.0,0.0,133.5,4.75
digiuph01,172,Phillip Di Giuseppe,24.0,NYR,LW,34.0,3.0,6.0,9.0,-2.8,12.0,0.5599999999999999,3.0,0.0,0.0,0.6,5.8,0.2,0.0,53.2,5.14
dickija01,173,Jason Dickinson,22.0,DAL,C,34.0,3.6,6.0,9.6,2.4,9.2,0.78,3.6,0.0,0.0,0.6,5.8,0.0,0.2,41.2,17.84
dahlsca01,174,Carl Dahlstrom,24.0,WPG,D,21.333333333333332,0.0,3.3333333333333335,3.3333333333333335,1.0,4.0,0.6333333333333333,0.0,0.0,0.0,0.0,3.0,0.0,0.3333333333333333,21.0,0.0
dalcomi01,175,Michael Dal Colle,22.0,NYI,LW,28.333333333333332,2.3333333333333335,3.3333333333333335,5.666666666666667,-1.6666666666666667,4.666666666666667,0.19999999999999998,2.3333333333333335,0.0,0.0,0.6666666666666666,3.3333333333333335,0.0,0.0,31.333333333333332,5.2
dillobr01,175,Brenden Dillon,27.0,TOT,D,77.8,2.2,13.6,15.8,3.2,69.2,3.46,2.0,0.0,0.2,0.2,13.4,0.0,0.2,79.2,2.66
doansh01,176,Shane Doan,39.5,ARI,RW,73.0,17.0,20.0,37.0,0.5,73.0,4.1,9.5,7.5,0.0,2.0,16.5,3.5,0.0,157.0,10.35
domima01,177,Max Domi,22.0,MTL,LW,75.0,16.2,34.0,50.2,0.8,60.0,4.9399999999999995,14.2,2.0,0.0,1.2,25.0,8.8,0.2,159.2,9.82
donskjo01,178,Joonas Donskoi,25.0,COL,RW,69.6,12.2,18.8,31.0,4.2,18.4,2.94,10.2,2.0,0.0,1.8,15.8,3.0,0.0,111.4,10.82
dorsede01,179,Derek Dorsett,30.0,VAN,RW,35.0,4.333333333333333,5.333333333333333,9.666666666666666,-6.666666666666667,94.66666666666667,0.5666666666666668,3.6666666666666665,0.0,0.6666666666666666,0.3333333333333333,5.0,0.0,0.3333333333333333,47.0,12.199999999999998
doughdr01,180,Drew Doughty,28.0,LAK,D,79.0,10.2,36.8,47.0,1.0,46.4,8.98,4.0,5.8,0.4,2.2,21.6,14.4,0.8,175.6,5.76
