Team,Goon,Rk,GP,W,L,PTS,PTS%,GF,GA,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO
Anaheim Ducks,2,7,399,200,143,456,0.5688,1044,1067,2.614,13.43,204,1106,18.2,230,1329,82.37,41,29,10.62,9.32,11760,8.86,12410,0.9138,30
Arizona Coyotes,0,25,398,166,186,378,0.4766,1004,1156,2.528,14.48,215,1250,17.23,242,1211,80.354,35,45,8.72,8.8,11738,8.58,12774,0.9098,23
Boston Bruins,0,16,398,229,120,507,0.639,1219,1027,3.068,12.88,284,1213,23.398,209,1240,83.142,40,42,10.08,10.04,12971,9.42,11602,0.9116,34
Buffalo Sabres,0,23,397,156,188,365,0.4608,1010,1207,2.554,15.22,237,1176,20.16,231,1090,78.72,26,40,8.04,8.4,12184,8.32,12857,0.9058,13
Calgary Flames,2,26,398,203,160,441,0.5542,1160,1156,2.912,14.54,235,1265,18.74,242,1222,80.164,49,35,9.86,9.94,12413,9.34,11858,0.9026,18
Carolina Hurricanes,0,18,396,191,151,436,0.552,1093,1118,2.774,14.13,215,1161,18.622,190,1079,82.3,34,29,7,7.7,12807,8.56,11285,0.901,20
Chicago Blackhawks,0,5,398,198,152,444,0.5564,1177,1178,2.958,14.82,223,1209,18.404,242,1118,78.418,28,32,7.44,8.14,12695,9.3,13107,0.9106,17
Colorado Avalanche,0,22,398,184,175,407,0.5156,1126,1186,2.846,14.87,252,1328,18.736,257,1283,80.05,36,35,9.12,9.4,12016,9.36,12795,0.9074,22
Columbus Blue Jackets,0,27,398,209,147,460,0.578,1132,1081,2.836,13.56,189,1096,17.242,204,1085,81.268,28,28,8.08,8,12552,8.98,12116,0.9108,30
Dallas Stars,0,2,397,206,148,455,0.5738,1105,1084,2.778,13.62,238,1176,20.288,248,1233,79.886,31,42,8.94,8.62,12321,8.94,12025,0.9098,26
Detroit Red Wings,1,15,399,153,194,358,0.444,985,1254,2.456,15.8,200,1183,16.868,267,1236,78.298,25,38,8.56,8.4,11575,8.48,12649,0.9006,17
Edmonton Oilers,0,29,399,186,172,413,0.5196,1123,1197,2.822,15,236,1114,21.286,242,1167,79.476,33,33,9.04,8.32,12165,9.28,12471,0.9042,18
Florida Panthers,1,6,397,197,150,444,0.5592,1174,1171,2.968,14.8,256,1272,20.174,219,1156,80.952,30,36,9.38,9.96,12782,9.24,12595,0.9064,18
Los Angeles Kings,0,8,398,192,169,421,0.5268,1035,1063,2.6,13.4,210,1130,18.49,227,1210,80.956,24,24,8.74,8.44,12405,8.32,11568,0.9078,30
Minnesota Wild,0,17,397,204,147,454,0.5712,1154,1089,2.916,13.77,239,1180,20.312,224,1139,80.198,27,25,7.84,8.32,12021,9.64,11915,0.9082,27
Montreal Canadiens,0,21,399,189,165,423,0.5292,1100,1145,2.76,14.38,203,1153,17.618,252,1218,79.346,31,32,8.66,8.32,12868,8.56,12243,0.9062,20
Nashville Predators,0,13,397,217,129,485,0.6092,1171,1063,2.952,13.46,230,1273,17.996,242,1249,80.44,43,29,9.76,9.8,12669,9.24,11990,0.9108,35
New Jersey Devils,1,20,397,169,175,391,0.4924,1009,1178,2.546,14.88,236,1247,18.91,224,1259,82.216,42,46,9.44,9.1,11486,8.76,12385,0.9048,22
New York Islanders,1,10,396,204,143,457,0.5774,1139,1123,2.872,14.16,198,1108,17.748,217,1089,80.128,29,30,8.18,8.14,11840,9.58,12686,0.912,25
New York Rangers,0,9,398,197,158,437,0.5496,1168,1181,2.948,14.86,236,1153,20.458,254,1210,79.014,32,25,9.08,8.66,11880,9.86,13012,0.9094,20
Ottawa Senators,0,19,399,164,187,376,0.4704,1087,1274,2.722,15.98,198,1178,16.786,267,1181,77.416,47,26,9.48,9.48,11906,9.14,13182,0.9034,21
Philadelphia Flyers,0,14,397,200,144,453,0.573,1140,1148,2.886,14.44,248,1278,19.4,244,1178,79.274,22,44,9.38,9.86,12505,9.16,11943,0.904,21
Pittsburgh Penguins,0,4,397,229,125,501,0.6308,1281,1110,3.224,13.98,274,1220,22.418,224,1191,81.21,40,35,8.5,8.64,13225,9.7,12440,0.9104,26
San Jose Sharks,1,11,398,212,149,461,0.5756,1172,1116,2.932,14.08,246,1208,20.19,198,1130,82.494,37,31,8.76,9.26,12455,9.36,11465,0.9026,25
St. Louis Blues,0,3,399,226,132,493,0.619,1142,1045,2.87,13.1,238,1157,20.722,213,1205,82.072,22,32,8.4,8.28,12264,9.36,11649,0.9102,36
Tampa Bay Lightning,0,12,398,247,121,524,0.658,1306,1071,3.286,13.46,295,1300,22.786,236,1280,81.578,38,28,9.92,10.16,12330,10.58,12339,0.913,28
Toronto Maple Leafs,0,30,398,200,148,450,0.5658,1235,1175,3.112,14.79,244,1133,21.736,221,1151,80.62,23,36,7.74,7.86,12810,9.64,12902,0.9084,24
Vancouver Canucks,0,28,397,163,184,376,0.4764,1025,1201,2.604,15.13,224,1208,18.526,249,1217,79.526,25,36,8.94,8.82,11634,8.8,12808,0.9062,11
Vegas Golden Knights,0,5,235,133,80,288,0.612666667,738,662,3.14,8.46,134,671,20.05666667,138,681,79.64666667,28,10,7.3,7.333333333,7950,9.266666667,7002,0.905333333,20
Washington Capitals,0,1,397,249,109,537,0.6756,1275,1066,3.216,13.48,258,1195,21.526,232,1299,82.156,22,30,9.42,8.98,12082,10.58,11895,0.9102,23
Winnipeg Jets,1,24,399,211,152,458,0.5736,1214,1151,3.042,14.41,254,1250,20.324,264,1255,78.872,45,30,9.32,9.2,12297,9.84,12638,0.9088,24
