Team,Goon,Rk,GP,W,L,PTS,PTS%,GF,GA,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO
Boston Bruins,1,6,376,171,156,391,0.5262,1101,1071,2.946,14.17,287,1611,18.06,224,1422,84.56,39,29,14.66,16.24,11408,9.6,10190,0.895,29
Buffalo Sabres,0,11,376,168,148,396,0.527,1032,951,2.74,12.63,264,1804,14.82,285,1857,84.734,60,42,22.08,21.82,10021,10.28,12118,0.9216,35
Calgary Flames,1,7,376,146,176,346,0.4696,1046,1100,2.834,14.57,265,1671,16.028,322,1812,82.434,59,50,20.12,19.18,11102,9.58,10657,0.8972,17
Carolina Hurricanes,0,17,164,67,71,160,0.4875,410,421,2.5,5.13,92,760,12.11,109,737,85.215,13,16,15.8,16.85,4319,9.5,4665,0.9095,12
Chicago Blackhawks,0,8,376,157,162,371,0.4982,1046,992,2.82,13.09,257,1570,16.982,298,1836,83.792,46,34,21.58,19.2,10597,9.96,10539,0.9058,27
Colorado Avalanche,1,2,328,179,103,404,0.61575,1073,855,3.2725,10.43,314,1608,19.5475,229,1573,85.54,50,58,18.8,19.075,9851,10.85,9547,0.91025,20
Dallas Stars,0,19,376,191,132,435,0.5668,1093,948,2.9,12.72,303,1783,16.866,252,1614,84.554,40,49,17.64,19.24,10896,9.96,9826,0.9046,28
Detroit Red Wings,0,1,376,220,105,491,0.6592,1253,893,3.368,11.9,349,1834,19.434,214,1658,87.03,54,38,17.56,18.9,12098,10.46,9596,0.9066,30
Edmonton Oilers,0,22,376,151,182,345,0.4538,1073,1184,2.85,16.02,327,2038,16.09,324,1768,81.374,45,54,19.74,22.36,11153,9.6,11054,0.8914,21
Florida Panthers,0,15,376,150,158,368,0.4886,1003,1046,2.648,13.85,266,1831,14.288,294,1680,82.662,39,62,18.44,20.1,10527,9.54,10729,0.903,20
Hartford Whalers,0,17,212,85,102,195,0.458333333,590,656,2.766666667,9.22,155,867,17.77333333,171,946,81.76333333,23,26,19.83333333,18.56666667,6356,9.233333333,6817,0.903666667,10
Los Angeles Kings,1,20,376,138,184,330,0.4378,1028,1191,2.752,16.03,248,1632,15.286,269,1683,83.858,44,63,19.1,18.82,10912,9.44,12289,0.903,17
Mighty Ducks of Anaheim,3,23,376,148,176,348,0.4562,1024,1111,2.712,14.96,268,1731,15.196,322,1735,80.874,38,41,18.9,18.58,10546,9.66,12001,0.9064,23
Montreal Canadiens,0,16,376,158,162,372,0.4908,1058,1089,2.796,14.56,276,1630,16.766,282,1665,82.824,47,43,18.3,17.32,10759,9.76,11310,0.9038,18
Nashville Predators,0,24,82,28,47,63,0.384,190,261,2.32,3.18,40,324,12.35,75,357,78.99,7,10,17.1,16.1,2218,8.6,2709,0.904,2
New Jersey Devils,1,10,376,199,121,454,0.5984,1055,867,2.806,11.61,240,1457,16.182,193,1337,85.242,29,35,16.48,16.9,11639,9.12,9519,0.9084,38
New York Islanders,1,25,376,120,208,288,0.3816,1001,1192,2.662,15.9,261,1602,16.194,303,1693,81.892,45,58,18.4,18.06,10131,9.84,11245,0.894,22
New York Rangers,0,14,376,159,161,374,0.4968,1083,1060,2.884,14.09,321,1615,19.964,295,1763,83.394,33,41,17.68,17.04,10888,9.88,11099,0.9034,17
Ottawa Senators,1,26,376,136,185,327,0.4188,966,1078,2.558,14.65,247,1753,14.216,261,1459,82.154,28,54,14.2,16.88,10752,9,10289,0.8954,22
Philadelphia Flyers,1,5,376,197,119,454,0.6054,1179,946,3.136,12.68,311,1768,17.708,252,1687,84.608,36,40,18.34,19.36,11290,10.54,9480,0.9,27
Phoenix Coyotes,1,12,246,112,103,255,0.518333333,669,667,2.72,8.13,163,1085,14.98,158,1090,85.60666667,27,25,18.5,17.96666667,7133,9.366666667,6991,0.904666667,22
Pittsburgh Penguins,0,4,376,194,135,435,0.5832,1298,1135,3.478,15.19,357,1750,20.23,290,1674,82.426,58,58,17.16,17.78,10724,12.1,11561,0.9018,26
Quebec Nordiques,0,2,48,30,13,65,0.677,185,134,3.85,2.79,45,186,24.19,38,203,81.28,9,3,16,15.4,1448,12.8,1455,0.908,3
San Jose Sharks,4,18,376,131,198,309,0.4134,998,1203,2.656,16.05,243,1736,13.806,318,1819,82.374,48,45,18.9,17.86,9967,10.14,10867,0.8908,21
St. Louis Blues,0,3,376,178,145,409,0.5514,1126,1035,3.054,13.78,283,1664,17.058,279,1801,84.238,46,26,18.6,17.56,11046,10.44,9892,0.8956,18
Tampa Bay Lightning,1,24,376,123,209,290,0.3856,905,1200,2.414,15.87,231,1580,14.382,295,1802,83.706,47,53,19.92,17.24,10630,8.54,11128,0.8922,20
Toronto Maple Leafs,0,12,376,160,172,364,0.4872,1074,1139,2.852,15.15,262,1691,15.462,271,1613,83.274,39,41,16.72,17.92,11186,9.56,11677,0.9024,13
Vancouver Canucks,1,13,376,133,183,326,0.4392,1104,1230,2.956,16.28,272,1684,16.424,337,1880,82.138,73,52,21.6,20.46,10389,10.54,11261,0.8914,17
Washington Capitals,1,9,376,165,165,376,0.5036,1003,975,2.68,12.93,266,1602,16.874,249,1674,85.11,55,30,18.7,17.64,10828,9.3,9831,0.9004,27
Winnipeg Jets,0,21,130,52,65,117,0.441,432,468,3.31,7.24,124,636,19.42,128,665,81.255,17,18,21.5,19.4,3838,11.2,4308,0.89,2
