Rk,Team,GP,W,L,T,PTS,PTS%,GF,GA,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO
1,Boston Bruins,80,46,25,9,101,0.631,289,232,0.64,-0.08,3.61,2.9,83,352,23.58,53,316,83.23,5,3,18.2,19.8,2611,11.1,2147,0.892,5
2,Calgary Flames,80,42,23,15,99,0.619,348,265,1,-0.04,4.35,3.31,99,357,27.73,76,366,79.23,11,6,21.9,20.3,2748,12.7,2027,0.869,2
3,Buffalo Sabres,80,45,27,8,98,0.613,286,248,0.42,-0.05,3.58,3.1,79,358,22.07,58,351,83.48,7,7,18.1,19,2416,11.8,2524,0.902,1
4,Montreal Canadiens,80,41,28,11,93,0.581,288,234,0.6,-0.07,3.6,2.93,54,340,15.88,57,295,80.68,4,7,19.9,20.7,2488,11.6,2300,0.898,4
5,Edmonton Oilers,80,38,28,14,90,0.563,315,283,0.42,0.02,3.94,3.54,84,407,20.64,82,417,80.34,22,6,25.6,25.7,2252,14,2325,0.878,2
6,Chicago Blackhawks,80,41,33,6,88,0.55,316,294,0.23,-0.05,3.95,3.68,80,349,22.92,75,379,80.21,11,9,30.3,29.9,2640,12,2188,0.866,2
7,Winnipeg Jets,80,37,32,11,85,0.531,298,290,0.15,0.05,3.73,3.63,65,347,18.73,57,333,82.88,14,7,20.5,20.3,2430,12.3,2378,0.878,2
8,Hartford Whalers,80,38,33,9,85,0.531,275,268,0.07,-0.02,3.44,3.35,80,398,20.1,74,401,81.55,12,10,26.3,27.4,2264,12.1,2131,0.874,4
9,New York Rangers,80,36,31,13,85,0.531,279,267,0.12,-0.03,3.49,3.34,103,442,23.3,77,362,78.73,7,8,25.3,29.4,2385,11.7,2403,0.889,1
10,New Jersey Devils,80,37,34,9,83,0.519,295,288,0.06,-0.03,3.69,3.6,64,337,18.99,67,340,80.29,10,12,20.7,20.3,2464,12,2457,0.883,0
11,St. Louis Blues,80,37,34,9,83,0.519,295,279,0.16,-0.04,3.69,3.49,79,351,22.51,67,351,80.91,9,12,22.6,22,2333,12.6,2360,0.882,2
12,Toronto Maple Leafs,80,38,38,4,80,0.5,337,358,-0.26,0,4.21,4.48,81,348,23.28,89,408,78.19,16,17,30.2,29.8,2435,13.8,2798,0.872,0
13,Washington Capitals,80,36,38,6,78,0.488,284,275,0.08,-0.03,3.55,3.44,70,412,16.99,71,370,80.81,9,15,27.6,29.6,2421,11.7,2324,0.882,3
14,Minnesota North Stars,80,36,40,4,76,0.475,284,291,-0.1,-0.02,3.55,3.64,81,386,20.98,74,397,81.36,14,16,25.5,25.6,2571,11,2426,0.88,3
15,Los Angeles Kings,80,34,39,7,75,0.469,338,337,0.07,0.06,4.23,4.21,76,343,22.16,88,366,75.96,11,14,23.1,22.4,2371,14.3,2483,0.864,2
16,New York Islanders,80,31,38,11,73,0.456,281,288,-0.1,-0.01,3.51,3.6,78,330,23.64,87,371,76.55,10,8,22.2,21.2,2359,11.9,2682,0.893,5
17,Pittsburgh Penguins,80,32,40,8,72,0.45,318,359,-0.49,0.02,3.98,4.49,86,403,21.34,94,372,74.73,7,21,26.7,26.5,2320,13.7,2684,0.866,1
18,Philadelphia Flyers,80,30,39,11,71,0.444,290,297,-0.1,-0.01,3.63,3.71,65,338,19.23,77,406,81.03,14,13,25.8,22.9,2468,11.8,2543,0.883,1
19,Detroit Red Wings,80,28,38,14,70,0.438,288,323,-0.42,0.02,3.6,4.04,58,354,16.38,92,372,75.27,18,13,26.8,24.6,2262,12.7,2485,0.87,1
20,Vancouver Canucks,80,25,41,14,64,0.4,245,306,-0.64,0.13,3.06,3.83,64,374,17.11,86,342,74.85,8,8,20.6,23,2307,10.6,2427,0.874,0
21,Quebec Nordiques,80,12,61,7,31,0.194,240,407,-1.91,0.18,3,5.09,70,371,18.87,98,382,74.35,8,15,26.3,23.7,2301,10.4,2754,0.852,0
