Rk,Team,GP,W,L,T,PTS,PTS%,GF,GA,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO
1,Detroit Red Wings,48,33,11,4,70,0.729,180,117,1.24,-0.08,3.75,2.44,52,215,24.19,28,206,86.41,5,7,19.2,19.9,1571,11.5,1206,0.903,2
2,Quebec Nordiques,48,30,13,5,65,0.677,185,134,1.01,-0.06,3.85,2.79,45,186,24.19,38,203,81.28,9,3,16,15.4,1448,12.8,1455,0.908,3
3,St. Louis Blues,48,28,15,5,61,0.635,178,135,0.84,-0.06,3.71,2.81,36,220,16.36,46,233,80.26,7,2,22.1,21.4,1411,12.6,1356,0.9,1
4,Pittsburgh Penguins,48,29,16,3,61,0.635,181,158,0.44,-0.04,3.77,3.29,42,221,19,46,229,79.91,8,4,21.4,21,1400,12.9,1578,0.9,0
5,Philadelphia Flyers,48,28,16,4,60,0.625,150,132,0.36,-0.01,3.13,2.75,40,204,19.61,37,193,80.83,2,9,15.3,17.7,1314,11.4,1289,0.898,2
6,Boston Bruins,48,27,18,3,57,0.594,150,127,0.46,-0.02,3.13,2.65,46,211,21.8,24,183,86.89,3,4,16.4,18.9,1651,9.1,1168,0.891,4
7,Calgary Flames,48,24,17,7,55,0.573,163,135,0.49,-0.09,3.4,2.81,39,211,18.48,37,249,85.14,7,3,25.6,24.6,1451,11.2,1408,0.904,3
8,Chicago Blackhawks,48,24,19,5,53,0.552,156,115,0.8,-0.05,3.25,2.4,52,212,24.53,36,228,84.21,7,3,23.2,21.6,1443,10.8,1195,0.904,5
9,Washington Capitals,48,22,18,8,52,0.542,136,120,0.33,-0.01,2.83,2.5,45,226,19.91,34,220,84.55,13,2,23.5,21.1,1386,9.8,1192,0.899,4
10,New Jersey Devils,48,22,18,8,52,0.542,136,121,0.3,-0.01,2.83,2.52,22,164,13.41,28,149,81.21,3,3,16.1,17.1,1444,9.4,1218,0.901,3
11,Buffalo Sabres,48,22,19,7,51,0.531,130,119,0.2,-0.03,2.71,2.48,45,242,18.6,32,220,85.45,13,7,21.2,22.5,1276,10.2,1458,0.918,5
12,Toronto Maple Leafs,48,21,19,8,50,0.521,135,146,-0.19,0.04,2.81,3.04,37,218,16.97,28,185,84.86,5,5,15.3,18.8,1520,8.9,1532,0.905,0
13,Vancouver Canucks,48,18,18,12,48,0.5,153,148,0.06,-0.04,3.19,3.08,47,238,19.75,39,236,83.47,7,10,22.6,23.6,1579,9.7,1421,0.896,1
14,New York Rangers,48,22,23,3,47,0.49,139,134,0.1,-0.01,2.9,2.79,40,200,20,34,211,83.89,5,3,16.2,16.1,1529,9.1,1263,0.894,3
15,Florida Panthers,48,20,22,6,46,0.479,115,127,-0.26,-0.01,2.4,2.65,29,222,13.06,32,191,83.25,1,6,15.9,17.9,1191,9.7,1366,0.907,6
16,Montreal Canadiens,48,18,23,7,43,0.448,125,148,-0.42,0.06,2.6,3.08,28,172,16.28,37,191,80.63,1,3,17.3,15.3,1376,9.1,1532,0.903,1
17,Hartford Whalers,48,19,24,5,43,0.448,127,141,-0.27,0.02,2.65,2.94,30,174,17.24,37,185,80,3,6,19,17.8,1428,8.9,1474,0.904,0
18,San Jose Sharks,48,19,25,4,42,0.438,129,161,-0.66,0.01,2.69,3.35,24,203,11.82,39,208,81.25,6,5,17.1,15.3,1152,11.2,1517,0.894,5
19,Dallas Stars,48,17,23,8,42,0.438,136,135,0.07,0.05,2.83,2.81,39,248,15.73,34,218,84.4,4,7,23.1,23.1,1520,8.9,1388,0.903,4
20,Los Angeles Kings,48,16,23,9,41,0.427,142,174,-0.65,0.02,2.96,3.63,35,200,17.5,42,221,81,5,8,20,17.9,1443,9.8,1668,0.896,0
21,Winnipeg Jets,48,16,25,7,39,0.406,157,177,-0.33,0.08,3.27,3.69,42,219,19.18,40,235,82.98,7,6,23.4,21,1428,11,1545,0.885,0
22,Edmonton Oilers,48,17,27,4,38,0.396,136,183,-0.92,0.06,2.83,3.81,42,259,16.22,52,233,77.68,8,8,24.4,27.7,1427,9.5,1469,0.875,2
23,Mighty Ducks of Anaheim,48,16,27,5,37,0.385,125,164,-0.77,0.05,2.6,3.42,23,202,11.39,47,193,75.65,4,8,15,16.1,1346,9.3,1586,0.897,2
24,Tampa Bay Lightning,48,17,28,3,37,0.385,120,144,-0.49,0.01,2.5,3,25,177,14.12,32,205,84.39,6,5,21.5,17.5,1280,9.4,1325,0.891,2
25,New York Islanders,48,15,28,5,35,0.365,126,158,-0.63,0.04,2.63,3.29,28,178,15.73,46,213,78.4,4,11,18.7,18.7,1357,9.3,1448,0.891,1
26,Ottawa Senators,48,9,34,5,23,0.24,117,174,-1.12,0.07,2.44,3.63,31,215,14.42,39,199,80.4,1,6,15.4,16.8,1247,9.4,1561,0.889,1
