Rk,Team,GP,W,L,T,PTS,PTS%,GF,GA,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO
1,Colorado Avalanche,82,49,24,9,107,0.652,277,205,0.81,-0.07,3.38,2.5,83,403,20.6,42,339,87.61,14,12,16.3,19,2619,10.6,2477,0.917,8
2,New Jersey Devils,82,45,23,14,104,0.634,231,182,0.57,-0.03,2.82,2.22,40,288,13.89,28,235,88.09,4,9,13.8,15.7,2593,8.9,2160,0.916,13
3,Dallas Stars,82,48,26,8,104,0.634,252,198,0.64,-0.02,3.07,2.41,46,314,14.65,51,308,83.44,11,9,16,18,2439,10.3,2078,0.905,6
4,Philadelphia Flyers,82,45,24,13,103,0.628,274,217,0.67,-0.03,3.34,2.65,53,362,14.64,49,342,85.67,11,8,20.6,21.4,2644,10.4,2107,0.897,7
5,Detroit Red Wings,82,38,26,18,94,0.573,253,197,0.66,-0.03,3.09,2.4,66,368,17.93,46,346,86.71,10,8,19.1,19.8,2726,9.3,2075,0.905,7
6,Buffalo Sabres,82,40,30,12,92,0.561,237,208,0.31,-0.04,2.89,2.54,43,326,13.19,59,364,83.79,16,4,22.3,22.1,2090,11.3,2728,0.924,5
7,Florida Panthers,82,35,28,19,89,0.543,221,201,0.25,0,2.7,2.45,50,352,14.2,50,346,85.55,5,17,19.6,21.6,2387,9.3,2360,0.915,2
8,New York Rangers,82,38,34,10,86,0.524,258,231,0.33,0.01,3.15,2.82,63,287,21.95,69,344,79.94,15,5,17.9,17.2,2528,10.2,2588,0.911,5
9,Mighty Ducks of Anaheim,82,36,33,13,85,0.518,245,233,0.12,-0.03,2.99,2.84,56,333,16.82,62,336,81.55,9,11,20.6,19,2331,10.5,2688,0.913,6
10,Pittsburgh Penguins,82,38,36,8,84,0.512,285,280,0.04,-0.02,3.48,3.41,74,339,21.83,64,338,81.07,11,12,18.1,17,2414,11.8,2812,0.9,5
11,St. Louis Blues,82,36,35,11,83,0.506,236,239,-0.03,0.01,2.88,2.91,50,327,15.29,55,332,83.43,9,8,16,15.2,2415,9.8,2245,0.894,3
12,Phoenix Coyotes,82,38,37,7,83,0.506,240,243,-0.02,0.02,2.93,2.96,65,359,18.11,47,334,85.93,9,14,19.1,18.7,2467,9.7,2520,0.904,8
13,Edmonton Oilers,82,36,37,9,81,0.494,252,247,0.03,-0.03,3.07,3.01,73,406,17.98,59,338,82.54,9,13,16.5,20.5,2521,10,2556,0.903,7
14,Chicago Blackhawks,82,34,35,13,81,0.494,223,210,0.18,0.02,2.72,2.56,45,304,14.8,59,374,84.22,5,9,21.3,17.5,2491,9,2415,0.913,3
15,Ottawa Senators,82,31,36,15,77,0.47,226,234,-0.11,-0.02,2.76,2.85,56,336,16.67,48,265,81.89,9,12,13.1,16.6,2397,9.4,2117,0.889,4
16,Vancouver Canucks,82,35,40,7,77,0.47,257,273,-0.2,-0.01,3.13,3.33,51,303,16.83,66,344,80.81,12,8,19.3,17.7,2301,11.2,2476,0.89,3
17,Montreal Canadiens,82,31,36,15,77,0.47,249,276,-0.34,-0.01,3.04,3.37,53,337,15.73,71,347,79.54,10,11,17.7,17.4,2474,10.1,2780,0.901,1
18,Hartford Whalers,82,32,39,11,75,0.457,226,256,-0.37,0,2.76,3.12,58,321,18.07,51,332,84.64,12,11,18.2,17.9,2435,9.3,2583,0.901,4
19,Washington Capitals,82,33,40,9,75,0.457,214,231,-0.17,0.04,2.61,2.82,51,322,15.84,54,354,84.75,8,10,19.8,18.6,2370,9,2163,0.893,3
20,Tampa Bay Lightning,82,32,40,10,74,0.451,217,247,-0.33,0.04,2.65,3.01,47,340,13.82,55,361,84.76,13,9,20.4,18.1,2574,8.4,2365,0.896,6
21,Calgary Flames,82,32,41,9,73,0.445,214,239,-0.29,0.02,2.61,2.91,61,361,16.9,58,345,83.19,11,19,17.4,17.6,2571,8.3,2337,0.898,6
22,New York Islanders,82,29,41,12,70,0.427,240,250,-0.1,0.02,2.93,3.05,48,346,13.87,53,319,83.39,14,9,19.8,21.1,2188,11,2481,0.899,5
23,Toronto Maple Leafs,82,30,44,8,68,0.415,230,273,-0.48,0.05,2.8,3.33,48,309,15.53,59,328,82.01,11,8,16.1,15.3,2401,9.6,2823,0.903,2
24,Los Angeles Kings,82,28,43,11,67,0.409,214,268,-0.62,0.04,2.61,3.27,46,338,13.61,45,352,87.22,5,14,19.9,20.2,2379,9,2779,0.904,4
25,San Jose Sharks,82,27,47,8,62,0.378,211,278,-0.78,0.03,2.57,3.39,50,349,14.33,66,409,83.86,9,11,25.4,21,2360,8.9,2398,0.884,1
26,Boston Bruins,82,26,47,9,61,0.372,234,300,-0.78,0.02,2.85,3.66,46,310,14.84,56,308,81.82,15,6,16.6,17.1,2427,9.6,2431,0.877,3
