Rk,Team,GP,W,L,T,PTS,PTS%,GF,GA,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO
1,New York Rangers,84,52,24,8,112,0.667,299,231,0.81,0,3.56,2.75,96,417,23.02,67,435,84.6,20,5,19.9,18.6,2871,10.4,2328,0.901,7
2,New Jersey Devils,84,47,25,12,106,0.631,306,220,1.01,-0.02,3.64,2.62,61,333,18.32,71,376,81.12,10,8,20.5,20,2657,11.5,2437,0.91,5
3,Pittsburgh Penguins,84,44,27,13,101,0.601,299,285,0.17,0,3.56,3.39,76,404,18.81,72,401,82.04,6,11,19.1,17.8,2731,10.9,2676,0.893,3
4,Detroit Red Wings,84,46,30,8,100,0.595,356,275,0.89,-0.08,4.24,3.27,85,408,20.83,73,383,80.94,22,14,20.9,21.8,2990,11.9,2303,0.881,4
5,Toronto Maple Leafs,84,43,29,12,98,0.583,280,243,0.41,-0.03,3.33,2.89,88,459,19.17,74,409,81.91,8,9,22.3,24.4,2530,11.1,2554,0.905,3
6,Calgary Flames,84,42,29,13,97,0.577,302,256,0.48,-0.07,3.6,3.05,87,410,21.22,90,465,80.65,16,9,21.8,20.8,2640,11.4,2311,0.889,5
7,Boston Bruins,84,42,29,13,97,0.577,289,252,0.41,-0.03,3.44,3,84,387,21.71,58,378,84.66,17,9,17,18.5,2980,9.7,2113,0.881,5
8,Dallas Stars,84,42,29,13,97,0.577,286,265,0.2,-0.05,3.4,3.15,81,440,18.41,68,428,84.11,8,16,22.6,23.8,2558,11.2,2589,0.898,5
9,Montreal Canadiens,84,41,29,14,96,0.571,283,248,0.39,-0.03,3.37,2.95,78,388,20.1,68,390,82.56,8,10,18,20,2621,10.8,2532,0.902,7
10,Buffalo Sabres,84,43,32,9,95,0.565,282,218,0.72,-0.04,3.36,2.6,96,424,22.64,58,380,84.74,21,8,20.8,21,2369,11.9,2462,0.911,9
11,St. Louis Blues,84,40,33,11,91,0.542,270,283,-0.16,0,3.21,3.37,86,420,20.48,73,388,81.19,17,14,19.5,19.8,2570,10.5,2946,0.904,1
12,Washington Capitals,84,39,35,10,88,0.524,277,263,0.2,0.03,3.3,3.13,70,386,18.13,74,403,81.64,8,12,23.6,22.8,2606,10.6,2172,0.879,4
13,Chicago Blackhawks,84,39,36,9,87,0.518,254,240,0.15,-0.02,3.02,2.86,67,383,17.49,71,427,83.37,15,10,25,24.1,2545,10,2458,0.902,7
14,Vancouver Canucks,84,41,40,3,85,0.506,279,276,0.01,-0.03,3.32,3.29,83,441,18.82,84,458,81.66,14,11,22.7,21.1,2625,10.6,2285,0.879,3
15,New York Islanders,84,36,36,12,84,0.5,282,264,0.25,0.03,3.36,3.14,74,369,20.05,79,417,81.06,15,9,21.2,20.5,2511,11.2,2561,0.897,5
16,Florida Panthers,84,33,34,17,83,0.494,233,233,0.02,0.02,2.77,2.77,65,409,15.89,69,396,82.58,8,15,19.2,18.7,2291,10.2,2808,0.917,2
17,San Jose Sharks,84,33,35,16,82,0.488,252,265,-0.17,-0.02,3,3.15,68,424,16.04,77,360,78.61,6,13,15.7,18,2101,12,2389,0.889,3
18,Philadelphia Flyers,84,35,39,10,80,0.476,294,314,-0.19,0.05,3.5,3.74,80,385,20.78,80,414,80.68,9,14,19.9,18.7,2409,12.2,2663,0.882,3
19,Quebec Nordiques,84,34,42,8,76,0.452,277,292,-0.16,0.02,3.3,3.48,67,430,15.58,87,426,79.58,10,18,19.1,19.6,2405,11.5,2572,0.886,2
20,Mighty Ducks of Anaheim,84,33,46,5,71,0.423,229,251,-0.27,-0.01,2.73,2.99,54,376,14.36,67,388,82.73,9,13,17.7,17.8,2402,9.5,2616,0.904,3
21,Tampa Bay Lightning,84,30,43,11,71,0.423,224,251,-0.26,0.06,2.67,2.99,57,388,14.69,58,335,82.69,7,20,18.7,19.6,2503,8.9,2296,0.891,5
22,Los Angeles Kings,84,27,45,12,66,0.393,294,322,-0.34,-0.01,3.5,3.83,92,444,20.72,90,462,80.52,19,8,23.8,22.8,2769,10.6,3046,0.894,2
23,Edmonton Oilers,84,25,45,14,64,0.381,261,305,-0.52,0,3.11,3.63,74,402,18.41,78,401,80.55,2,9,22,21.7,2549,10.2,2891,0.895,1
24,Hartford Whalers,84,27,48,9,63,0.375,227,288,-0.68,0.04,2.7,3.43,61,408,14.95,88,416,78.85,8,9,21.3,22,2319,9.8,2588,0.889,3
25,Winnipeg Jets,84,24,51,9,57,0.339,245,344,-1.13,0.05,2.92,4.1,82,423,19.39,91,445,79.55,13,17,25.4,23.4,2470,9.9,2798,0.877,2
26,Ottawa Senators,84,14,61,9,37,0.22,201,397,-2.22,0.12,2.39,4.73,63,435,14.48,110,412,73.3,9,14,20.1,20.5,2148,9.4,2776,0.857,0
