Rk,Team,GP,W,L,T,PTS,PTS%,GF,GA,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO
1,Chicago Blackhawks,80,49,23,8,106,0.663,284,211,0.85,-0.06,3.55,2.64,87,393,22.14,68,425,84,20,10,30.2,28.4,2564,11.1,2214,0.905,4
2,St. Louis Blues,80,47,22,11,105,0.656,310,250,0.7,-0.05,3.88,3.13,70,348,20.11,55,339,83.78,10,18,24.8,25.6,2550,12.2,2345,0.893,3
3,Los Angeles Kings,80,46,24,10,102,0.638,340,254,1.04,-0.04,4.25,3.18,80,391,20.46,63,370,82.97,8,18,27.9,31,2410,14.1,2412,0.895,4
4,Boston Bruins,80,44,24,12,100,0.625,299,264,0.32,-0.12,3.74,3.3,74,351,21.08,64,368,82.61,11,8,21.2,23.5,2512,11.9,2240,0.882,5
5,Calgary Flames,80,46,26,8,100,0.625,344,263,0.98,-0.03,4.3,3.29,91,384,23.7,77,420,81.67,17,8,27.5,26.2,2604,13.2,2200,0.88,1
6,Montreal Canadiens,80,39,30,11,89,0.556,273,249,0.2,-0.1,3.41,3.11,66,357,18.49,54,282,80.85,6,10,17.8,19.9,2385,11.4,2316,0.892,2
7,Pittsburgh Penguins,80,41,33,6,88,0.55,342,305,0.42,-0.04,4.28,3.81,89,388,22.94,73,351,79.2,12,12,20.5,21.5,2416,14.2,2723,0.888,1
8,New York Rangers,80,36,31,13,85,0.531,297,265,0.36,-0.04,3.71,3.31,91,389,23.39,73,362,79.83,9,10,23.7,24.3,2444,12.2,2550,0.896,3
9,Buffalo Sabres,80,31,30,19,81,0.506,292,278,0.08,-0.09,3.65,3.48,73,400,18.25,62,368,83.15,15,8,21.6,22.3,2410,12.1,2432,0.886,3
10,Washington Capitals,80,37,36,7,81,0.506,258,258,0,0,3.23,3.23,64,340,18.82,44,314,85.99,13,15,23,25.4,2370,10.9,2112,0.878,5
11,Edmonton Oilers,80,37,37,6,80,0.5,272,272,0.06,0.06,3.4,3.4,63,361,17.45,80,388,79.38,13,4,22.8,21.4,2207,12.3,2428,0.888,1
12,New Jersey Devils,80,32,33,15,79,0.494,272,264,0.09,-0.01,3.4,3.3,69,347,19.88,80,394,79.7,8,13,25.3,23.1,2495,10.9,2236,0.882,1
13,Philadelphia Flyers,80,33,37,10,76,0.475,252,267,-0.18,0.01,3.15,3.34,68,338,20.12,72,376,80.85,2,16,24.3,23.6,2284,11,2294,0.884,1
14,Detroit Red Wings,80,34,38,8,76,0.475,273,298,-0.27,0.05,3.41,3.73,57,347,16.43,89,399,77.69,17,5,24.3,22.2,2310,11.8,2353,0.873,2
15,Hartford Whalers,80,31,38,11,73,0.456,238,276,-0.51,-0.03,2.98,3.45,73,403,18.11,72,369,80.49,5,9,27.6,27.3,2313,10.3,2161,0.872,2
16,Minnesota North Stars,80,27,39,14,68,0.425,256,266,-0.1,0.03,3.2,3.33,76,382,19.9,75,378,80.16,9,7,24.6,23.4,2565,10,2266,0.883,5
17,Vancouver Canucks,80,28,43,9,65,0.406,243,315,-0.76,0.14,3.04,3.94,65,391,16.62,76,339,77.58,10,16,25.8,26.8,2398,10.1,2371,0.867,1
18,Winnipeg Jets,80,26,43,11,63,0.394,260,288,-0.26,0.09,3.25,3.6,74,381,19.42,57,351,83.76,8,12,20.9,21.8,2304,11.3,2498,0.885,5
19,New York Islanders,80,25,45,10,60,0.375,223,290,-0.77,0.06,2.79,3.63,51,317,16.09,78,353,77.9,9,12,21.5,20.3,2168,10.3,2495,0.884,0
20,Toronto Maple Leafs,80,23,46,11,57,0.356,241,318,-0.86,0.11,3.01,3.98,61,346,17.63,83,368,77.45,16,6,24.5,23.7,2343,10.3,2573,0.876,2
21,Quebec Nordiques,80,16,50,14,46,0.288,236,354,-1.42,0.06,2.95,4.43,51,328,15.55,98,368,73.37,10,11,21.7,20.1,2030,11.6,2863,0.876,0
