Id,Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%
orrco01,547,Colton Orr,25.0,TOR,RW,65.2,1.6,1.8,3.4,-6.6,157.6,-0.4,1.6,0.0,0.0,0.6,1.8,0.0,0.0,26.2,4.9399999999999995
simpsto01,701,Todd Simpson,32.0,TOT,D,51.0,0.0,3.0,3.0,-2.0,130.0,0.9,0.0,0.0,0.0,0.0,3.0,0.0,0.0,31.0,0.0
godarer01,241,Eric Godard,27.0,PIT,RW,53.2,1.2,1.6,2.8,-2.2,116.6,-0.07999999999999999,1.2,0.0,0.0,0.2,1.6,0.0,0.0,14.2,6.959999999999999
ivanara01,315,Raitis Ivanans,29.0,LAK,LW,56.0,2.4,1.2,3.6,-7.8,112.8,-0.32,2.4,0.0,0.0,0.4,1.2,0.0,0.0,25.6,7.825
boogade01,64,Derek Boogaard,25.0,MIN,LW,51.0,0.4,2.4,2.8,-2.4,108.8,-0.13999999999999999,0.4,0.0,0.0,0.2,2.4,0.0,0.0,14.2,2.66
janssca01,324,Cam Janssen,23.0,STL,RW,41.2,0.4,0.8,1.2,-2.8,108.8,-0.26,0.4,0.0,0.0,0.0,0.8,0.0,0.0,12.2,3.12
royan01,649,Andre Roy,31.5,CGY,LW,51.25,2.5,1.5,4.0,-2.25,108.75,0.125,2.5,0.0,0.0,0.5,1.5,0.0,0.0,22.5,11.725
wiemeja01,838,Jason Wiemer,29.0,TOT,LW,49.0,2.0,2.0,4.0,-4.0,103.0,-0.1,2.0,0.0,0.0,0.0,2.0,0.0,0.0,37.0,5.4
coteri01,141,Riley Cote,25.5,PHI,LW,39.0,0.25,1.5,1.75,-1.25,102.75,-0.15,0.25,0.0,0.0,0.0,1.25,0.25,0.0,12.75,1.475
brownmi02,92,Mike Brown,23.0,ANA,RW,47.333333333333336,3.0,1.0,4.0,-2.6666666666666665,102.0,-0.06666666666666667,2.6666666666666665,0.0,0.3333333333333333,1.3333333333333333,1.0,0.0,0.0,45.0,7.633333333333333
peteran01,573,Andrew Peters,27.0,NJD,LW,37.4,0.4,0.6,1.0,-2.8,99.8,-0.22000000000000003,0.4,0.0,0.0,0.0,0.6,0.0,0.0,13.6,2.1799999999999997
kocida01,361,David Koci,26.5,COL,D,26.75,0.5,0.25,0.75,-2.0,95.25,-0.1,0.5,0.0,0.0,0.0,0.25,0.0,0.0,6.0,6.1
staubbr01,751,Brad Staubitz,24.5,SJS,RW,41.0,2.0,2.5,4.5,0.0,93.0,0.25,2.0,0.0,0.0,1.0,2.0,0.5,0.0,23.0,8.5
hollwry01,296,Ryan Hollweg,23.5,TOR,LW,56.25,1.25,2.25,3.5,-8.25,87.25,-0.6000000000000001,1.25,0.0,0.0,0.0,2.25,0.0,0.0,41.5,2.825
belakwa01,42,Wade Belak,31.0,NSH,D,51.8,0.2,2.0,2.2,-4.8,86.8,-0.08,0.2,0.0,0.0,0.0,2.0,0.0,0.0,15.2,1.1800000000000002
mcgrabr01,472,Brian McGrattan,26.0,CGY,RW,36.4,0.6,2.2,2.8,0.0,79.0,0.1,0.6,0.0,0.0,0.0,2.2,0.0,0.0,18.0,2.1799999999999997
konopze01,372,Zenon Konopka,27.0,TBL,C,22.6,1.2,1.4,2.6,-3.6,75.4,-0.039999999999999994,0.8,0.4,0.0,0.2,0.8,0.6,0.0,14.2,5.42
marchbr02,449,Bryan Marchment,36.0,CGY,D,37.0,1.0,2.0,3.0,8.0,75.0,1.8,1.0,0.0,0.0,0.0,2.0,0.0,0.0,16.0,6.3
grattjo01,250,Josh Gratton,24.5,PHI,LW,21.5,0.75,0.75,1.5,-3.25,73.5,-0.15,0.75,0.0,0.0,0.0,0.75,0.0,0.0,15.0,5.466666666666666
reichje01,625,Jeremy Reich,27.5,BOS,LW,45.0,1.0,1.5,2.5,-7.5,70.5,-0.55,1.0,0.0,0.0,0.5,1.0,0.0,0.5,33.0,2.55
valabbo01,780,Boris Valábik,22.0,ATL,D,26.666666666666668,0.0,2.3333333333333335,2.3333333333333335,-4.666666666666667,70.0,0.0666666666666667,0.0,0.0,0.0,0.0,2.3333333333333335,0.0,0.0,14.333333333333334,0.0
bissopa01,49,Paul Bissonnette,23.5,PHX,LW,28.0,1.5,1.5,3.0,-1.5,69.5,0.2,1.5,0.0,0.0,0.5,1.5,0.0,0.0,14.5,6.0
rosehja01,663,Jay Rosehill,24.0,TOR,D,15.0,1.0,1.0,2.0,-2.0,67.0,0.2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,16.7
