Id,Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%
godarer01,274,Eric Godard,30,PIT,RW,19,0,3,3,4,105,0.3,0,0,0,0,3,0,0,1,0
parroge01,597,George Parros,32.5,MTL,RW,46.25,1.25,1.5,2.75,-6,99.5,-0.3,1.25,0,0,0.25,1.5,0,0,17.5,5.325
carknma01,114,Matt Carkner,31.5,NYI,D,38.5,0.5,3.25,3.75,-3,91,0.725,0.5,0,0,0,3,0,0.25,31.5,2.1
gazdilu01,279,Luke Gazdic,24.5,EDM,LW,53.5,2,1.5,3.5,-6,85,-0.2,2,0,0,0,1.5,0,0,28,7.2
barchkr01,27,Krys Barch,31.5,FLA,LW,43,1,2,3,-4,84.25,-0.15,1,0,0,0,2,0,0,15.75,5.2
gillitr01,262,Trevor Gillies,32.5,NYI,LW,21,1,0,1,-2,82.5,0,1,0,0,0,0,0,0,5,11.1
sestito01,711,Tom Sestito,25,VAN,LW,26.6,2,1.6,3.6,-4.4,81.6,0.14,1.6,0.4,0,0.2,1.4,0.2,0,11.4,13.22
scottjo01,699,John Scott,30,SJS,LW,40.6,0.8,0.6,1.4,-2.8,81.2,-1.11E-17,0.8,0,0,0,0.6,0,0,14.8,4.42
kocida01,401,David Koci,29,COL,D,35,1,0,1,-5,80,-0.1,1,0,0,0,0,0,0,9,11.1
orrco01,579,Colton Orr,30,TOR,RW,30,0.8,0.6,1.4,0.2,79.6,-0.06,0.8,0,0,0.2,0.6,0,0,8.4,13.825
lessafr01,445,Francis Lessard,31,OTT,D,24,0,0,0,0,78,0.1,0,0,0,0,0,0,0,6,0
brownmi02,93,Mike Brown,27,SJS,RW,41.4,1.6,2.2,3.8,-4.6,76.4,-0.24,1.4,0.2,0,0,1.8,0,0.4,37.8,3.74
rosehja01,665,Jay Rosehill,26.5,PHI,LW,25.5,1,0.5,1.5,-5.5,71.25,-0.075,1,0,0,0.25,0.5,0,0,12,9.225
boulter01,67,Eric Boulton,36,NYI,LW,33.6,2,1.2,3.2,-3.2,71.2,0.02,2,0,0,0.2,1.2,0,0,22.2,8.7
bickest01,50,Stu Bickel,26.33333333,MIN,D,25.33333333,0,3.333333333,3.333333333,0.333333333,67.66666667,0.633333333,0,0,0,0,3,0,0.333333333,9,0
westgke01,850,Kevin Westgarth,27.5,CAR,RW,40,1.75,2.25,4,-3,64.25,0.15,1.75,0,0,0.25,2.25,0,0,20,8.275
shelljo01,717,Jody Shelley,35,PHI,LW,29.66666667,0.666666667,1,1.666666667,-2,63.66666667,-0.2,0.666666667,0,0,0,1,0,0,16.66666667,3.25
suthebr01,779,Brian Sutherby,28,DAL,C,51,2,2,4,-10,58,-0.4,2,0,0,0,2,0,0,32,6.3
janssca01,357,Cam Janssen,27.5,NJD,RW,32.5,1,1,2,-3,57.5,-0.075,1,0,0,0,1,0,0,11,11.2
pelusan01,571,Anthony Peluso,24,WPG,RW,35.66666667,1,2,3,-2.333333333,55,-0.033333333,1,0,0,0,2,0,0,17,4.2
mcgrabr01,518,Brian McGrattan,31.5,CGY,RW,33.75,1.75,1.5,3.25,-2.75,53.5,0.1,1.75,0,0,0.25,1.5,0,0,29.25,5.45
mclarfr01,503,Frazer McLaren,24.5,TOR,LW,19.75,0.75,0.5,1.25,-0.75,52.5,0.025,0.75,0,0,0.5,0.5,0,0,6.75,3.75
frasema01,243,Mark Fraser,26,NJD,D,30.2,0.2,3,3.2,1,51.8,0.98,0.2,0,0,0,2.8,0,0.2,15.8,2.275
bissopa01,51,Paul Bissonnette,26.5,PHX,LW,36.5,1,3,4,2.5,50.25,0.325,1,0,0,0.25,3,0,0,17.75,5.075
