Id,Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%
burnega01,109,Garrett Burnett,28.0,MDA,LW,39.0,1.0,2.0,3.0,0.0,184.0,0.2,1.0,0.0,0.0,0.0,2.0,0.0,0.0,24.0,4.2
peteran01,607,Andrew Peters,23.0,BUF,LW,42.0,2.0,0.0,2.0,-3.0,151.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,10.5
grimsst01,259,Stu Grimson,35.0,NSH,LW,50.666666666666664,1.6666666666666667,1.6666666666666667,3.3333333333333335,-0.6666666666666666,142.33333333333334,-0.03333333333333333,1.6666666666666667,0.0,0.0,0.3333333333333333,1.6666666666666667,0.0,0.0,15.0,12.866666666666667
belakwa01,43,Wade Belak,25.0,TOR,D,46.2,1.2,2.6,3.8,-2.0,135.8,0.76,1.2,0.0,0.0,0.0,2.6,0.0,0.0,24.4,4.84
rayro01,606,Rob Ray,33.0,OTT,RW,51.0,1.6,2.4,4.0,-1.2,135.6,0.16,1.6,0.0,0.0,0.2,2.4,0.0,0.0,18.0,12.0
verotda01,846,Darcy Verot,27.0,WSH,C,37.0,0.0,2.0,2.0,-6.0,135.0,-0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,11.0,0.0
brookwa01,99,Wade Brookbank,26.0,TOT,D,29.0,2.0,0.0,2.0,-1.0,133.0,0.4,2.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,28.6
doulldo01,181,Doug Doull,29.0,BOS,LW,35.0,0.0,1.0,1.0,2.0,132.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0
chaseke01,118,Kelly Chase,32.0,STL,RW,25.0,0.0,1.0,1.0,-5.0,118.0,-0.4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,0.0
vandery01,769,Ryan VandenBussche,28.0,CHI,RW,50.6,1.4,1.8,3.2,-6.2,114.0,-0.32,1.0,0.4,0.0,0.0,1.6,0.2,0.0,19.4,5.76
hordida01,324,Darcy Hordichuk,21.5,FLA,LW,32.5,1.0,0.5,1.5,-5.0,108.5,-0.25,1.0,0.0,0.0,0.25,0.5,0.0,0.0,12.0,5.9
langdda01,397,Darren Langdon,31.0,MTL,LW,50.2,0.4,1.6,2.0,-1.6,104.0,-0.22000000000000003,0.4,0.0,0.0,0.2,1.6,0.0,0.0,14.4,3.34
blouisy01,67,Sylvain Blouin,27.0,TOT,LW,34.333333333333336,1.0,1.3333333333333333,2.3333333333333335,-6.333333333333333,98.0,-0.3666666666666667,1.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,23.0,2.6999999999999997
sawyeke01,658,Kevin Sawyer,26.5,MDA,LW,25.0,0.75,0.75,1.5,-1.5,93.75,-0.024999999999999994,0.75,0.0,0.0,0.0,0.75,0.0,0.0,11.5,7.199999999999999
henryal01,301,Alex Henry,23.5,MIN,LW,56.0,1.0,2.0,3.0,-0.5,93.0,-0.4,1.0,0.0,0.0,0.0,2.0,0.0,0.0,22.5,2.7
tibbebi01,784,Billy Tibbetts,27.0,NYR,C,27.333333333333332,0.6666666666666666,2.6666666666666665,3.3333333333333335,-6.666666666666667,89.66666666666667,-0.3333333333333333,0.6666666666666666,0.0,0.0,0.3333333333333333,2.6666666666666665,0.0,0.0,23.333333333333332,2.8000000000000003
lessafr01,441,Francis Lessard,23.0,ATL,RW,28.333333333333332,0.3333333333333333,1.0,1.3333333333333333,-1.3333333333333333,89.33333333333333,-0.033333333333333326,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.0,9.333333333333334,1.7666666666666666
mcallch01,465,Chris McAllister,26.0,TOT,LW,43.4,0.4,2.4,2.8,-2.4,85.2,0.36,0.4,0.0,0.0,0.0,2.4,0.0,0.0,20.6,1.22
simpsre01,676,Reid Simpson,32.0,PIT,LW,28.6,1.8,0.6,2.4,-2.2,80.8,0.13999999999999999,1.8,0.0,0.0,0.4,0.6,0.0,0.0,14.2,8.74
bouleje01,74,Jesse Boulerice,24.0,CAR,RW,42.333333333333336,2.6666666666666665,0.6666666666666666,3.3333333333333335,-2.6666666666666665,80.0,0.19999999999999998,2.6666666666666665,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,19.666666666666668,9.9
dwyergo01,195,Gordie Dwyer,24.0,MTL,LW,21.6,0.0,1.0,1.0,-4.0,78.8,-0.24000000000000005,0.0,0.0,0.0,0.0,0.8,0.2,0.0,7.0,0.0
nortobr01,562,Brad Norton,27.0,TOT,D,37.0,1.0,2.3333333333333335,3.3333333333333335,-2.0,78.66666666666667,0.6666666666666666,1.0,0.0,0.0,0.0,2.3333333333333335,0.0,0.0,13.666666666666666,5.266666666666667
berryri01,57,Rick Berry,23.5,WSH,D,49.25,0.5,3.25,3.75,-1.5,78.5,0.975,0.5,0.0,0.0,0.25,3.25,0.0,0.0,35.5,1.25
peatst01,589,Stephen Peat,22.0,WSH,RW,43.0,2.6666666666666665,0.6666666666666666,3.3333333333333335,-4.666666666666667,77.33333333333333,0.06666666666666667,2.6666666666666665,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,13.0,18.766666666666666
allisja01,11,Jamie Allison,26.0,NSH,D,48.4,0.4,2.4,2.8,-5.4,76.4,0.5,0.4,0.0,0.0,0.0,2.4,0.0,0.0,19.6,2.1
bootlda01,73,Darryl Bootland,22.0,DET,RW,22.0,1.0,1.0,2.0,-3.0,74.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,13.0,7.7
