Id,Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%
bollibr01,60,Brandon Bollig,29.0,CGY,LW,54.0,2.0,2.0,4.0,-10.0,103.0,-0.7,2.0,0.0,0.0,0.0,2.0,0.0,0.0,56.0,3.6
brownmi02,87,Mike Brown,30.0,TOT,RW,58.0,2.0,3.0,5.0,-5.0,90.0,-0.2,2.0,0.0,0.0,0.0,3.0,0.0,0.0,51.0,3.9
thornsh01,824,Shawn Thornton,38.5,FLA,LW,50.0,1.5,3.0,4.5,-4.5,73.5,-0.2,1.5,0.0,0.0,0.0,3.0,0.0,0.0,50.0,3.25
ottst01,601,Steve Ott,33.5,TOT,C,37.0,1.5,3.0,4.5,-5.5,57.0,-0.2,1.5,0.0,0.0,0.0,3.0,0.0,0.0,33.0,3.35
bollja01,58,Jared Boll,30.0,ANA,RW,30.333333333333332,0.6666666666666666,1.6666666666666667,2.3333333333333335,-2.0,54.666666666666664,-0.06666666666666667,0.6666666666666666,0.0,0.0,0.0,1.6666666666666667,0.0,0.0,9.333333333333334,11.366666666666667
stonecl01,789,Clayton Stoner,30.5,ANA,D,32.0,1.0,3.5,4.5,2.0,47.5,1.4500000000000002,1.0,0.0,0.0,0.0,3.0,0.0,0.5,24.0,4.7
stuarma01,797,Mark Stuart,31.5,WPG,D,53.0,1.5,2.0,3.5,-1.5,46.5,0.8,1.5,0.0,0.0,0.5,1.5,0.0,0.5,31.5,5.45
rinalza01,685,Zac Rinaldo,27.25,CGY,C,36.75,2.5,2.0,4.5,-3.0,45.25,0.07500000000000001,2.5,0.0,0.0,0.75,2.0,0.0,0.0,31.0,9.1
grybaer01,306,Eric Gryba,28.5,NJD,D,31.0,0.75,2.75,3.5,-0.5,45.25,0.9,0.75,0.0,0.0,0.5,2.75,0.0,0.0,33.25,1.5250000000000001
johnsro02,381,Ross Johnston,23.25,NYI,LW,18.5,1.75,1.75,3.5,1.0,41.75,0.3,1.75,0.0,0.0,0.0,1.75,0.0,0.0,11.75,14.300000000000002
