Player,Pos,Id,label,Rk,Age,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%
Justin Abdelkader,LW,abdelju01,0,1,30.0,68.2,9.0,15.0,24.0,-15.0,62.2,1.24,5.6,3.2,0.2,1.0,11.8,3.0,0.2,100.8,7.42
Noel Acciari,C,acciano01,0,2,26.0,49.2,7.6,4.0,11.6,-1.6,20.2,0.8,7.2,0.0,0.4,1.4,4.0,0.0,0.0,63.0,9.620000000000001
Kenny Agostino,LW,agostke01,0,3,24.5,19.25,1.75,5.25,7.0,-1.5,10.0,0.45,1.75,0.0,0.0,0.0,3.5,1.75,0.0,27.5,3.375
Pontus Aberg,LW,abergpo01,0,3,24.5,33.0,4.25,6.75,11.0,-1.75,8.5,0.8,3.5,0.75,0.0,1.0,5.5,1.25,0.0,46.75,6.4750000000000005
Josh Anderson,RW,anderjo05,0,6,23.0,52.2,13.0,9.8,22.8,5.6,42.0,2.6399999999999997,11.8,0.8,0.4,2.6,8.2,1.4,0.2,122.2,9.36
Sebastian Aho,RW,ahose01,1,6,20.5,77.5,30.25,35.5,65.75,9.5,25.5,7.975,21.75,6.25,2.25,5.0,22.5,12.25,0.75,215.75,14.1
Joakim Andersson,C,anderjo03,0,7,26.0,29.0,1.0,2.0,3.0,1.0,6.0,0.1,1.0,0.0,0.0,0.0,2.0,0.0,0.0,17.0,5.9
Andy Andreoff,LW,andrean01,0,8,25.75,38.75,2.75,2.75,5.5,-2.5,49.5,0.22499999999999998,2.75,0.0,0.0,0.75,2.75,0.0,0.0,36.25,5.949999999999999
Sven Andrighetto,RW,andrisv01,0,9,23.5,51.0,7.25,12.75,20.0,-0.75,10.5,1.8,5.75,1.5,0.0,0.75,10.5,2.25,0.0,87.0,8.6
Michael Amadio,C,amadimi01,0,9,22.0,49.333333333333336,5.333333333333333,7.0,12.333333333333334,-4.666666666666667,8.0,0.8000000000000002,5.0,0.3333333333333333,0.0,0.0,5.333333333333333,1.6666666666666667,0.0,54.666666666666664,12.200000000000001
Lias Andersson,C,anderli01,0,11,20.0,22.0,1.0,2.0,3.0,-6.666666666666667,11.0,-0.2333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.0,2.0,0.0,0.0,19.666666666666668,8.299999999999999
Joey Anderson,RW,anderjo08,0,11,20.5,26.0,4.0,2.5,6.5,-3.0,4.0,0.44999999999999996,3.5,0.0,0.5,0.5,2.5,0.0,0.0,35.0,13.6
Artem Anisimov,C,anisiar01,1,11,29.0,68.0,18.4,16.6,35.0,-3.4,17.2,3.5200000000000005,12.2,5.2,1.0,3.2,13.6,2.8,0.2,117.0,16.14
Josh Archibald,RW,archijo01,0,12,25.0,36.6,6.4,5.0,11.4,-1.2,11.2,1.1199999999999999,5.8,0.0,0.6,0.8,4.6,0.0,0.4,41.8,17.75
Mark Arcobello,C,arcobma01,0,13,27.0,20.0,3.0,1.0,4.0,0.0,0.0,0.4,3.0,0.0,0.0,0.0,1.0,0.0,0.0,43.0,7.0
Joel Armia,RW,armiajo01,0,14,24.0,58.8,11.0,11.2,22.2,-0.2,19.2,1.94,8.2,1.0,1.8,1.6,8.2,2.2,0.8,116.0,9.22
Viktor Arvidsson,LW,arvidvi01,1,15,24.0,65.8,23.4,19.4,42.8,7.2,30.2,5.42,18.4,3.0,2.0,4.6,15.8,3.0,0.6,190.8,11.86
Andreas Athanasiou,C,athanan01,1,16,23.0,60.6,16.8,14.4,31.2,-15.2,23.4,3.0200000000000005,15.0,1.6,0.2,2.4,11.0,3.4,0.0,137.6,12.76
Darren Archibald,RW,archida02,0,17,27.5,19.5,2.5,3.0,5.5,-2.0,13.0,0.39999999999999997,2.0,0.0,0.5,0.0,3.0,0.0,0.0,19.0,12.15
Cam Atkinson,RW,atkinca01,1,17,28.0,70.4,27.8,23.4,51.2,5.8,16.8,6.540000000000001,20.2,5.6,2.0,5.4,16.4,7.0,0.0,228.0,11.78
David Backes,C,backeda01,1,18,33.0,60.4,12.0,16.4,28.4,1.4,51.6,2.96,9.0,3.0,0.0,1.6,12.4,3.8,0.2,133.2,7.859999999999999
Mason Appleton,C,applema01,0,18,23.5,41.0,4.0,5.0,9.0,0.0,12.0,0.6000000000000001,3.5,0.0,0.5,0.5,5.0,0.0,0.0,42.0,9.7
Mikael Backlund,C,backlmi01,1,19,28.0,78.4,18.8,28.6,47.4,7.0,44.0,4.86,13.8,3.4,1.6,4.0,21.0,6.2,1.4,185.6,10.319999999999999
Nicklas Backstrom,C,backsni02,1,20,30.0,75.8,19.6,51.4,71.0,8.0,32.8,7.26,14.2,5.4,0.0,3.6,30.0,21.4,0.0,151.4,12.9
Sven Baertschi,LW,baertsv01,0,21,25.0,44.4,11.2,10.4,21.6,-5.6,10.4,2.32,8.4,2.8,0.0,1.6,7.0,3.4,0.0,70.8,13.540000000000001
Zach Aston-Reese,C,astonza01,0,21,24.0,38.666666666666664,6.0,6.0,12.0,6.666666666666667,18.666666666666668,1.1666666666666667,5.333333333333333,0.0,0.6666666666666666,0.6666666666666666,6.0,0.0,0.0,64.66666666666667,12.200000000000001
Rasmus Asplund,RW,asplura01,0,22,22.0,29.0,1.0,2.0,3.0,-4.0,6.0,-0.3,1.0,0.0,0.0,0.0,1.0,0.0,1.0,36.0,2.8
Josh Bailey,C,bailejo01,1,22,28.0,77.8,14.6,37.0,51.6,-5.2,16.4,4.46,11.0,3.2,0.4,2.4,26.0,11.0,0.0,129.8,11.68
Aleksander Barkov,C,barkoal01,1,25,22.0,70.8,26.2,43.2,69.4,7.8,11.6,7.840000000000001,17.6,7.4,1.2,4.6,30.4,12.2,0.6,189.4,14.059999999999999
Nicolas Aube-Kubel,RW,aubekni01,0,26,22.5,22.5,3.5,4.0,7.5,1.0,9.5,0.8,2.5,1.0,0.0,0.5,3.5,0.5,0.0,25.0,7.3
Nicholas Baptiste,RW,baptini01,0,27,21.5,23.5,3.5,1.5,5.0,-1.5,10.0,0.5,3.5,0.0,0.0,0.5,1.0,0.5,0.0,30.5,13.850000000000001
Ivan Barbashev,C,barbaiv01,0,28,22.5,58.0,9.25,10.0,19.25,0.75,11.5,1.85,8.25,0.0,1.0,1.25,9.75,0.0,0.25,50.0,19.65
Jay Beagle,RW,beaglja01,0,31,32.0,65.8,6.6,11.4,18.0,1.2,23.6,1.18,5.8,0.0,0.8,1.6,10.8,0.0,0.6,66.6,9.08
Rudolfs Balcers,LW,balceru01,0,33,21.5,25.5,3.0,5.5,8.5,-4.5,5.0,0.45,1.5,1.5,0.0,1.0,5.0,0.5,0.0,35.5,7.35
Mathew Barzal,C,barzama01,1,34,20.5,58.5,14.75,37.0,51.75,-0.25,31.5,4.925,11.75,3.0,0.0,2.25,25.75,11.25,0.0,130.0,11.366666666666667
Matt Beleskey,LW,belesma01,0,35,28.5,37.0,4.75,6.75,11.5,-3.0,34.5,0.825,4.0,0.75,0.0,0.25,5.25,1.5,0.0,66.75,11.5
Pierre-Edouard Bellemare,LW,bellepi01,0,36,32.0,74.6,6.4,8.6,15.0,0.0,16.8,0.62,5.4,0.0,1.0,0.4,7.8,0.0,0.8,95.4,6.8
Jamie Benn,LW,bennja01,1,37,28.0,77.6,29.8,36.0,65.8,5.6,58.6,8.14,18.2,10.8,0.8,4.4,25.4,9.8,0.8,208.2,14.080000000000002
