Player,Pos,Id,label,Rk,Age,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%
Tomas Kloucek,D,kloucto01,0,381,21.5,35.0,0.5,2.0,2.5,-2.25,62.0,0.275,0.5,0.0,0.0,0.0,1.75,0.0,0.25,14.0,2.325
Tom Koivisto,D,koivito01,0,383,28.0,22.0,2.0,4.0,6.0,1.0,10.0,1.2,2.0,0.0,0.0,1.0,1.0,3.0,0.0,26.0,7.7
Filip Kuba,D,kubafi01,1,386,25.0,61.0,5.6,17.0,22.6,-4.4,23.8,4.9,2.2,2.8,0.6,1.8,9.0,7.6,0.4,100.2,5.66
Pavel Kubina,D,kubinpa01,1,387,24.0,75.4,10.0,19.4,29.4,-10.6,93.0,5.3,4.2,5.0,0.8,2.2,11.0,8.2,0.2,147.4,6.8
Mike Komisarek,D,komismi01,0,389,21.5,33.5,0.0,2.5,2.5,-1.0,31.0,0.6,0.0,0.0,0.0,0.0,2.5,0.0,0.0,33.0,0.0
Scott Lachance,D,lachasc01,0,390,29.0,70.4,0.8,6.4,7.2,-5.4,41.6,1.9600000000000002,0.8,0.0,0.0,0.0,5.8,0.4,0.2,42.8,1.52
Niklas Kronwall,D,kronwni01,0,391,23.0,20.0,1.0,4.0,5.0,5.0,16.0,1.3,1.0,0.0,0.0,1.0,4.0,0.0,0.0,18.0,5.6
Christian Laflamme,D,laflach01,0,394,25.0,35.0,0.0,4.2,4.2,-3.8,30.2,0.7,0.0,0.0,0.0,0.0,4.0,0.2,0.0,19.8,0.0
Justin Kurtz,D,kurtzju01,0,405,25.0,27.0,3.0,5.0,8.0,-4.0,14.0,1.2,1.0,2.0,0.0,0.0,1.0,4.0,0.0,30.0,10.0
Frantisek Kucera,D,kucerfr01,0,405,32.5,55.5,1.5,10.0,11.5,0.0,12.0,2.4,1.5,0.0,0.0,0.0,8.5,1.0,0.5,63.5,2.4
Jarno Kultanen,D,kultaja01,0,407,29.0,34.0,0.6666666666666666,3.6666666666666665,4.333333333333333,-1.0,19.666666666666668,1.0,0.6666666666666666,0.0,0.0,0.3333333333333333,2.3333333333333335,1.3333333333333333,0.0,36.666666666666664,0.8666666666666667
Janne Laukkanen,D,laukkja01,0,407,30.5,46.75,3.25,12.0,15.25,1.5,34.25,2.75,2.25,1.0,0.0,0.25,8.25,3.0,0.75,54.25,8.375
Paul Laus,D,lauspa01,0,408,30.0,49.0,2.6666666666666665,4.333333333333333,7.0,1.6666666666666667,131.66666666666666,1.3,2.3333333333333335,0.0,0.3333333333333333,0.0,4.0,0.3333333333333333,0.0,33.666666666666664,7.566666666666666
Maxim Kuznetsov,D,kuznema01,0,409,24.5,34.0,0.5,2.0,2.5,-1.25,34.25,0.55,0.5,0.0,0.0,0.0,2.0,0.0,0.0,22.0,2.4000000000000004
Joel Kwiatkowski,D,kwiatjo01,0,412,24.5,37.25,1.75,2.75,4.5,-4.75,29.75,1.0,1.25,0.5,0.0,0.0,2.5,0.25,0.0,39.25,14.175
Grant Ledyard,D,ledyagr01,0,414,39.0,38.333333333333336,1.6666666666666667,3.3333333333333335,5.0,-3.3333333333333335,12.0,1.2,1.6666666666666667,0.0,0.0,0.3333333333333333,2.3333333333333335,1.0,0.0,29.333333333333332,6.333333333333333
Brian Leetch*,D,leetcbr01,1,416,33.0,67.4,13.0,35.2,48.2,-3.4,27.2,7.24,7.8,4.8,0.4,2.4,14.6,19.2,1.4,184.6,6.92
Sylvain Lefebvre,D,lefebsy01,0,417,33.5,57.25,1.0,7.5,8.5,-5.0,32.75,1.2999999999999998,1.0,0.0,0.0,0.0,6.0,0.25,1.25,35.0,2.025
Curtis Leschyshyn,D,leschcu01,0,422,32.0,61.4,1.0,5.6,6.6,1.0,22.2,2.06,0.8,0.2,0.0,0.2,4.8,0.8,0.0,40.2,2.44
Nicklas Lidström*,D,lidstni01,1,425,31.0,80.8,14.4,46.2,60.6,20.0,22.4,11.459999999999999,6.4,6.8,1.2,2.0,21.0,24.2,1.0,214.8,6.88
Richard Lintner,D,lintnri01,0,431,23.333333333333332,37.333333333333336,2.6666666666666665,4.0,6.666666666666667,-6.0,18.0,1.3,1.6666666666666667,1.0,0.0,0.0,3.0,1.0,0.0,61.333333333333336,4.766666666666667
Brad Lukowich,D,lukowbr01,0,434,25.0,71.0,2.8,9.0,11.8,9.2,47.2,3.56,2.8,0.0,0.0,0.8,7.6,1.2,0.2,54.0,5.58
Jyrki Lumme,D,lummejy01,1,435,34.5,67.75,5.5,18.25,23.75,7.5,39.0,4.925,3.5,1.5,0.5,1.75,11.25,6.25,0.75,91.0,6.15
John-Michael Liles,D,lilesjo01,1,437,23.0,79.0,10.0,24.0,34.0,7.0,28.0,6.5,8.0,2.0,0.0,1.0,12.0,12.0,0.0,115.0,8.7
Al MacInnis*,D,macinal01,1,437,38.0,54.8,10.0,31.8,41.8,13.4,41.0,8.059999999999999,4.2,5.4,0.4,3.2,13.4,17.6,0.8,200.4,4.04
Jordan Leopold,D,leopojo01,1,439,22.5,70.0,6.5,17.0,23.5,-3.5,18.0,5.050000000000001,2.0,4.5,0.0,0.5,9.5,7.0,0.5,108.0,5.8
Vladimir Malakhov,D,malakvl01,0,441,33.0,48.2,2.6,11.6,14.2,-0.4,43.4,2.4,1.8,0.8,0.0,0.2,6.0,4.8,0.8,79.0,3.04
Marek Malík,D,malikma01,1,444,26.0,71.4,4.8,14.4,19.2,14.4,59.6,5.3,4.2,0.4,0.2,0.8,11.2,2.6,0.6,71.6,6.74
Dave Manson,D,mansoda01,0,449,34.0,61.333333333333336,1.6666666666666667,6.0,7.666666666666667,9.0,62.666666666666664,2.566666666666667,1.6666666666666667,0.0,0.0,0.0,4.333333333333333,1.6666666666666667,0.0,57.333333333333336,2.4
Andreas Lilja,D,liljaan01,0,449,26.5,45.0,2.0,4.75,6.75,1.5,46.5,2.15,1.75,0.25,0.0,0.0,4.0,0.5,0.25,41.0,4.425
Paul Mara,D,marapa01,1,450,22.0,69.0,7.2,18.6,25.8,-13.4,62.2,3.88,5.2,2.0,0.0,0.4,10.2,8.0,0.4,100.6,7.56
Bryan Marchment,D,marchbr02,0,452,32.0,70.4,2.4,10.0,12.4,9.2,140.2,3.5,2.2,0.0,0.2,0.6,8.8,0.8,0.4,66.4,3.34
Danny Markov,D,markoda01,1,454,25.0,66.4,3.8,16.4,20.2,1.6,52.0,3.9799999999999995,1.8,2.0,0.0,1.0,10.2,5.8,0.4,79.0,4.34
Jason Marshall,D,marshja02,0,457,30.0,51.8,2.0,4.8,6.8,-6.0,90.6,1.5,1.0,0.8,0.2,0.2,3.6,1.0,0.2,45.4,3.9200000000000004
Toni Lydman,D,lydmato01,1,460,24.5,72.25,4.75,18.5,23.25,-4.0,35.0,4.8,3.0,1.75,0.0,0.25,8.75,9.0,0.75,110.5,4.275
Richard Matvichuk,D,matviri01,1,462,28.0,74.6,3.8,14.8,18.6,4.8,50.0,5.0,2.6,1.2,0.0,1.2,10.4,3.6,0.8,82.2,4.279999999999999
Ivan Majesky,D,majesiv01,0,466,26.5,72.5,3.5,7.5,11.0,-12.5,84.0,2.15,3.5,0.0,0.0,1.0,7.5,0.0,0.0,43.5,8.15
Chris McAlpine,D,mcalpch01,0,466,29.5,36.25,0.5,3.25,3.75,0.25,29.5,1.05,0.5,0.0,0.0,0.0,3.25,0.0,0.0,37.5,1.475
Tomas Malec,D,malecto01,0,468,20.5,21.5,0.0,1.0,1.0,-3.0,22.5,0.2,0.0,0.0,0.0,0.0,0.5,0.5,0.0,15.5,0.0
Bryan McCabe,D,mccabbr01,1,468,26.0,78.6,10.0,24.8,34.8,11.0,122.4,7.220000000000001,5.2,4.8,0.0,1.6,12.6,11.6,0.6,150.4,6.4799999999999995
Steve McCarthy,D,mccarst01,0,470,20.0,26.8,0.6,2.6,3.2,-3.6,9.0,0.6,0.4,0.2,0.0,0.0,1.8,0.8,0.0,24.4,6.04
Dan McGillis,D,mcgilda01,1,475,29.0,75.2,6.2,20.6,26.8,9.6,62.4,5.88,3.8,2.4,0.0,1.6,11.6,8.6,0.4,145.8,3.9799999999999995
Radek Martínek,D,martira01,0,478,26.0,45.333333333333336,2.3333333333333335,6.0,8.333333333333334,3.6666666666666665,28.333333333333332,2.033333333333333,2.3333333333333335,0.0,0.0,1.0,5.333333333333333,0.6666666666666666,0.0,46.666666666666664,5.1000000000000005
Jay McKee,D,mckeeja01,0,478,24.0,67.0,2.0,8.2,10.2,4.4,51.8,3.34,1.8,0.2,0.0,0.6,7.2,0.2,0.8,53.8,3.7
Paul Martin,D,martipa01,1,480,22.0,70.0,6.0,18.0,24.0,12.0,4.0,6.2,4.0,2.0,0.0,2.0,10.0,8.0,0.0,82.0,7.3
Andrei Markov,D,markoan01,1,480,23.5,66.75,7.5,20.5,28.0,1.0,24.0,5.4,5.25,2.25,0.0,0.75,10.25,10.25,0.0,104.75,7.0
Kyle McLaren,D,mclarky01,0,481,24.0,52.8,3.0,12.2,15.2,-2.6,45.8,3.0,2.0,0.8,0.2,0.6,9.6,1.6,1.0,80.0,2.82
Marty McSorley,D,mcsorma01,0,482,36.0,27.0,2.0,3.0,5.0,2.0,62.0,1.4,2.0,0.0,0.0,0.0,2.0,1.0,0.0,24.0,8.3
Craig Millar,D,millacr01,0,488,23.5,39.0,2.0,6.0,8.0,-6.5,22.0,1.3,2.0,0.0,0.0,1.0,5.0,1.0,0.0,31.0,7.15
Aaron Miller,D,milleaa01,0,489,30.0,56.0,2.4,8.0,10.4,5.8,37.8,3.12,2.2,0.0,0.2,0.6,7.2,0.2,0.6,47.6,4.5
Boris Mironov,D,mironbo01,1,492,29.0,63.8,5.4,16.4,21.8,0.2,64.8,4.04,3.0,2.0,0.4,0.6,10.2,5.8,0.4,123.0,4.76
Dmitri Mironov,D,mirondm01,0,493,34.5,54.5,3.0,12.0,15.0,0.0,17.0,2.9,2.0,1.0,0.0,0.5,6.0,5.5,0.5,66.0,6.05
Willie Mitchell,D,mitchwi01,0,494,24.0,48.4,1.4,8.8,10.2,2.8,55.0,2.94,1.2,0.0,0.2,0.4,7.2,1.0,0.6,44.8,2.5
Jaroslav Modrý,D,modryja01,1,497,30.0,66.0,6.2,21.8,28.0,1.6,48.6,5.3,2.6,3.6,0.0,0.6,9.6,11.4,0.8,124.8,6.7
Ian Moran,D,morania01,0,500,29.0,58.0,2.0,6.4,8.4,-6.2,37.2,1.54,2.0,0.0,0.0,0.4,6.2,0.0,0.2,75.0,3.0
Derek Morris,D,morride01,1,506,23.0,69.6,7.0,29.0,36.0,-0.4,68.2,6.159999999999999,3.0,3.8,0.2,3.0,13.8,14.8,0.4,171.8,4.0
Josef Melichar,D,melicjo01,0,510,23.5,42.0,0.75,2.5,3.25,-6.25,38.25,0.575,0.75,0.0,0.0,0.0,1.75,0.5,0.25,34.75,0.95
Bryan Muir,D,muirbr01,0,511,28.0,23.0,0.8,2.2,3.0,-2.2,18.8,0.52,0.6,0.0,0.2,0.0,1.0,1.0,0.2,21.0,1.94
