Player,Pos,Id,label,Rk,Age,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%
Peter Ahola,D,aholape01,0,4,24.0,41.0,3.3333333333333335,5.666666666666667,9.0,0.6666666666666666,45.666666666666664,2.0,3.3333333333333335,0.0,0.0,0.0,5.333333333333333,0.3333333333333333,0.0,38.333333333333336,5.666666666666667
Jim Agnew,D,agnewji01,0,4,24.5,16.75,0.0,0.0,0.0,-2.5,60.25,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.75,0.0
Tommy Albelin,D,albelto01,0,5,27.0,46.4,2.2,12.2,14.4,5.4,32.2,2.8200000000000003,0.8,1.4,0.0,0.4,6.6,5.4,0.2,60.8,2.8
Shawn Anderson,D,andersh01,0,8,23.0,39.25,1.5,7.0,8.5,0.25,14.75,1.975,0.75,0.75,0.0,0.0,5.25,1.75,0.0,33.25,4.475
Peter Andersson,D,anderpe03,0,11,27.5,23.5,3.0,6.5,9.5,-2.0,10.0,1.5,1.0,1.5,0.5,1.0,3.5,3.0,0.0,44.5,7.7
Dave Babych,D,babycda01,0,14,30.0,54.2,3.6,22.2,25.8,-3.2,45.0,3.78,1.4,2.2,0.0,0.8,11.6,10.6,0.0,100.2,3.02
Murray Baron,D,baronmu01,0,18,24.0,56.0,4.0,5.8,9.8,-5.2,72.4,2.5599999999999996,3.4,0.6,0.0,0.4,5.2,0.4,0.2,54.8,7.5
Barry Beck,D,beckba01,0,24,32.0,52.0,1.0,7.0,8.0,3.0,53.0,1.6,1.0,0.0,0.0,0.0,7.0,0.0,0.0,36.0,2.8
Bob Beers,D,beersbo01,0,25,24.0,39.2,4.6,12.6,17.2,-13.2,40.2,2.1799999999999997,2.0,2.6,0.0,0.0,5.2,7.2,0.2,71.8,3.65
Adam Bennett,D,bennead01,0,29,21.0,23.0,1.0,2.6666666666666665,3.6666666666666665,-3.0,23.0,0.9333333333333332,0.6666666666666666,0.3333333333333333,0.0,0.0,1.3333333333333333,1.3333333333333333,0.0,26.0,1.7666666666666666
Brian Benning,D,bennibr01,0,29,25.0,63.8,6.6,26.6,33.2,-0.6,125.2,4.659999999999999,3.6,3.0,0.0,0.2,15.0,11.6,0.0,124.2,5.4799999999999995
