Player,Pos,Id,label,Rk,Age,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%
Tommy Albelin,D,albelto01,1,3,32.0,64.4,2.6,11.2,13.8,0.0,18.4,3.5,1.6,1.0,0.0,0.4,7.2,3.2,0.8,85.2,3.44
Jamie Allison,D,allisja01,1,4,21.25,25.75,1.25,2.5,3.75,-0.25,50.25,0.975,1.25,0.0,0.0,0.25,2.0,0.0,0.5,14.75,6.466666666666666
Mark Astley,D,astlema01,1,16,25.5,37.0,2.0,9.5,11.5,-7.0,46.0,1.9,2.0,0.0,0.0,0.0,5.5,4.0,0.0,50.5,6.0
Adrian Aucoin,D,aucoiad01,0,17,23.0,47.4,7.2,8.8,16.0,-1.8,39.0,3.12,2.4,4.4,0.4,0.8,6.4,2.4,0.0,84.2,15.8
Dave Babych,D,babycda01,1,19,35.0,53.0,2.6,13.8,16.4,-6.2,33.0,2.3400000000000003,1.0,1.6,0.0,0.2,9.8,3.4,0.6,65.4,3.6799999999999997
Drew Bannister,D,bannidr01,1,22,22.5,40.0,1.25,6.25,7.5,-9.25,40.25,1.375,1.0,0.25,0.0,0.0,4.0,2.25,0.0,37.0,2.55
Murray Baron,D,baronmu01,1,23,29.0,65.2,1.2,6.4,7.6,-8.2,125.2,1.78,1.2,0.0,0.0,0.0,5.8,0.2,0.4,50.8,2.4
Wade Belak,D,belakwa01,1,27,21.0,14.666666666666666,0.3333333333333333,0.6666666666666666,1.0,-1.0,44.0,0.2333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,3.3333333333333335,16.666666666666668
Bob Beers,D,beersbo01,1,28,28.0,20.666666666666668,1.6666666666666667,5.333333333333333,7.0,-3.3333333333333335,8.0,1.1333333333333335,1.0,0.6666666666666666,0.0,0.0,4.0,1.3333333333333333,0.0,32.0,3.7999999999999994
Bryan Berard,D,berarbr01,0,32,20.0,75.33333333333333,10.333333333333334,32.333333333333336,42.666666666666664,-10.0,64.33333333333333,6.433333333333334,5.0,5.0,0.3333333333333333,2.6666666666666665,15.0,17.333333333333332,0.0,166.33333333333334,6.233333333333333
Brian Benning,D,bennibr01,1,32,28.0,24.0,1.0,7.0,8.0,-6.0,18.0,1.5,0.0,1.0,0.0,0.0,4.0,3.0,0.0,26.0,3.8
Drake Berehowsky,D,berehdr01,1,34,25.0,42.75,0.75,5.75,6.5,-4.0,84.25,1.525,0.5,0.25,0.0,0.25,4.25,1.25,0.25,37.75,1.4000000000000001
Marc Bergevin,D,bergema01,1,36,31.0,65.8,1.4,5.0,6.4,-4.8,65.2,2.34,1.2,0.0,0.2,0.0,4.4,0.2,0.4,33.6,4.0200000000000005
Jeff Beukeboom,D,beukeje01,1,38,31.0,62.8,1.4,7.4,8.8,3.4,142.4,2.82,1.4,0.0,0.0,0.2,6.6,0.0,0.8,36.0,2.7
Aki Berg,D,bergak01,1,39,19.0,54.666666666666664,0.6666666666666666,7.0,7.666666666666667,-6.333333333333333,38.0,1.6666666666666667,0.0,0.6666666666666666,0.0,0.0,6.333333333333333,0.6666666666666666,0.0,59.666666666666664,1.0333333333333334
Rob Blake*,D,blakero01,0,40,27.0,47.0,9.6,16.4,26.0,-10.8,70.0,4.040000000000001,4.6,4.8,0.2,1.6,10.0,6.0,0.4,147.0,6.42
Doug Bodger,D,bodgedo01,0,42,30.0,68.0,4.0,15.6,19.6,-8.2,54.0,3.7600000000000002,2.4,1.6,0.0,0.4,6.4,8.2,1.0,93.4,4.32
Joel Bouchard,D,bouchjo01,1,50,23.0,38.0,2.6,4.6,7.2,-6.6,34.0,1.48,2.2,0.0,0.4,0.2,3.4,0.8,0.4,38.0,7.166666666666667
Philippe Boucher,D,bouchph01,1,51,23.0,43.6,4.8,10.8,15.6,-5.8,28.2,2.7,3.0,1.8,0.0,0.4,5.8,5.0,0.0,100.2,5.14
Ray Bourque*,D,bourqra01,0,53,36.0,70.6,14.8,41.2,56.0,3.6,42.0,9.379999999999999,5.6,8.6,0.6,2.6,17.6,22.0,1.6,271.2,5.5600000000000005
Brad Bombardir,D,bombabr01,1,55,25.5,49.5,1.0,6.0,7.0,3.5,12.0,2.25,1.0,0.0,0.0,0.0,5.5,0.5,0.0,31.5,4.2
Bob Boughner,D,boughbo01,1,59,25.5,64.0,1.25,5.25,6.5,3.5,157.75,2.425,1.25,0.0,0.0,0.25,4.75,0.0,0.5,33.25,2.9499999999999997
Patrice Brisebois,D,brisepa01,0,60,26.0,57.2,5.6,16.8,22.4,1.8,42.0,4.34,3.8,1.8,0.0,1.2,8.8,7.8,0.2,96.2,5.4399999999999995
Brad Brown,D,brownbr01,1,64,22.0,37.0,0.5,3.5,4.0,-2.5,113.5,0.7000000000000001,0.5,0.0,0.0,0.0,3.5,0.0,0.0,13.0,3.8
Jeff Brown,D,brownje02,0,67,29.5,42.5,5.0,23.5,28.5,2.75,26.0,4.45,2.0,3.0,0.0,0.0,8.75,14.75,0.0,97.5,5.2
Sean Brown,D,brownse01,1,69,21.0,24.666666666666668,0.0,2.6666666666666665,2.6666666666666665,-0.3333333333333333,78.33333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,2.3333333333333335,0.3333333333333333,0.0,12.666666666666666,0.0
Dan Boyle,D,boyleda01,1,71,22.0,22.0,3.0,5.0,8.0,0.0,6.0,1.5,2.0,1.0,0.0,1.0,3.0,2.0,0.0,31.0,9.7
Eric Brewer,D,breweer01,1,75,19.0,63.0,5.0,6.0,11.0,-14.0,32.0,1.8,3.0,2.0,0.0,0.0,3.0,3.0,0.0,63.0,7.9
Adam Burt,D,burtad01,1,79,28.0,67.8,2.8,9.2,12.0,-3.8,86.2,2.98,2.0,0.6,0.2,0.4,7.0,1.8,0.4,72.0,3.6799999999999997
Garth Butcher,D,butchga01,1,80,32.0,45.0,1.0,7.0,8.0,-5.0,59.0,2.1,1.0,0.0,0.0,0.0,6.0,0.0,1.0,24.0,4.2
Eric Cairns,D,cairner01,1,81,23.0,29.333333333333332,0.0,2.3333333333333335,2.3333333333333335,-3.0,87.33333333333333,0.7999999999999999,0.0,0.0,0.0,0.0,2.3333333333333335,0.0,0.0,12.0,0.0
Terry Carkner,D,carknte01,1,84,30.0,59.8,1.4,8.4,9.8,3.8,62.8,3.04,1.2,0.2,0.0,0.2,7.6,0.6,0.2,29.6,5.82
Keith Carney,D,carneke01,0,86,26.0,68.6,2.8,12.4,15.2,13.8,64.0,4.74,1.8,0.4,0.6,0.6,10.6,1.0,0.8,58.6,5.12
Paul Cavallini,D,cavalpa01,1,90,29.5,26.0,0.5,5.5,6.0,2.5,17.0,1.7,0.5,0.0,0.0,0.0,3.5,1.5,0.5,37.0,0.7
Shawn Chambers,D,chambsh01,0,91,30.0,60.0,2.8,17.2,20.0,7.4,18.6,5.08,1.2,1.4,0.2,0.4,9.0,7.8,0.4,89.6,3.28
Eric Charron,D,charrer01,1,93,27.0,20.4,0.4,1.4,1.8,-1.4,17.2,0.76,0.4,0.0,0.0,0.0,1.0,0.2,0.2,13.4,2.42
Chris Chelios*,D,chelich01,0,96,35.0,71.4,8.2,39.0,47.2,10.4,113.6,8.040000000000001,4.6,3.2,0.4,1.2,18.2,19.0,1.8,194.2,4.18
Steve Chiasson,D,chiasst01,0,97,29.0,56.0,5.2,21.0,26.2,-0.6,44.2,4.62,1.4,3.4,0.4,0.6,10.4,10.4,0.2,140.0,3.3199999999999994
Dean Chynoweth,D,chynode01,1,102,27.5,35.0,0.5,2.75,3.25,-3.0,94.0,1.0,0.5,0.0,0.0,0.0,2.75,0.0,0.0,22.75,1.325
Zdeno Chara,D,charazd01,1,104,20.5,42.0,1.0,3.5,4.5,-3.5,66.5,1.35,0.5,0.0,0.5,0.0,3.5,0.0,0.0,33.0,1.8
Enrico Ciccone,D,ciccoen01,1,105,26.0,54.4,1.8,3.0,4.8,-1.2,213.2,2.12,1.8,0.0,0.0,0.2,2.6,0.4,0.0,48.4,3.38
David Cooper,D,coopeda01,1,107,23.5,14.0,1.5,3.5,5.0,-0.5,12.0,0.9500000000000001,0.5,1.0,0.0,0.0,2.5,1.0,0.0,18.0,6.5
Paul Coffey*,D,coffepa01,0,109,35.0,57.8,8.2,33.6,41.8,8.8,51.6,6.82,5.6,2.0,0.6,1.6,15.6,18.0,0.0,143.8,5.22
Sylvain Cote,D,cotesy01,0,116,31.0,67.0,5.0,22.0,27.0,7.4,38.2,5.62,3.6,1.4,0.0,1.2,13.4,7.4,1.2,137.8,3.8200000000000003
Brett Clark,D,clarkbr01,1,117,21.5,51.0,1.5,1.0,2.5,-3.0,18.0,1.35,1.5,0.0,0.0,0.0,1.0,0.0,0.0,31.0,4.699999999999999
Rob Cowie,D,cowiero01,1,119,27.5,39.0,3.5,6.0,9.5,-11.0,26.0,1.35,2.5,1.0,0.0,0.0,4.0,2.0,0.0,62.5,5.449999999999999
Shawn Cronin,D,cronish01,1,123,31.0,29.0,0.0,2.0,2.0,0.0,61.0,0.9,0.0,0.0,0.0,0.0,2.0,0.0,0.0,12.0,0.0
Cory Cross,D,crossco01,1,124,26.0,66.2,2.4,9.2,11.6,-9.0,74.2,2.8600000000000003,2.2,0.0,0.2,0.6,7.2,1.8,0.2,67.0,3.6
Jassen Cullimore,D,cullija01,1,127,24.0,43.8,2.0,4.6,6.6,-4.4,42.2,1.48,1.2,0.4,0.4,0.6,2.8,1.4,0.4,37.4,5.540000000000001
Kevin Dahl,D,dahlke01,1,131,28.0,18.0,1.0,2.0,3.0,0.6,14.4,0.86,1.0,0.0,0.0,0.2,2.0,0.0,0.0,13.2,4.800000000000001
Chris Dahlquist,D,dahlqch01,1,133,32.5,35.0,1.0,4.0,5.0,-18.5,25.0,0.4,0.5,0.5,0.0,0.0,4.0,0.0,0.0,29.0,4.95
J.J. Daigneault,D,daignjj01,1,135,31.0,61.8,3.2,13.0,16.2,-5.0,54.0,2.9,2.4,0.8,0.0,0.6,7.4,5.4,0.2,63.2,5.66
Mike Crowley,D,crowlmi01,1,135,22.5,14.0,2.0,2.5,4.5,-5.0,12.0,0.6000000000000001,1.5,0.5,0.0,1.0,1.5,1.0,0.0,29.0,8.350000000000001
Ken Daneyko,D,daneyke01,1,138,32.0,60.2,1.4,4.6,6.0,9.6,71.8,3.62,1.4,0.0,0.0,0.0,4.2,0.2,0.2,47.6,2.62
Kevin Dean,D,deanke01,1,146,27.0,39.6,0.8,5.8,6.6,5.6,14.4,2.44,0.4,0.4,0.0,0.0,4.6,1.0,0.2,28.0,3.02
Eric Desjardins,D,desjaer01,0,149,27.0,70.0,9.0,32.2,41.2,17.0,36.6,8.08,4.8,3.8,0.4,1.2,15.6,15.8,0.8,160.0,5.54
Gerald Diduck,D,diducge01,1,150,31.0,60.6,2.6,7.2,9.8,3.6,80.8,3.1,1.8,0.8,0.0,1.0,6.2,0.6,0.4,76.6,2.8600000000000003
Greg de Vries,D,devrigr01,1,155,24.5,47.0,2.25,3.0,5.25,-7.0,52.0,1.2750000000000001,2.0,0.25,0.0,0.0,2.75,0.0,0.25,37.25,6.875
Robert Dirk,D,dirkro01,1,156,28.5,42.5,1.0,2.5,3.5,2.5,52.0,1.65,1.0,0.0,0.0,0.0,2.5,0.0,0.0,17.5,5.85
Bobby Dollas,D,dollabo01,0,157,32.0,65.6,4.6,12.6,17.2,2.8,48.0,3.6399999999999997,3.4,0.8,0.4,0.6,8.8,3.4,0.4,71.0,6.44
Bruce Driver,D,drivebr01,0,167,33.5,65.25,4.25,21.5,25.75,1.5,38.5,4.725,2.5,1.75,0.0,0.75,10.75,10.75,0.0,118.0,4.025
Steve Duchesne,D,duchest01,0,172,31.0,67.6,12.6,28.8,41.4,0.0,34.4,7.12,7.0,5.0,0.6,1.8,12.2,16.2,0.4,151.6,8.22
Donald Dufresne,D,dufredo01,1,173,28.0,29.666666666666668,0.3333333333333333,3.3333333333333335,3.6666666666666665,-1.0,15.0,1.0,0.3333333333333333,0.0,0.0,0.0,3.3333333333333335,0.0,0.0,14.0,1.5999999999999999
Karl Dykhuis,D,dykhuka01,1,175,24.0,66.6,4.0,10.0,14.0,-1.2,66.6,3.4800000000000004,2.8,1.0,0.2,0.4,6.6,3.2,0.2,86.0,4.62
Dallas Eakins,D,eakinda01,1,177,29.0,16.6,0.0,1.0,1.0,0.2,30.6,0.52,0.0,0.0,0.0,0.0,0.8,0.0,0.2,8.0,0.0
Dave Ellett,D,elletda01,0,181,32.0,65.0,3.4,14.0,17.4,-1.6,43.4,3.9799999999999995,1.8,1.4,0.2,0.8,6.8,6.2,1.0,103.2,3.2
Len Esau,D,esaule01,1,186,26.0,15.0,0.0,6.0,6.0,-10.0,15.0,0.2,0.0,0.0,0.0,0.0,4.0,2.0,0.0,21.0,0.0
Glen Featherstone,D,feathgl01,1,190,27.0,47.0,2.3333333333333335,6.333333333333333,8.666666666666666,0.6666666666666666,98.0,2.5,2.3333333333333335,0.0,0.0,0.3333333333333333,4.333333333333333,1.6666666666666667,0.3333333333333333,50.333333333333336,5.6000000000000005
Mark Ferner,D,fernema01,1,195,29.0,17.0,0.0,1.0,1.0,-4.0,6.0,0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0,0.0
Viacheslav Fetisov*,D,fetisvi01,0,197,37.5,52.25,4.25,20.5,24.75,17.0,61.5,5.5249999999999995,3.0,1.0,0.25,0.75,15.0,5.25,0.25,78.5,5.625
Steven Finn,D,finnst01,1,198,29.0,53.333333333333336,1.6666666666666667,2.6666666666666665,4.333333333333333,-6.333333333333333,91.33333333333333,1.4666666666666668,1.6666666666666667,0.0,0.0,0.3333333333333333,2.3333333333333335,0.3333333333333333,0.0,39.0,3.766666666666667
Anders Eriksson,D,eriksan01,1,199,22.5,40.5,2.25,9.5,11.75,9.5,19.5,3.075,2.0,0.25,0.0,0.75,7.25,2.0,0.25,49.25,3.4
Bryan Fogarty,D,fogarbr01,1,204,25.0,21.0,5.0,2.0,7.0,-3.0,34.0,1.5,2.0,3.0,0.0,0.0,2.0,0.0,0.0,41.0,12.2
Adam Foote,D,footead01,1,205,25.0,65.4,3.0,13.4,16.4,15.4,98.2,4.359999999999999,2.2,0.8,0.0,0.4,10.8,1.8,0.8,56.0,4.84
Maxim Galanov,D,galanma01,1,212,23.5,28.5,2.0,2.0,4.0,-3.5,8.0,0.7,1.0,1.0,0.0,0.0,1.5,0.5,0.0,24.5,4.55
Garry Galley,D,gallega01,0,212,33.0,66.0,6.0,29.4,35.4,-0.4,61.2,5.54,1.6,4.0,0.4,0.6,14.0,14.6,0.8,112.2,5.16
Jeff Finley,D,finleje01,1,213,29.5,56.25,1.5,5.0,6.5,-0.5,49.0,2.275,1.25,0.25,0.0,0.25,4.5,0.25,0.25,28.25,5.25
Rory Fitzpatrick,D,fitzpro02,1,217,22.333333333333332,17.0,0.0,1.0,1.0,-4.666666666666667,9.333333333333334,0.2333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,12.333333333333334,0.0
Denis Gauthier,D,gauthde01,1,217,21.5,32.5,1.5,2.0,3.5,-1.0,42.0,0.75,1.5,0.0,0.0,0.0,1.5,0.0,0.5,21.5,3.75
Todd Gill,D,gillto01,0,222,31.0,65.2,6.2,17.2,23.4,-12.8,69.8,3.9400000000000004,3.6,2.4,0.2,1.4,11.6,5.2,0.4,95.0,6.44
Hal Gill,D,gillha01,1,222,22.5,74.0,2.5,5.5,8.0,-3.0,55.0,3.4000000000000004,2.5,0.0,0.0,1.0,5.5,0.0,0.0,79.0,3.25
Brian Glynn,D,glynnbr01,1,224,28.0,32.666666666666664,0.6666666666666666,3.3333333333333335,4.0,-5.0,26.0,1.0999999999999999,0.6666666666666666,0.0,0.0,0.0,2.0,1.3333333333333333,0.0,27.666666666666668,17.633333333333333
Yan Golubovsky,D,golubya01,1,225,21.5,14.5,0.0,1.5,1.5,2.5,11.0,0.6,0.0,0.0,0.0,0.0,1.5,0.0,0.0,9.5,0.0
Alexander Godynyuk,D,godynal01,1,225,26.0,24.0,0.3333333333333333,2.0,2.3333333333333335,-3.3333333333333335,17.0,0.7999999999999999,0.3333333333333333,0.0,0.0,0.3333333333333333,2.0,0.0,0.0,17.0,0.9666666666666667
Sergei Gonchar,D,gonchse01,0,226,22.0,58.2,11.2,14.8,26.0,4.2,48.2,6.04,6.6,4.4,0.2,2.0,8.8,5.6,0.4,124.0,8.32
Tuomas Gronman,D,gronmtu01,1,232,22.5,19.0,0.5,1.5,2.0,-0.5,19.0,0.85,0.0,0.5,0.0,0.5,0.5,1.0,0.0,21.0,1.5
Jean-Luc Grand-Pierre,D,grandje01,1,236,21.0,16.0,0.0,1.0,1.0,0.0,17.0,0.3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,0.0
Per Gustafsson,D,gustape02,1,237,26.5,44.5,4.0,13.5,17.5,4.5,19.0,3.95,3.0,1.0,0.0,0.5,7.0,6.5,0.0,70.5,4.75
John Gruden,D,grudejo01,1,239,25.666666666666668,21.666666666666668,0.0,2.3333333333333335,2.3333333333333335,0.0,11.333333333333334,0.9666666666666667,0.0,0.0,0.0,0.0,2.3333333333333335,0.0,0.0,17.333333333333332,0.0
Sergey Gusev,D,gusevse01,1,242,22.5,22.5,0.5,3.5,4.0,-4.0,9.0,0.7,0.5,0.0,0.0,0.5,0.5,2.5,0.5,25.5,1.1
Alexei Gusarov,D,gusaral01,1,242,32.0,52.6,3.0,9.8,12.8,10.6,31.2,3.4,2.6,0.2,0.2,0.4,7.8,1.8,0.2,31.4,10.3
Bob Halkidis,D,halkibo01,1,243,28.5,19.5,0.5,2.0,2.5,-7.0,41.5,0.45,0.5,0.0,0.0,0.0,2.0,0.0,0.0,13.5,2.0
Kevin Haller,D,halleke01,1,244,26.0,62.8,2.6,7.8,10.4,3.2,88.2,3.3200000000000003,2.2,0.0,0.4,0.4,6.6,1.0,0.2,64.6,4.4
Steven Halko,D,halkost01,1,245,23.5,19.0,0.0,2.5,2.5,2.0,17.0,0.8,0.0,0.0,0.0,0.0,2.5,0.0,0.0,6.5,0.0
Roman Hamrlik,D,hamrlro01,0,245,22.0,72.4,11.4,28.8,40.2,-15.4,77.2,6.18,4.4,6.6,0.4,1.4,11.2,17.0,0.6,204.6,5.779999999999999
David Harlock,D,harloda01,1,250,25.0,19.5,0.5,1.5,2.0,-3.75,18.0,0.44999999999999996,0.5,0.0,0.0,0.0,1.5,0.0,0.0,9.25,2.85
Derian Hatcher,D,hatchde01,0,253,24.0,67.0,6.2,19.8,26.0,5.8,113.0,5.92,4.2,2.0,0.0,1.4,14.8,4.6,0.4,98.8,6.32
Kevin Hatcher,D,hatchke01,0,254,30.0,68.2,14.0,28.0,42.0,-1.8,63.4,6.959999999999999,6.2,7.2,0.6,2.4,14.6,12.8,0.6,174.8,8.120000000000001
Greg Hawgood,D,hawgogr01,1,256,27.0,42.0,3.5,8.0,11.5,-10.0,47.0,1.7999999999999998,1.5,2.0,0.0,0.0,3.0,5.0,0.0,50.0,6.550000000000001
Bret Hedican,D,hedicbr01,0,257,26.0,65.4,4.0,18.2,22.2,2.0,59.6,3.9200000000000004,2.8,0.8,0.4,0.4,11.0,4.2,3.0,87.2,4.4799999999999995
Sean Hill,D,hillse01,1,260,26.0,47.8,1.8,8.8,10.6,-6.4,46.0,2.1399999999999997,1.4,0.4,0.0,0.4,6.6,1.8,0.4,74.0,1.4600000000000002
Milos Holan,D,holanmi01,1,263,23.5,20.5,2.0,5.0,7.0,-4.0,19.0,1.05,1.5,0.5,0.0,0.5,2.5,2.0,0.5,70.0,3.25
Brett Hauer,D,hauerbr01,1,267,24.0,29.0,4.0,2.0,6.0,-11.0,30.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,53.0,7.5
Doug Houda,D,houdado01,1,268,30.0,38.8,1.2,3.6,4.8,-1.6,63.6,1.56,1.0,0.0,0.2,0.0,2.8,0.6,0.2,19.2,4.96
Bill Houlder,D,houldbi01,0,270,29.0,67.8,6.0,21.0,27.0,10.8,32.0,6.08,3.0,3.0,0.0,1.8,11.6,9.0,0.4,96.4,6.44
Bryan Helmer,D,helmebr01,1,271,26.0,40.0,0.0,4.0,4.0,5.0,42.0,1.5,0.0,0.0,0.0,0.0,4.0,0.0,0.0,49.0,0.0
Phil Housley*,D,houslph01,0,271,32.0,68.8,10.6,36.6,47.2,1.0,29.6,7.6800000000000015,6.2,4.0,0.4,0.8,17.0,19.6,0.0,163.2,6.340000000000001
Mark Howe*,D,howema02,1,272,39.0,18.0,1.0,5.0,6.0,-3.0,10.0,1.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,14.0,7.1
Jamie Heward,D,hewarja01,1,273,25.333333333333332,29.333333333333332,2.3333333333333335,5.333333333333333,7.666666666666667,-10.333333333333334,16.666666666666668,0.4333333333333333,1.0,1.3333333333333333,0.0,0.3333333333333333,2.3333333333333335,3.0,0.0,51.666666666666664,3.033333333333333
Charlie Huddy,D,huddych01,1,274,36.0,35.333333333333336,2.3333333333333335,3.3333333333333335,5.666666666666667,-6.666666666666667,35.666666666666664,1.4666666666666668,1.3333333333333333,1.0,0.0,0.3333333333333333,3.0,0.3333333333333333,0.0,40.333333333333336,5.5
Kerry Huffman,D,huffmke01,1,276,27.5,42.0,3.5,8.0,11.5,-17.5,57.5,1.5499999999999998,1.0,2.5,0.0,0.5,3.0,5.0,0.0,79.5,4.2
Al Iafrate,D,iafraal01,1,279,30.5,29.5,4.0,8.0,12.0,-5.5,59.5,2.1,1.5,2.5,0.0,0.0,4.5,3.0,0.5,64.0,6.0
Jamie Huscroft,D,huscrja01,1,282,30.0,48.8,0.6,5.2,5.8,0.6,136.6,2.1399999999999997,0.6,0.0,0.0,0.2,5.2,0.0,0.0,36.0,1.06
Grant Jennings,D,jennigr01,1,288,29.5,20.5,0.0,3.0,3.0,-1.5,35.5,0.5,0.0,0.0,0.0,0.0,3.0,0.0,0.0,14.0,0.0
Calle Johansson,D,johanca01,0,289,29.0,65.8,8.8,20.6,29.4,0.8,30.6,6.18,4.2,4.4,0.2,1.0,8.2,11.6,0.8,147.0,5.84
Jim Johnson,D,johnsji02,1,293,33.5,46.0,1.75,6.25,8.0,2.0,42.25,2.8,1.75,0.0,0.0,0.0,5.25,0.5,0.5,40.75,5.45
Cale Hulse,D,hulseca01,1,293,23.5,56.5,2.25,9.25,11.5,-2.0,99.25,2.5,1.5,0.25,0.5,0.0,7.25,1.75,0.25,66.75,2.4
Kenny Jönsson,D,jonsske01,0,296,22.0,66.0,6.2,19.0,25.2,-2.2,32.8,4.92,3.0,3.2,0.0,0.8,9.6,8.6,0.8,94.2,6.44
Chris Joseph,D,josepch01,1,297,27.0,36.6,2.8,7.4,10.2,-2.2,40.0,1.44,1.8,1.0,0.0,0.6,4.6,2.6,0.2,57.4,4.0200000000000005
Dave Karpa,D,karpada01,1,305,25.0,56.0,1.4,9.0,10.4,1.0,168.6,2.42,1.2,0.0,0.2,0.4,7.4,1.2,0.4,54.0,2.32
Alexander Karpovtsev,D,karpoal01,0,307,26.0,53.8,4.2,17.0,21.2,9.4,41.0,4.32,2.0,2.0,0.2,0.8,9.8,7.0,0.2,69.6,5.9
Alexei Kasatonov,D,kasatal01,1,308,35.5,31.5,1.5,7.0,8.5,-0.5,22.5,2.05,1.0,0.0,0.5,0.0,3.5,3.5,0.0,32.5,5.35
Darius Kasparaitis,D,kaspada01,1,309,24.0,52.6,1.6,8.2,9.8,1.8,82.4,2.44,1.2,0.0,0.4,0.0,7.0,0.6,0.6,40.6,3.0
Dan Keczmer,D,keczmda01,1,311,28.0,21.8,0.6,1.4,2.0,0.8,18.0,0.8400000000000001,0.6,0.0,0.0,0.0,1.2,0.2,0.0,17.8,3.44
Dean Kennedy,D,kennede01,1,312,32.0,40.0,2.0,8.0,10.0,2.0,25.0,2.1,2.0,0.0,0.0,1.0,8.0,0.0,0.0,45.0,4.4
Ed Jovanovski,D,jovaned01,0,313,20.5,71.0,7.75,15.75,23.5,-6.25,148.25,4.6,5.5,2.0,0.25,1.75,10.75,4.75,0.25,111.75,7.075
Jon Klemm,D,klemmjo01,1,323,27.0,49.2,4.0,7.4,11.4,5.6,24.0,2.94,3.2,0.2,0.6,0.4,6.6,0.6,0.2,51.4,9.440000000000001
Tomas Kaberle,D,kaberto01,0,325,20.0,57.0,4.0,18.0,22.0,3.0,12.0,2.9,4.0,0.0,0.0,2.0,12.0,5.0,1.0,71.0,5.6
Vladimir Konstantinov,D,konstvl01,0,329,28.0,68.33333333333333,7.333333333333333,21.333333333333332,28.666666666666668,36.0,130.33333333333334,8.066666666666666,6.0,1.0,0.3333333333333333,1.0,16.666666666666668,4.0,0.6666666666666666,122.0,5.7
Igor Kravchuk,D,kravcig01,0,335,30.0,68.8,6.0,19.8,25.8,-6.4,27.6,4.8,3.0,2.6,0.4,0.4,9.4,10.4,0.0,154.0,4.16
Marko Kiprusoff,D,kipruma01,1,336,23.0,24.0,0.0,4.0,4.0,-3.0,8.0,0.9,0.0,0.0,0.0,0.0,3.0,1.0,0.0,36.0,0.0
Vlastimil Kroupa,D,kroupvl01,1,338,20.5,19.5,0.75,4.0,4.75,-10.0,11.5,0.325,0.25,0.5,0.0,0.25,2.75,1.0,0.25,10.0,4.35
Uwe Krupp,D,kruppuw01,1,339,31.0,42.0,4.4,12.2,16.6,10.2,23.2,3.7399999999999998,2.4,2.0,0.0,0.8,7.0,4.6,0.6,79.8,5.0
Frantisek Kucera,D,kucerfr01,1,343,27.0,35.333333333333336,2.0,7.666666666666667,9.666666666666666,1.0,17.333333333333332,2.1,2.0,0.0,0.0,0.6666666666666666,5.666666666666667,1.6666666666666667,0.3333333333333333,51.666666666666664,2.6666666666666665
