Player,Pos,Id,label,Rk,Age,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%
Greg Adams,LW,adamsgr02,1,1,33.0,56.6,16.8,18.2,35.0,2.6,19.4,3.5799999999999996,10.0,6.2,0.6,1.8,11.4,6.4,0.4,115.2,14.98
Antti Aalto,C,aaltoan01,0,1,22.5,38.0,1.5,2.5,4.0,-6.5,12.0,-0.2,0.5,1.0,0.0,0.0,2.0,0.5,0.0,31.0,2.45
Micah Aivazoff,C,aivazmi01,0,2,25.5,16.5,0.0,1.0,1.0,-4.0,4.0,-0.45,0.0,0.0,0.0,0.0,0.5,0.5,0.0,7.0,0.0
Daniel Alfredsson*,RW,alfreda01,1,4,24.5,67.75,19.5,33.0,52.5,0.5,22.5,5.375,11.5,7.25,0.75,4.0,18.75,13.75,0.5,192.75,10.025
Jason Allison,C,allisja02,1,5,21.0,53.2,13.2,26.6,39.8,5.2,34.0,4.220000000000001,10.2,2.8,0.2,2.4,15.0,11.2,0.4,88.4,13.16
Tony Amonte,RW,amontto01,1,7,26.0,74.8,32.4,32.2,64.6,14.6,58.6,7.7,21.6,8.2,2.6,5.0,21.2,10.0,1.0,227.8,14.36
Glenn Anderson*,RW,andergl01,0,8,34.5,34.0,9.0,11.0,20.0,-1.0,35.0,1.6,8.0,1.0,0.0,2.0,9.5,1.5,0.0,62.5,15.35
Niklas Andersson,LW,anderni01,0,10,25.0,42.0,8.666666666666666,14.333333333333334,23.0,0.0,23.666666666666668,1.9000000000000001,6.333333333333333,1.3333333333333333,1.0,0.6666666666666666,11.666666666666666,2.0,0.6666666666666666,72.33333333333333,8.5
Mikael Andersson,RW,andermi01,0,10,30.0,57.8,5.0,9.4,14.4,-2.6,9.4,0.48,4.2,0.0,0.8,0.6,8.4,0.2,0.8,79.6,6.659999999999999
Dave Andreychuk*,LW,andreda01,1,11,33.0,66.6,21.2,25.2,46.4,8.4,38.4,5.1,13.8,6.8,0.6,2.4,16.8,8.2,0.2,186.4,11.540000000000001
Shawn Antoski,LW,antossh01,0,13,25.5,30.0,0.5,0.75,1.25,-1.5,95.0,-0.7,0.5,0.0,0.0,0.0,0.75,0.0,0.0,14.75,4.8999999999999995
Dave Archibald,C,archida01,0,14,26.0,21.666666666666668,2.6666666666666665,2.0,4.666666666666667,-8.333333333333334,13.666666666666666,-0.09999999999999999,2.6666666666666665,0.0,0.0,0.6666666666666666,1.3333333333333333,0.6666666666666666,0.0,29.0,6.033333333333334
Derek Armstrong,C,armstde01,0,15,23.5,20.25,2.25,2.5,4.75,-3.25,14.0,0.09999999999999999,2.25,0.0,0.0,0.75,2.0,0.5,0.0,17.0,11.5
Jason Arnott,C,arnotja01,1,15,22.0,63.4,19.8,28.2,48.0,-11.0,97.0,4.46,12.2,7.4,0.2,2.6,15.4,12.6,0.2,209.4,9.459999999999999
Magnus Arvedson,LW,arvedma01,1,17,26.5,70.5,16.0,20.5,36.5,17.5,43.0,4.35,13.5,0.0,2.5,3.0,19.5,0.5,0.5,113.0,13.8
Donald Audette,RW,audetdo01,1,18,27.0,53.2,21.2,17.2,38.4,1.6,40.6,4.46,12.2,9.0,0.0,4.0,10.0,7.2,0.0,149.6,14.34
Blair Atcheynum,RW,atchebl01,0,18,28.5,63.0,10.5,11.5,22.0,-1.5,14.0,1.5999999999999999,9.0,1.0,0.5,2.5,10.0,0.0,1.5,98.0,10.75
Jamie Baker,C,bakerja01,0,20,30.0,38.4,6.2,7.0,13.2,-4.4,27.8,0.64,4.2,0.6,1.4,0.6,6.2,0.2,0.6,52.6,7.4
P.J. Axelsson,LW,axelspj01,0,21,22.5,79.5,7.5,14.5,22.0,-14.0,28.0,0.65,6.5,1.0,0.0,1.5,13.5,0.5,0.5,145.0,5.199999999999999
Matthew Barnaby,RW,barnama01,0,21,23.0,59.6,9.2,15.4,24.6,1.6,233.2,1.7200000000000002,8.6,0.6,0.0,1.2,13.4,2.0,0.0,90.8,8.739999999999998
Stu Barnes,C,barnest01,1,22,26.0,70.6,19.6,25.0,44.6,-4.8,28.0,4.14,11.0,8.4,0.2,3.6,16.2,8.2,0.6,160.6,12.0
Len Barrie,C,barrile01,0,24,25.5,26.5,1.5,5.5,7.0,-2.5,42.0,-0.2,1.5,0.0,0.0,0.5,4.5,1.0,0.0,21.0,4.05
Bob Bassen,C,bassebo01,0,25,31.0,41.0,4.2,5.8,10.0,-0.8,36.2,0.22000000000000003,4.0,0.0,0.2,0.8,5.8,0.0,0.0,42.4,7.56
Ken Baumgartner,LW,baumgke01,0,27,30.0,58.4,0.6,3.8,4.4,-5.0,139.6,-0.9199999999999999,0.6,0.0,0.0,0.2,3.8,0.0,0.0,19.2,2.6
Jesse Belanger,C,belanje01,0,29,26.0,41.666666666666664,11.666666666666666,11.666666666666666,23.333333333333332,-4.333333333333333,10.666666666666666,1.9666666666666666,7.0,4.666666666666667,0.0,1.6666666666666667,4.666666666666667,7.0,0.0,82.66666666666667,10.033333333333333
