Player,Pos,Id,label,Rk,Age,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%
Bo Horvat,C,horvabo01,0,370,19.0,68.0,13.0,12.0,25.0,-8.0,16.0,2.5,12.0,0.0,1.0,1.0,12.0,0.0,0.0,93.0,14.0
Jaromír Jágr,RW,jagrja01,1,370,40.5,69.25,19.0,31.75,50.75,4.0,36.5,5.949999999999999,13.25,5.75,0.0,4.25,22.75,9.0,0.0,171.25,11.4
Ryan Jones,LW,jonesry01,0,371,27.5,59.75,9.75,8.0,17.75,-3.0,33.25,1.575,7.75,1.25,0.75,1.25,6.5,1.25,0.25,90.0,8.85
Jacob Josefson,C,josefja01,0,372,21.0,36.0,2.6,4.6,7.2,1.0,8.4,0.54,1.8,0.0,0.8,0.4,3.6,1.0,0.0,34.0,6.94
Ryan Johansen,C,johanry01,1,374,20.5,67.75,18.25,23.5,41.75,-3.0,29.75,4.725,13.5,4.25,0.5,2.5,15.0,8.5,0.0,155.5,10.475
Nazem Kadri,C,kadrina01,1,377,22.0,49.8,12.8,17.6,30.4,-0.8,26.8,3.4200000000000004,9.4,3.2,0.2,1.0,13.6,4.0,0.0,102.0,12.86
Patrick Kaleta,RW,kaletpa01,0,378,26.0,39.0,2.0,2.6,4.6,-5.0,60.4,-0.22000000000000003,1.8,0.0,0.2,0.2,2.4,0.0,0.2,38.6,4.075
Evander Kane,LW,kaneev01,1,380,21.0,59.0,19.0,20.2,39.2,-2.4,64.6,4.42,15.0,3.4,0.6,3.0,16.8,3.0,0.4,217.4,8.6
Patrick Kane,RW,kanepa01,1,381,24.0,66.4,25.8,39.6,65.4,8.4,21.6,8.1,19.2,6.6,0.0,4.2,26.2,13.4,0.0,204.0,13.12
Calle Jarnkrok,C,jarnkca01,0,382,22.5,43.0,4.5,9.0,13.5,4.5,11.0,1.2,4.5,0.0,0.0,0.5,8.0,0.5,0.5,54.0,11.4
Matt Kassian,LW,kassima01,0,383,25.5,19.0,1.0,0.25,1.25,-1.0,44.25,0.05,1.0,0.0,0.0,0.0,0.25,0.0,0.0,8.0,10.1
Boone Jenner,C,jennebo01,1,385,20.5,51.5,12.5,10.5,23.0,0.5,28.5,2.65,9.5,3.0,0.0,3.5,7.5,3.0,0.0,105.0,11.7
Chris Kelly,C,kellych01,1,386,32.0,66.8,10.6,13.8,24.4,4.0,34.0,2.3,9.2,0.4,1.0,2.0,13.2,0.0,0.6,91.2,11.12
Tim Kennedy,LW,kenneti01,0,387,25.5,20.75,1.25,2.0,3.25,-3.5,2.5,-0.024999999999999994,1.25,0.0,0.0,0.5,2.0,0.0,0.0,22.5,4.4
