Player,Pos,Id,label,Rk,Age,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%
Justin Abdelkader,LW,abdelju01,1,1,21.0,18.0,1.0,1.0,2.0,-3.6666666666666665,12.333333333333334,-0.09999999999999999,1.0,0.0,0.0,0.0,1.0,0.0,0.0,29.0,1.2666666666666666
Craig Adams,RW,adamscr01,1,2,30.0,70.2,4.6,8.0,12.6,-6.4,51.4,0.14,3.6,0.4,0.6,0.8,7.4,0.0,0.6,66.6,7.040000000000001
Kevyn Adams,C,adamske01,1,3,32.0,59.0,6.0,6.333333333333333,12.333333333333334,-9.0,24.666666666666668,0.20000000000000004,5.0,0.0,1.0,0.6666666666666666,4.666666666666667,0.3333333333333333,1.3333333333333333,93.0,4.266666666666667
Dmitry Afanasenkov,LW,afanadm01,1,4,25.5,71.0,10.0,8.0,18.0,-16.0,18.0,1.0,9.5,0.5,0.0,0.0,6.5,1.5,0.0,87.0,11.5
Maxim Afinogenov,RW,afinoma01,0,5,28.0,63.8,17.0,31.6,48.6,-3.0,51.6,4.64,12.0,5.0,0.0,2.0,20.2,11.4,0.0,156.0,10.58
Nikita Alexeev,RW,alexeni01,1,7,25.0,78.0,12.0,11.0,23.0,7.0,12.0,2.0,10.0,2.0,0.0,2.0,9.0,2.0,0.0,117.0,10.3
Daniel Alfredsson*,RW,alfreda01,0,8,35.0,74.6,31.2,53.6,84.8,20.2,34.4,9.959999999999999,19.2,8.8,3.2,5.6,28.8,22.6,2.2,215.6,14.3
Artem Anisimov,C,anisiar01,1,8,20.5,41.5,6.0,8.0,14.0,-1.0,16.0,1.3,5.5,0.5,0.0,1.0,7.5,0.5,0.0,62.5,4.85
Jason Allison,C,allisja02,0,11,30.0,66.0,17.0,43.0,60.0,-18.0,76.0,4.7,8.0,9.0,0.0,2.0,13.0,30.0,0.0,111.0,15.3
Tony Amonte,RW,amontto01,0,12,35.5,80.5,12.0,24.0,36.0,-0.5,41.5,2.7,9.0,2.0,1.0,2.0,15.0,8.0,1.0,147.0,8.1
Dave Andreychuk*,LW,andreda01,1,13,42.0,42.0,6.0,12.0,18.0,-13.0,16.0,0.9,1.0,4.0,1.0,1.0,3.0,8.0,1.0,81.0,7.4
Denis Arkhipov,C,arkhide01,1,13,27.0,79.0,10.0,17.0,27.0,-13.0,54.0,1.2,7.0,2.0,1.0,1.0,9.0,4.0,4.0,112.0,8.9
Nik Antropov,C,antroni01,0,14,27.0,68.0,21.6,27.6,49.2,6.0,53.2,5.36,14.6,6.8,0.2,3.4,21.4,5.6,0.6,150.6,14.459999999999999
Colby Armstrong,RW,armstco01,0,15,25.0,72.0,15.6,20.0,35.6,6.4,63.4,3.34,12.4,2.4,0.8,2.4,16.6,2.4,1.0,117.2,13.780000000000001
Derek Armstrong,C,armstde01,1,16,34.0,53.6,7.4,18.4,25.8,0.4,47.2,2.18,5.0,2.4,0.0,0.8,14.6,3.8,0.0,75.0,8.36
Tyler Arnason,C,arnasty01,0,17,27.5,75.5,11.0,25.75,36.75,-6.0,25.0,2.75,8.25,2.75,0.0,1.5,18.5,7.25,0.0,175.25,6.05
Jason Arnott,C,arnotja01,0,18,33.0,71.2,27.8,33.2,61.0,9.8,55.8,7.3,17.4,10.2,0.2,4.4,22.2,11.0,0.0,203.4,14.059999999999999
Evgeny Artyukhin,RW,artyuev01,1,19,24.333333333333332,66.33333333333333,6.333333333333333,10.0,16.333333333333332,-2.3333333333333335,104.33333333333333,1.1333333333333335,5.666666666666667,0.6666666666666666,0.0,0.0,9.333333333333334,0.6666666666666666,0.0,73.66666666666667,10.833333333333334
Arron Asham,RW,ashamar01,1,20,29.0,74.0,8.8,11.4,20.2,-2.0,106.2,1.64,8.2,0.4,0.2,1.4,10.8,0.6,0.0,83.4,10.52
Serge Aubin,C,aubinse01,1,21,30.0,74.0,7.0,17.0,24.0,-4.0,79.0,1.3,6.0,1.0,0.0,0.0,14.0,1.0,2.0,82.0,8.5
Nicklas Backstrom,C,backsni02,0,21,21.0,82.0,23.0,63.0,86.0,22.0,40.0,9.4,13.666666666666666,9.333333333333334,0.0,3.0,37.666666666666664,25.333333333333332,0.0,183.0,12.233333333333334
Keith Aucoin,C,aucoike01,1,23,29.0,14.8,1.6,3.6,5.2,0.6,3.6,0.4600000000000001,1.4,0.2,0.0,0.0,2.8,0.8,0.0,18.6,9.2
David Backes,RW,backeda01,0,24,23.5,70.5,17.75,21.25,39.0,-3.0,101.75,4.05,13.25,4.0,0.5,2.0,17.5,3.25,0.5,147.25,11.65
Sean Avery,C,averyse01,0,24,27.0,65.2,13.4,21.2,34.6,1.6,171.2,3.34,10.6,2.0,0.8,1.6,15.4,5.4,0.4,160.2,8.620000000000001
P.J. Axelsson,LW,axelspj01,1,25,31.5,66.0,10.0,18.5,28.5,-0.75,21.75,1.9,7.0,1.5,1.5,0.75,13.5,4.25,0.75,95.25,10.575
Josh Bailey,C,bailejo01,1,26,19.5,70.5,11.5,18.5,30.0,-4.5,17.0,2.35,8.0,3.0,0.5,1.0,11.0,7.5,0.0,93.0,11.9
Cody Bass,C,bassco01,1,27,21.5,16.5,1.0,1.0,2.0,-1.5,17.0,0.1,0.5,0.0,0.5,0.5,0.5,0.0,0.5,8.5,8.35
Jaroslav Balastik,LW,balasja01,1,28,26.5,37.0,6.5,5.5,12.0,-2.0,15.0,0.9500000000000001,2.5,4.0,0.0,1.0,5.0,0.5,0.0,82.0,12.149999999999999
Krys Barch,RW,barchkr01,1,28,27.5,52.25,2.0,3.75,5.75,0.0,118.75,0.2,2.0,0.0,0.0,0.75,3.75,0.0,0.0,22.75,11.025
Matthew Barnaby,RW,barnama01,1,33,32.5,60.5,4.5,13.0,17.5,-3.0,152.5,0.8999999999999999,4.5,0.0,0.0,0.5,12.5,0.0,0.5,53.5,6.95
Bates Battaglia,LW,battaba01,1,33,31.5,47.5,6.0,9.5,15.5,1.5,26.0,1.1,6.0,0.0,0.0,0.0,9.5,0.0,0.0,50.0,6.4
Stu Barnes,C,barnest01,0,34,36.0,79.66666666666667,13.333333333333334,14.666666666666666,28.0,1.3333333333333333,36.666666666666664,2.3333333333333335,12.0,0.3333333333333333,1.0,2.6666666666666665,12.0,1.0,1.6666666666666667,104.0,13.366666666666665
Ryan Bayda,LW,baydary01,1,35,27.0,36.666666666666664,3.0,3.6666666666666665,6.666666666666667,-0.3333333333333333,18.666666666666668,0.26666666666666666,3.0,0.0,0.0,0.0,3.6666666666666665,0.0,0.0,43.333333333333336,7.766666666666667
Milan Bartovic,RW,bartomi01,1,36,24.0,24.0,1.0,6.0,7.0,0.0,8.0,0.4,1.0,0.0,0.0,0.0,6.0,0.0,0.0,35.0,2.9
Jamie Benn,LW,bennja01,0,36,20.0,82.0,22.0,19.0,41.0,-1.0,45.0,4.6,20.0,2.0,0.0,3.0,14.0,5.0,0.0,182.0,12.1
Matt Beleskey,LW,belesma01,1,37,20.5,31.0,5.5,3.5,9.0,-5.0,17.5,0.6,5.5,0.0,0.0,1.5,3.5,0.0,0.0,61.5,8.9
